name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,TMC
,0,724,747,,,166.83383631217978,1,nan,94.95106,motorway,1,,"LINESTRING (-112.04234 33.46148,-112.04168 33.46141,-112.04119 33.46135,-112.04056 33.46129)",
,1,2,857,,,47.616676599227524,1,nan,94.95106,motorway,1,,"LINESTRING (-112.03756 33.45217,-112.0376 33.45175)",
,2,1880,5,,,240.37404909224588,2,nan,94.95106,motorway,1,,"LINESTRING (-112.08809 33.4611,-112.08805 33.4611,-112.08555 33.4607)",
,3,774,734,,,106.52771983115278,2,nan,94.95106,motorway,1,,"LINESTRING (-112.06669 33.46164,-112.06652 33.46163,-112.06641 33.46163,-112.06633 33.46163,-112.06625 33.46164,-112.06617 33.46165,-112.0661 33.46167,-112.06603 33.46168,-112.06595 33.46171,-112.06585 33.46174,-112.06578 33.46178,-112.0657 33.46182,-112.06561 33.46187)",
,4,815,630,,,280.81628737169297,1,nan,94.95106,motorway,1,,"LINESTRING (-112.10813 33.44665,-112.10804 33.44711,-112.10797 33.44777,-112.10787 33.44867,-112.10784 33.44896,-112.10783 33.44904,-112.10777 33.44916)",
,5,975,5891,,,205.82090857054922,2,nan,56.3269,secondary,4,,"LINESTRING (-112.0921 33.44814,-112.09231 33.44811,-112.09246 33.4481,-112.09266 33.44806,-112.09282 33.44802,-112.09298 33.44794,-112.09311 33.44787,-112.09323 33.44777,-112.09336 33.44765,-112.09346 33.4475,-112.09352 33.4474,-112.09357 33.44728,-112.09358 33.4472,-112.09358 33.44715,-112.09359 33.44704)",
,6,975,1296,,,259.9272693735371,2,nan,56.3269,secondary,4,,"LINESTRING (-112.0921 33.44814,-112.09231 33.44818,-112.0925 33.4482,-112.09261 33.44822,-112.09272 33.44826,-112.09281 33.44831,-112.09291 33.44836,-112.09298 33.4484,-112.09305 33.44844,-112.09312 33.44851,-112.09323 33.44861,-112.09338 33.44876,-112.0935 33.44887,-112.09365 33.449,-112.09386 33.44912,-112.09415 33.4492,-112.09445 33.44925)",
,7,730,2017,,,223.07114672096236,1,nan,94.95106,motorway,1,,"LINESTRING (-112.05293 33.46184,-112.05226 33.46176,-112.05192 33.46175,-112.0516 33.46174,-112.05116 33.46172,-112.05065 33.46168,-112.05054 33.46167)",
,8,630,817,,,246.41183313924495,1,nan,94.95106,motorway,1,,"LINESTRING (-112.10777 33.44916,-112.10784 33.44942,-112.10787 33.44969,-112.10798 33.45057,-112.10804 33.45105,-112.1081 33.45136)",
,9,952,917,,,157.45440272989975,1,nan,46.67086,residential,6,,"LINESTRING (-112.07127 33.44683,-112.07124 33.44691,-112.07122 33.44699,-112.07122 33.44754,-112.07122 33.44814,-112.07122 33.44824)",
,10,917,952,,,155.51974964888356,1,nan,46.67086,residential,6,,"LINESTRING (-112.0713 33.44824,-112.07129 33.44814,-112.07129 33.44754,-112.0713 33.44699,-112.07132 33.44692,-112.07134 33.44684)",
,11,12,1122,,,21.089083177759193,1,nan,46.67086,residential,6,,"LINESTRING (-112.11321 33.44821,-112.11321 33.44802)",
,12,1122,12,,,21.089083177759193,1,nan,46.67086,residential,6,,"LINESTRING (-112.11313 33.44802,-112.11314 33.44821)",
,13,1122,13,,,76.11990141709971,1,nan,46.67086,residential,6,,"LINESTRING (-112.11321 33.44802,-112.1132 33.4478,-112.1132 33.44746,-112.1132 33.44733)",
,14,13,1122,,,76.11574190115,1,nan,46.67086,residential,6,,"LINESTRING (-112.11312 33.44733,-112.11312 33.44746,-112.11313 33.4478,-112.11313 33.44802)",
,15,13,14,,,43.73118140439164,1,nan,46.67086,residential,6,,"LINESTRING (-112.1132 33.44733,-112.11319 33.44713,-112.11319 33.44694)",
,16,14,13,,,43.65000551789861,1,nan,46.67086,residential,6,,"LINESTRING (-112.11311 33.44694,-112.11312 33.44713,-112.11312 33.44733)",
,17,14,15,,,118.76275301400378,1,nan,46.67086,residential,6,,"LINESTRING (-112.11319 33.44694,-112.11319 33.44674,-112.11318 33.44638,-112.11318 33.44632,-112.11317 33.44591,-112.11317 33.44587)",
,18,15,14,,,118.75492978103871,1,nan,46.67086,residential,6,,"LINESTRING (-112.1131 33.44587,-112.1131 33.44591,-112.11311 33.44632,-112.11311 33.44638,-112.11311 33.44675,-112.11311 33.44694)",
,19,15,16,,,47.01371005779335,1,nan,46.67086,residential,6,,"LINESTRING (-112.11317 33.44587,-112.11317 33.4455,-112.11317 33.44544)",
,20,16,15,,,47.01090969008107,1,nan,46.67086,residential,6,,"LINESTRING (-112.11309 33.44544,-112.11309 33.4455,-112.1131 33.44587)",
,21,17,1133,,,162.30392099995458,1,nan,40.2335,residential,6,,"LINESTRING (-112.06079 33.44562,-112.0608 33.4458,-112.0608 33.44628,-112.0608 33.44644,-112.0608 33.44695,-112.06081 33.44708)",
