activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-112.1045861024,33.46588637600001,"POLYGON ((-112.11498 33.46325,-112.11498 33.46799,-112.09779 33.46799,-112.09779 33.46325,-112.11498 33.46325))",POINT (-112.1045861024 33.46588637600001),125,578.7305767016325,3565.0131737976467
2,A2,-112.08863360847458,33.4645487079096,"POLYGON ((-112.09779 33.46325,-112.09779 33.46799,-112.0806 33.46799,-112.0806 33.46325,-112.09779 33.46325))",POINT (-112.08863360847458 33.4645487079096),503,2609.2035966149374,3794.299324688893
3,A3,-112.07457309506168,33.46523139061729,"POLYGON ((-112.0806 33.46325,-112.0806 33.46799,-112.06341 33.46799,-112.06341 33.46325,-112.0806 33.46325))",POINT (-112.07457309506168 33.46523139061729),370,3983.2090265990387,8861.108170658306
4,A4,-112.05271164712036,33.46521032513088,"POLYGON ((-112.06341 33.46325,-112.06341 33.46799,-112.04622 33.46799,-112.04622 33.46325,-112.06341 33.46325))",POINT (-112.05271164712036 33.46521032513088),155,2522.2420982142075,9206.147178565065
5,A5,-112.03824433515625,33.465452564843744,"POLYGON ((-112.04622 33.46325,-112.04622 33.46799,-112.02903 33.46799,-112.02903 33.46325,-112.04622 33.46325))",POINT (-112.03824433515625 33.465452564843744),345,2130.58378934874,5061.21707731585
6,B1,-112.10290113076921,33.461106430769235,"POLYGON ((-112.1149763 33.458510000000004,-112.1149763 33.46325,-112.0977863 33.46325,-112.0977863 33.458510000000004,-112.1149763 33.458510000000004))",POINT (-112.10290113076921 33.461106430769235),34,922.5265812762876,1508.767267430925
7,B2,-112.08902944204942,33.46220532332158,"POLYGON ((-112.0977863 33.458510000000004,-112.0977863 33.46325,-112.0805963 33.46325,-112.0805963 33.458510000000004,-112.0977863 33.458510000000004))",POINT (-112.08902944204942 33.46220532332158),245,1999.720269877132,2598.1182546330483
8,B3,-112.07353525796604,33.460619282372875,"POLYGON ((-112.0805963 33.458510000000004,-112.0805963 33.46325,-112.0634063 33.46325,-112.0634063 33.458510000000004,-112.0805963 33.458510000000004))",POINT (-112.07353525796604 33.460619282372875),236,4107.466459416154,5436.26756009444
9,B4,-112.05242714029853,33.4610845164179,"POLYGON ((-112.0634063 33.458510000000004,-112.0634063 33.46325,-112.0462163 33.46325,-112.0462163 33.458510000000004,-112.0634063 33.458510000000004))",POINT (-112.05242714029853 33.4610845164179),35,881.8939139678721,1415.281539637325
10,B5,-112.0416514658228,33.46205222911392,"POLYGON ((-112.0462163 33.458510000000004,-112.0462163 33.46325,-112.0290263 33.46325,-112.0290263 33.458510000000004,-112.0462163 33.458510000000004))",POINT (-112.0416514658228 33.46205222911392),60,576.7890391059198,2309.815318440385
11,C1,-112.1031040603774,33.4558569509434,"POLYGON ((-112.1149763 33.453770000000006,-112.1149763 33.458510000000004,-112.0977863 33.458510000000004,-112.0977863 33.453770000000006,-112.1149763 33.453770000000006))",POINT (-112.1031040603774 33.4558569509434),46,675.1690313128319,5802.073417440474
12,C2,-112.08930812564105,33.45563149829059,"POLYGON ((-112.0977863 33.453770000000006,-112.0977863 33.458510000000004,-112.0805963 33.458510000000004,-112.0805963 33.453770000000006,-112.0977863 33.453770000000006))",POINT (-112.08930812564105 33.45563149829059),92,1331.9875203223685,3933.335868286338
13,C3,-112.07192724964037,33.45630667769787,"POLYGON ((-112.0805963 33.453770000000006,-112.0805963 33.458510000000004,-112.0634063 33.458510000000004,-112.0634063 33.453770000000006,-112.0805963 33.453770000000006))",POINT (-112.07192724964037 33.45630667769787),229,3992.195850271179,7199.139277929641
