trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,min_arrival_time,max_departure_time,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1058682_b_6534_tn_1,08:20:00,08:20:00,2392586,1,,0,0,0,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,08:22:00,08:22:00,2696015,2,,0,0,1138.12058858811,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,08:23:00,08:23:00,2392585,3,,0,0,1458.85110888065,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,,,2392584,4,,0,0,2159.83250505193,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,,,2392583,5,,0,0,2514.58797012031,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,,,2392582,6,,0,0,3833.82691881731,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,08:28:00,08:28:00,2392581,7,,0,0,4836.20644361031,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,08:29:00,08:29:00,2392580,8,,0,0,4991.45731315988,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,,,2392579,9,,0,0,5646.02704126843,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,,,2392578,10,,0,0,5940.74931850743,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,08:33:00,08:33:00,2392577,11,,0,0,6727.3628520458,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,,,2392576,12,,0,0,7508.48477567243,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,,,2392575,13,,0,0,7770.35581538848,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_1,,,2392574,14,,0,0,8258.23927716415,0,,,,,1,1,,,,,,,,
