node_id,zone_id,x_coord,y_coord,original_node_id,activity_type,is_boundary
1325600,,-84.29266,40.9059,13256,,0
1325700,,-84.03343,40.73694,13257,,0
1325900,,-84.15497,40.69417,13259,,0
1326200,,-84.07864,40.73171,13262,,0
1326400,,-84.03128,40.7295,13264,,0
1326500,,-84.33577,40.84277,13265,,0
1326600,,-84.3229,40.63901,13266,,0
1326700,,-84.35081,40.83281,13267,,0
1326800,,-84.33968,40.83974,13268,,0
1326900,,-84.1399,40.77153,13269,,0
1327000,,-84.34057,40.85978,13270,,0
1327100,,-84.17998,40.77222,13271,,0
1327200,,-84.07109,40.81755,13272,,0
1327300,,-84.15869,40.74861,13273,,0
1327400,,-84.09111,40.73781,13274,,0
1327500,,-84.0896,40.77396,13275,,0
1327600,,-84.09147,40.73786,13276,,0
1327700,,-84.1534,40.71164,13277,,0
1328000,,-84.15118,40.70588,13280,,0
1328100,,-84.06637,40.75736,13281,,0
0,,-83.86958,40.89029,0,motorway,0
100,,-83.86517,40.8924,1,secondary,0
400,,-83.869,40.89261,4,secondary,0
600,,-83.87893,40.90032,6,residential,0
700,,-83.87906,40.90044,7,residential,0
701,,-83.87913,40.9004,7,residential,0
601,,-83.87899,40.90028,6,residential,0
800,,-83.8673,40.89097,8,residential,0
900,,-83.86638,40.89007,9,residential,0
901,,-83.86631,40.89011,9,residential,0
801,,-83.86723,40.89101,8,residential,0
1000,,-83.87906,40.89975,10,residential,0
602,,-83.87893,40.90017,6,residential,0
603,,-83.87899,40.90021,6,residential,0
1001,,-83.87914,40.89975,10,residential,0
604,,-83.87879,40.90026,6,residential,0
1100,,-83.87836,40.90041,11,residential,0
1101,,-83.87839,40.90047,11,residential,0
605,,-83.87884,40.90031,6,residential,0
1102,,-83.87819,40.90046,11,residential,0
1200,,-83.87795,40.90054,12,residential,0
1201,,-83.87799,40.90059,12,residential,0
1103,,-83.87822,40.90052,11,residential,0
401,,-83.86897,40.89244,4,secondary,0
686200,,-83.86766,40.89246,6862,secondary,0
686201,,-83.86766,40.89252,6862,secondary,0
402,,-83.86897,40.8925,4,secondary,0
1400,,-83.862,40.89251,14,secondary,0
1600,,-83.86281,40.89114,16,residential,0
1601,,-83.86281,40.89108,16,residential,0
1401,,-83.86192,40.89251,14,secondary,0
1602,,-83.863,40.89114,16,residential,0
802,,-83.86723,40.89108,8,residential,0
803,,-83.86723,40.89102,8,residential,0
1603,,-83.863,40.89108,16,residential,0
804,,-83.86742,40.89108,8,residential,0
1700,,-83.87258,40.88769,17,residential,0
1701,,-83.87252,40.88765,17,residential,0
805,,-83.86742,40.89101,8,residential,0
1800,,-83.88013,40.83256,18,tertiary,0
422600,,-83.88014,40.8343,4226,tertiary,0
422601,,-83.88022,40.8343,4226,tertiary,0
1801,,-83.88021,40.83256,18,tertiary,0
422602,,-83.88014,40.83445,4226,tertiary,0
1900,,-83.88016,40.84791,19,tertiary,0
1901,,-83.88025,40.84791,19,tertiary,0
422603,,-83.88022,40.83445,4226,tertiary,0
1902,,-83.88016,40.84805,19,tertiary,0
2000,,-83.88017,40.84877,20,tertiary,0
2001,,-83.88025,40.84877,20,tertiary,0
1903,,-83.88025,40.84805,19,tertiary,0
2002,,-83.88017,40.84891,20,tertiary,0
678200,,-83.88021,40.8624,6782,tertiary,0
678201,,-83.8803,40.8624,6782,tertiary,0
2003,,-83.88025,40.84891,20,tertiary,0
678202,,-83.88021,40.86255,6782,tertiary,0
2100,,-83.88022,40.86341,21,tertiary,0
2101,,-83.8803,40.86341,21,tertiary,0
678203,,-83.8803,40.86255,6782,tertiary,0
2102,,-83.88022,40.86355,21,tertiary,0
2200,,-83.88025,40.87497,22,tertiary,0
2201,,-83.88033,40.87497,22,tertiary,0
2103,,-83.8803,40.86355,21,tertiary,0
785500,,-83.8565,40.86345,7855,tertiary,1
3100,,-83.86199,40.8635,31,tertiary,0
3101,,-83.86199,40.86343,31,tertiary,0
785501,,-83.8565,40.86339,7855,tertiary,1
3102,,-83.86218,40.8635,31,tertiary,0
710100,,-83.87186,40.86348,7101,tertiary,0
710101,,-83.87186,40.86342,7101,tertiary,0
3103,,-83.86218,40.86343,31,tertiary,0
710102,,-83.87205,40.86348,7101,tertiary,0
2104,,-83.88016,40.86351,21,tertiary,0
2105,,-83.88016,40.86345,21,tertiary,0
710103,,-83.87205,40.86342,7101,tertiary,0
785600,,-83.8565,40.87799,7856,tertiary,1
3200,,-83.86189,40.87804,32,tertiary,0
3201,,-83.86189,40.87798,32,tertiary,0
785601,,-83.8565,40.87792,7856,tertiary,1
3202,,-83.86208,40.87804,32,tertiary,0
762400,,-83.88019,40.87797,7624,tertiary,0
762401,,-83.88019,40.87791,7624,tertiary,0
3203,,-83.86208,40.87798,32,tertiary,0
3400,,-83.85855,40.89986,34,residential,1
3500,,-83.86188,40.8999,35,residential,0
3501,,-83.86188,40.89983,35,residential,0
3401,,-83.85856,40.8998,34,residential,1
3502,,-83.86207,40.8999,35,residential,0
757900,,-83.87562,40.89976,7579,residential,0
757901,,-83.87562,40.8997,7579,residential,0
3503,,-83.86207,40.89984,35,residential,0
785700,,-83.85651,40.89982,7857,residential,1
3504,,-83.86193,40.8998,35,residential,0
3505,,-83.86202,40.89979,35,residential,0
785701,,-83.85649,40.89975,7857,residential,1
3600,,-83.87734,40.88857,36,residential,0
3700,,-83.87719,40.8883,37,residential,0
3701,,-83.87711,40.8883,37,residential,0
3601,,-83.87726,40.88859,36,residential,0
3702,,-83.8772,40.88816,37,residential,0
3800,,-83.87728,40.88779,38,residential,0
3801,,-83.8772,40.88776,38,residential,0
3703,,-83.87711,40.88816,37,residential,0
1104,,-83.87829,40.90039,11,residential,0
