name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,281266,motorway_junction,,0,,,,-122.3025783,37.5601845,,
,1,302878,,,0,,,,-122.059974,37.348484,,
,2,302883,motorway_junction,,0,,,,-122.0597495,37.3376866,,
,3,302888,,,0,,,,-122.0516164,37.3277785,,
,4,653681,,,0,,,,-118.4003141,33.9894017,,
,5,653688,traffic_signals,,1,,,,-118.429548,34.027025,,
,6,653693,traffic_signals,,1,,,,-118.41759,34.0324443,,
,7,653718,,,0,,,,-118.362009,34.0337647,,
,8,653721,,,0,,,,-118.3435465,34.0345019,,
,9,653731,motorway_junction,,0,,,,-118.2875299,34.0367777,,
,10,653744,motorway_junction,,0,,,,-118.257226,34.0300723,,
,11,653766,,,0,,,,-118.2191098,34.0403015,,
,12,653772,motorway_junction,,0,,,,-118.2138875,34.0513318,,
,13,653827,,,0,,,,-117.8720253,34.0716746,,
,14,653844,motorway_junction,,0,,,,-117.8184066,34.0635583,,
,15,653852,motorway_junction,,0,,,,-117.7836398,34.0727392,,
,16,660090,,,0,,,,-116.3832112,33.8030344,,
,17,660097,motorway_junction,,0,,,,-116.2748769,33.7505901,,
,18,660129,,,0,,,,-115.9102303,33.6689485,,
,19,661586,motorway_junction,,0,,,,-116.0766791,35.2609879,,
,20,667802,motorway_junction,,0,,,,-117.4339811,34.1844677,,
,21,667804,,,0,,,,-117.4399626,34.1791853,,
,22,667816,motorway_junction,,0,,,,-117.5102277,34.1361555,,
,23,667817,,,0,,,,-117.5311832,34.1362934,,
,24,667825,motorway_junction,,0,,,,-117.6419393,34.1346494,,
,25,667855,motorway_junction,,0,,,,-117.7004254,34.120024,,
,26,667862,,,0,,,,-117.7279171,34.1200598,,
,27,667885,motorway_junction,,0,,,,-117.790837,34.1197144,,
,28,667895,motorway_junction,,0,,,,-117.8329965,34.1209476,,
,29,667897,motorway_junction,,0,,,,-117.8369495,34.1202098,,
,30,667900,,,0,,,,-117.8411962,34.1184705,,
,31,667918,motorway_junction,,0,,,,-117.8802129,34.1208669,,
,32,667922,motorway_junction,,0,,,,-117.8951111,34.120889,,
,33,667935,,,0,,,,-117.920018,34.1283996,,
,34,668095,traffic_signals,,1,,,,-116.9997952,34.8913267,,
,35,668101,,,0,,,,-117.0001427,34.8919179,,
,36,668105,,,0,,,,-117.0032507,34.8899925,,
,37,668106,,,0,,,,-117.0008637,34.8920318,,
,38,668117,,,0,,,,-117.9376396,34.1290219,,
,39,668137,,,0,,,,-117.9942902,34.0891896,,
,40,668142,motorway_junction,,0,,,,-117.999674,34.072529,,
,41,668182,motorway_junction,,0,,,,-118.1035122,33.927475,,
,42,668183,motorway_junction,,0,,,,-118.104409,33.9237163,,
,43,668233,,,0,,,,-118.3343695,33.925082,,
,44,10537785,,,0,,,,-118.3062107,34.1732253,,
