name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,60642419,motorway_junction,,0,,,,-73.5446909,41.3885707,,
,1,60642429,,,0,,,,-73.5358973,41.3912241,,
,2,60642881,motorway_junction,,0,,,,-73.5327897,41.3925596,,
,3,60642900,,,0,,,,-73.5444163,41.3888607,,
,4,60647528,,,0,,,,-72.7689747,41.7161407,,
,5,60647539,motorway_junction,,0,,,,-72.770755,41.7234095,,
,6,60647612,,,0,,,,-72.7816753,41.7257774,,
,7,60647620,motorway_junction,,0,,,,-72.7824528,41.7252557,,
,8,60647625,,,0,,,,-72.77654,41.7264788,,
,9,60647662,,,0,,,,-72.7610899,41.7268129,,
,10,60647730,,,0,,,,-72.7717466,41.7227904,,
,11,61298018,traffic_signals,,1,,,,-73.5404794,41.3904027,,
,12,61298022,traffic_signals,,1,,,,-73.5401497,41.388899,,
,13,68823762,motorway_junction,,0,,,,-73.5428151,41.0472853,,
,14,68823771,,,0,,,,-73.5318941,41.0513905,,
,15,68823776,,,0,,,,-73.5251431,41.0544085,,
,16,68823783,motorway_junction,,0,,,,-73.514964,41.0565935,,
,17,68823799,motorway_junction,,0,,,,-73.4933552,41.0678158,,
,18,68823812,motorway_junction,,0,,,,-73.4675652,41.0745925,,
,19,68823817,motorway_junction,,0,,,,-73.4640838,41.0778613,,
,20,69003614,,,0,,,,-73.514446,41.05791,,
,21,69072781,motorway_junction,,0,,,,-73.6474508,41.0073198,,
,22,69072784,,,0,,,,-73.6530599,41.000573,,
,23,69083980,,,0,,,,-73.5903601,41.0373281,,
,24,69083993,,,0,,,,-73.6098523,41.0256481,,
,25,69083996,motorway_junction,,0,,,,-73.6238579,41.0204625,,
,26,69120972,,,0,,,,-72.7900126,41.2945098,,
,27,69120990,,,0,,,,-72.8165513,41.2887544,,
,28,69120996,motorway_junction,,0,,,,-72.8247726,41.2874514,,
,29,69121008,motorway_junction,,0,,,,-72.8437682,41.2845056,,
,30,69121111,,,0,,,,-72.9659051,41.2775806,,
,31,69121122,,,0,,,,-72.9738298,41.2688574,,
,32,69121131,motorway_junction,,0,,,,-72.994925,41.2568531,,
,33,69121136,,,0,,,,-73.0023489,41.251269,,
,34,69121143,motorway_junction,,0,,,,-73.0180982,41.2408744,,
,35,69121146,,,0,,,,-73.0264968,41.2365876,,
,36,69121153,,,0,,,,-73.0362504,41.2329425,,
,37,69121169,motorway_junction,,0,,,,-73.0669751,41.2349435,,
,38,69121176,motorway_junction,,0,,,,-73.0769039,41.2251976,,
,39,69121193,motorway_junction,,0,,,,-73.0910021,41.2099657,,
,40,69121197,,,0,,,,-73.0950596,41.2078597,,
,41,69121229,motorway_junction,,0,,,,-73.131824,41.1933645,,
,42,69121244,motorway_junction,,0,,,,-73.1504424,41.1765548,,
,43,69121258,,,0,,,,-73.1760162,41.1784103,,
,44,69121270,,,0,,,,-73.1852416,41.1777659,,
,45,69121275,motorway_junction,,0,,,,-73.189772,41.1727907,,
,46,69121277,,,0,,,,-73.1961098,41.169895,,
,47,69121295,,,0,,,,-73.2255329,41.1684334,,
,48,69121307,,,0,,,,-73.2390367,41.1637765,,
,49,69121343,motorway_junction,,0,,,,-73.2829074,41.1417392,,
,50,69121377,,,0,,,,-73.3330693,41.1224919,,
,51,69121398,,,0,,,,-73.3790514,41.119748,,
,52,69121411,motorway_junction,,0,,,,-73.4090245,41.1078057,,
,53,69121419,,,0,,,,-73.4195791,41.1065738,,
,54,69121439,motorway_junction,,0,,,,-73.4553769,41.0891304,,
,55,69121454,,,0,,,,-73.467944,41.0746007,,
,56,69121480,motorway_junction,,0,,,,-73.5000642,41.0683542,,
,57,69140783,,,0,,,,-72.3795185,41.3053187,,
,58,69140785,,,0,,,,-72.3821652,41.3043646,,
,59,69140795,motorway_junction,,0,,,,-72.4133361,41.2920722,,
