name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,105276082,,,0,,,,-75.5085986,39.6850837,,
,1,105276086,,,0,,,,-75.5086296,39.6858204,,
,2,178555225,motorway_junction,,0,,,,-75.5365597,39.1998195,,
,3,178555262,,,0,,,,-75.549816,39.2036992,,
,4,178556241,,,0,,,,-75.49542,39.130809,,
,5,178556252,,,0,,,,-75.4931738,39.1306276,,
,6,178557541,,,0,,,,-75.5888776,39.281877,,
,7,178557594,,,0,,,,-75.5915739,39.2822131,,
,8,178557596,,,0,,,,-75.5931396,39.2818317,,
,9,178557605,motorway_junction,,0,,,,-75.5861678,39.2780297,,
,10,178557653,,,0,,,,-75.593164,39.2819,,
,11,178557885,motorway_junction,,0,,,,-75.592505,39.287209,,
,12,178557894,,,0,,,,-75.58728,39.279038,,
,13,178560649,,,0,,,,-75.4990482,39.1444251,,
,14,178560654,motorway_junction,,0,,,,-75.4963001,39.1467081,,
,15,178561006,motorway_junction,,0,,,,-75.5463376,39.2090085,,
,16,178561019,,,0,,,,-75.5400052,39.2021471,,
,17,178561042,,,0,,,,-75.550392,39.2032174,,
,18,178561944,,,0,,,,-75.4945145,39.1298617,,
,19,178561964,motorway_junction,,0,,,,-75.497022,39.1409645,,
,20,178561980,,,0,,,,-75.4951587,39.1488554,,
,21,178562266,,,0,,,,-75.4600074,39.0742674,,
,22,178562268,,,0,,,,-75.4597974,39.0742343,,
,23,178562916,,,0,,,,-75.491741,39.1309696,,
,24,178564509,,,0,,,,-75.5408715,39.2033408,,
,25,178575259,motorway_junction,,0,,,,-75.4897119,39.1278357,,
,26,178575275,motorway_junction,,0,,,,-75.4759362,39.119348,,
,27,178575276,,,0,,,,-75.4742673,39.1183484,,
,28,178575279,motorway_junction,,0,,,,-75.471477,39.1166709,,
,29,178575515,,,0,,,,-75.4542375,39.1045578,,
,30,178575546,,,0,,,,-75.4770916,39.1197778,,
,31,178575550,motorway_junction,,0,,,,-75.4831812,39.1231326,,
,32,178580941,traffic_signals,,1,,,,-75.555551,39.200023,,
,33,178580943,traffic_signals,,1,,,,-75.5557253,39.2001467,,
,34,178585725,,,0,,,,-75.51172,39.1828213,,
,35,178585739,motorway_junction,,0,,,,-75.4955428,39.1707224,,
,36,178585776,,,0,,,,-75.4971074,39.1358175,,
,37,178585785,,,0,,,,-75.4924496,39.1305627,,
,38,178585812,,,0,,,,-75.5116377,39.1829881,,
,39,178603674,,,0,,,,-75.4716805,39.1176255,,
,40,178607307,,,0,,,,-75.4992534,39.1443279,,
,41,178611031,traffic_signals,,1,,,,-75.4802429,39.120968,,
,42,178615892,,,0,,,,-75.5258884,39.1373698,,
,43,178617180,,,0,,,,-75.62099,39.733299,,
,44,178617496,,,0,,,,-75.6530182,39.660319,,
,45,178617510,,,0,,,,-75.6536805,39.6638354,,
,46,178617516,,,0,,,,-75.6523071,39.6619066,,
,47,178617643,,,0,,,,-75.5539598,39.751547,,
,48,178617653,motorway_junction,,0,,,,-75.5531376,39.7545243,,
,49,178617656,motorway_junction,,0,,,,-75.512808,39.777516,,
,50,178617660,,,0,,,,-75.5084144,39.7779655,,
,51,178617663,,,0,,,,-75.5079401,39.7778769,,
,52,178617667,,,0,,,,-75.502816,39.781495,,
,53,178617673,,,0,,,,-75.504524,39.779837,,
,54,178617689,motorway_junction,,0,,,,-75.6777531,39.6737382,,
,55,178617697,motorway_junction,,0,,,,-75.6766792,39.6710541,,
,56,178617725,,,0,,,,-75.672462,39.671905,,
,57,178617746,motorway_junction,,0,,,,-75.670979,39.669018,,
,58,178617802,,,0,,,,-75.4559054,39.8161102,,
,59,178617805,,,0,,,,-75.4552963,39.8155433,,
,60,178617812,,,0,,,,-75.4551201,39.8159135,,
,61,178617814,,,0,,,,-75.4550682,39.8160277,,
,62,178617819,,,0,,,,-75.4546367,39.816551,,
,63,178617832,motorway_junction,,0,,,,-75.4517674,39.8179139,,
,64,178617834,motorway_junction,,0,,,,-75.4571601,39.8119165,,
,65,178617839,,,0,,,,-75.4517645,39.8169725,,
,66,178617863,,,0,,,,-75.608123,39.701579,,
,67,178617882,motorway_junction,,0,,,,-75.586029,39.700805,,
,68,178617891,motorway_junction,,0,,,,-75.5888657,39.7038837,,
,69,178617910,motorway_junction,,0,,,,-75.5965128,39.7069543,,
,70,178617956,,,0,,,,-75.6531468,39.636506,,
,71,178617986,,,0,,,,-75.6508491,39.6361074,,
,72,178617999,motorway_junction,,0,,,,-75.6529754,39.6368592,,
,73,178618010,,,0,,,,-75.6551469,39.6358229,,
,74,178618014,,,0,,,,-75.6544759,39.6371179,,
,75,178618018,,,0,,,,-75.6535978,39.6383478,,
,76,178618020,motorway_junction,,0,,,,-75.6523305,39.6405573,,
,77,178618043,,,0,,,,-75.650651,39.636235,,
,78,178618117,,,0,,,,-75.680275,39.669558,,
,79,178618121,,,0,,,,-75.6787164,39.6705019,,
,80,178618143,motorway_junction,,0,,,,-75.6789779,39.674865,,
,81,178618622,traffic_signals,,1,,,,-75.5623159,39.739323,,
,82,178618635,,,0,,,,-75.6221038,39.6947857,,
,83,178618637,motorway_junction,,0,,,,-75.6216989,39.6946756,,
,84,178618642,,,0,,,,-75.6172173,39.6956621,,
,85,178618835,motorway_junction,,0,,,,-75.5493166,39.6968065,,
,86,178618907,,,0,,,,-75.4508468,39.8069019,,
,87,178618909,,,0,,,,-75.450504,39.8065519,,
,88,178618920,,,0,,,,-75.6533135,39.673667,,
,89,178618930,traffic_signals,,1,,,,-75.651379,39.6728568,,
,90,178619324,motorway_junction,,0,,,,-75.5360599,39.7687748,,
,91,178619343,,,0,,,,-75.560297,39.7141004,,
,92,178619353,,,0,,,,-75.5600949,39.7165169,,
,93,178619415,motorway_junction,,0,,,,-75.4505008,39.8025626,,
,94,178619420,,,0,,,,-75.4500756,39.8058215,,
,95,178619426,,,0,,,,-75.4504175,39.8064528,,
,96,178619493,,,0,,,,-75.608965,39.715887,,
,97,178619992,,,0,,,,-75.4998754,39.7521541,,
,98,178620015,,,0,,,,-75.4992055,39.751615,,
,99,178620027,,,0,,,,-75.6157963,39.3252518,,
,100,178620034,,,0,,,,-75.6196233,39.3255694,,
,101,178620037,,,0,,,,-75.6211614,39.3250464,,
,102,178620039,,,0,,,,-75.6216391,39.3248667,,
,103,178620284,,,0,,,,-75.6451959,39.6176325,,
,104,178620292,,,0,,,,-75.6441215,39.6175258,,
,105,178620381,motorway_junction,,0,,,,-75.7437737,39.6431722,,
,106,178620550,,,0,,,,-75.573472,39.6964118,,
,107,178620616,,,0,,,,-75.5872208,39.7091459,,
,108,178620638,,,0,,,,-75.479996,39.802312,,
,109,178620649,,,0,,,,-75.4783395,39.8016304,,
,110,178620683,motorway_junction,,0,,,,-75.641856,39.688614,,
,111,178620718,,,0,,,,-75.5782839,39.6940466,,
,112,178620830,motorway_junction,,0,,,,-75.6071585,39.6989943,,
,113,178620834,,,0,,,,-75.6040855,39.6995702,,
,114,178620842,,,0,,,,-75.5973806,39.7009112,,
,115,178620851,motorway_junction,,0,,,,-75.591544,39.701466,,
,116,178620887,,,0,,,,-75.6011266,39.699644,,
,117,178621007,motorway_junction,,0,,,,-75.5665779,39.6965264,,
,118,178621132,,,0,,,,-75.5062303,39.7807097,,
