name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,52903353,,,0,,,,-85.4132311,33.6536669,,
,1,59376199,,,0,,,,-85.000113,32.5072885,,
,2,59376217,,,0,,,,-85.0033593,32.5060937,,
,3,59376596,,,0,,,,-85.0000081,32.5070599,,
,4,59376612,,,0,,,,-85.0033359,32.5059394,,
,5,66136742,,,0,,,,-83.4107703,34.2964003,,
,6,66136770,motorway_junction,,0,,,,-83.4030474,34.2998471,,
,7,66142041,traffic_signals,,1,,,,-83.4635552,34.255908,,
,8,66142056,motorway_junction,,0,,,,-83.459188,34.257149,,
,9,66145254,motorway_junction,,0,,,,-83.4101185,34.2962782,,
,10,66145293,,,0,,,,-83.402533,34.299787,,
,11,66145304,motorway_junction,,0,,,,-83.465945,34.253051,,
,12,66145312,traffic_signals,,1,,,,-83.4625235,34.2538089,,
,13,66145336,,,0,,,,-83.4583544,34.2572531,,
,14,66147167,,,0,,,,-83.811213,34.0953062,,
,15,66147178,,,0,,,,-83.810604,34.0956578,,
,16,66148869,,,0,,,,-83.8137968,34.0986373,,
,17,66148901,,,0,,,,-83.8186495,34.0953691,,
,18,66182242,,,0,,,,-83.8328796,34.0907484,,
,19,66182328,motorway_junction,,0,,,,-83.8073797,34.0979623,,
,20,66182351,motorway_junction,,0,,,,-83.817715,34.0954091,,
,21,66182374,,,0,,,,-83.8059808,34.0979147,,
,22,66205916,,,0,,,,-84.8095499,34.2731467,,
,23,66206384,,,0,,,,-84.8129491,34.2728989,,
,24,66254382,motorway_junction,,0,,,,-84.913663,34.3798559,,
,25,66279472,,,0,,,,-84.7632894,34.2053451,,
,26,66279482,,,0,,,,-84.7607005,34.2072906,,
,27,66293244,,,0,,,,-83.7365089,32.9309615,,
,28,66293269,traffic_signals,,1,,,,-83.7304971,32.9289461,,
,29,66293291,motorway_junction,,0,,,,-83.7271136,32.9264043,,
,30,66293337,,,0,,,,-83.569276,32.801302,,
,31,66293358,,,0,,,,-83.571607,32.8032604,,
,32,66293418,motorway_junction,,0,,,,-83.5716881,32.8027865,,
,33,66293476,,,0,,,,-83.5697105,32.7993681,,
,34,66293497,motorway_junction,,0,,,,-83.7275312,32.8133106,,
,35,66293532,,,0,,,,-83.7235953,32.8051768,,
,36,66293700,motorway_junction,,0,,,,-83.5666893,32.7961584,,
,37,66293708,motorway_junction,,0,,,,-83.643307,32.8445764,,
,38,66293778,,,0,,,,-83.6471024,32.8389832,,
,39,66293788,motorway_junction,,0,,,,-83.6484895,32.8376926,,
,40,66294118,,,0,,,,-83.7278715,32.8146275,,
,41,66294133,,,0,,,,-83.7251925,32.8104099,,
,42,66294136,,,0,,,,-83.7250786,32.8101732,,
,43,66294138,,,0,,,,-83.7249234,32.8099747,,
,44,66294152,,,0,,,,-83.7241854,32.8087182,,
,45,66294168,motorway_junction,,0,,,,-83.7238494,32.8061661,,
,46,66294192,,,0,,,,-83.714053,32.9212635,,
,47,66294203,,,0,,,,-83.7099365,32.9201176,,
,48,66294210,,,0,,,,-83.7093538,32.9199321,,
,49,66294404,,,0,,,,-83.6676045,32.7866946,,
,50,66295449,,,0,,,,-83.764731,32.8759134,,
,51,66295505,,,0,,,,-83.77084,32.8805347,,
,52,66295524,motorway_junction,,0,,,,-83.7719673,32.8826413,,
,53,66295563,motorway_junction,,0,,,,-83.6222335,32.8416162,,
,54,66295581,,,0,,,,-83.6200089,32.8395904,,
,55,66295633,,,0,,,,-83.6276343,32.8464573,,
,56,66295782,,,0,,,,-83.617344,32.838611,,
,57,66295866,traffic_signals,,1,,,,-83.6465449,32.8395567,,
,58,66295873,traffic_signals,,1,,,,-83.6455117,32.8408307,,
,59,66296539,traffic_signals,,1,,,,-83.6271426,32.8470485,,
,60,66296558,motorway_junction,,0,,,,-83.628462,32.849041,,
,61,66296594,traffic_signals,,1,,,,-83.646638,32.841094,,
,62,66296598,traffic_signals,,1,,,,-83.647379,32.8401325,,
,63,66296627,,,0,,,,-83.6493333,32.8368999,,
,64,66296663,,,0,,,,-83.6223279,32.8444033,,
,65,66296671,,,0,,,,-83.623009,32.844695,,
,66,66296708,motorway_junction,,0,,,,-83.6240986,32.8437661,,
,67,66296802,,,0,,,,-83.626268,32.848269,,
,68,66296826,,,0,,,,-83.628832,32.849742,,
,69,66296834,motorway_junction,,0,,,,-83.6562188,32.8099574,,
,70,66296874,,,0,,,,-83.6542957,32.8136953,,
,71,66297457,,,0,,,,-83.734509,32.8332755,,
,72,66297519,,,0,,,,-83.7318729,32.8286908,,
,73,66297577,,,0,,,,-83.6620484,32.8742333,,
,74,66298943,,,0,,,,-83.6565764,32.8144952,,
,75,66298953,,,0,,,,-83.65663,32.813805,,
,76,66298987,,,0,,,,-83.6566614,32.809015,,
,77,66299191,,,0,,,,-83.5668407,32.7957982,,
,78,66299213,,,0,,,,-83.569949,32.798214,,
,79,66299232,,,0,,,,-83.5702713,32.7981191,,
,80,66300171,,,0,,,,-83.667759,32.78696,,
,81,66300186,,,0,,,,-83.6683795,32.787187,,
,82,66300260,,,0,,,,-83.6720695,32.7855953,,
,83,66300303,,,0,,,,-83.6688808,32.7893043,,
,84,66300316,,,0,,,,-83.668535,32.7896741,,
,85,66300439,,,0,,,,-83.6220737,32.8417467,,
,86,66300453,,,0,,,,-83.6197625,32.84044,,
,87,66300705,motorway_junction,,0,,,,-83.613994,32.83719,,
,88,66300723,,,0,,,,-83.618942,32.84001,,
,89,66300735,motorway_junction,,0,,,,-83.7658155,32.8772182,,
,90,66300751,,,0,,,,-83.767186,32.879541,,
,91,66301298,,,0,,,,-83.7097129,32.9203442,,
,92,66302411,,,0,,,,-83.753061,32.865994,,
,93,66302430,,,0,,,,-83.7548516,32.8675313,,
,94,66302471,,,0,,,,-83.6539445,32.8139953,,
,95,66302478,,,0,,,,-83.655537,32.8254749,,
,96,66302510,motorway_junction,,0,,,,-83.6559387,32.820911,,
,97,66303154,motorway_junction,,0,,,,-83.7347009,32.9296987,,
,98,66303169,traffic_signals,,1,,,,-83.7324384,32.9273379,,
,99,66303195,,,0,,,,-83.7258932,32.9255506,,
,100,66303261,,,0,,,,-83.6672871,32.7908196,,
,101,66303264,,,0,,,,-83.6674179,32.7911391,,
,102,66303280,motorway_junction,,0,,,,-83.6654129,32.7943012,,
,103,66303434,,,0,,,,-83.570368,32.79851,,
,104,66303447,,,0,,,,-83.668334,32.788601,,
,105,66303746,,,0,,,,-83.645002,32.8407235,,
,106,66303925,,,0,,,,-83.66792,32.7873609,,
,107,66303930,,,0,,,,-83.668481,32.7893366,,
,108,66303986,,,0,,,,-83.7090433,32.9199718,,
,109,66304008,motorway_junction,,0,,,,-83.7058796,32.9177915,,
,110,66304017,,,0,,,,-83.7086468,32.9180175,,
,111,66304022,,,0,,,,-83.7078724,32.9176826,,
,112,66304046,,,0,,,,-83.704228,32.916013,,
,113,66304053,,,0,,,,-83.6558061,32.8152071,,
,114,66304101,,,0,,,,-83.6544397,32.8134806,,
,115,66304129,,,0,,,,-83.655325,32.814033,,
,116,66304577,,,0,,,,-83.6574673,32.8258387,,
,117,66305266,,,0,,,,-83.6340061,32.8534893,,
,118,66305498,,,0,,,,-83.6265755,32.8475313,,
,119,66305532,,,0,,,,-83.622932,32.843916,,
,120,66305731,motorway_junction,,0,,,,-83.7349929,32.8365423,,
,121,66305749,,,0,,,,-83.7346624,32.8338739,,
