name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,29397294,motorway_junction,,0,,,,-85.7420115,38.2614775,,
,1,60547506,motorway_junction,,0,,,,-84.6296403,38.8738052,,
,2,60552474,motorway_junction,,0,,,,-85.724765,38.2621662,,
,3,60552531,motorway_junction,,0,,,,-85.7369534,38.2606717,,
,4,60652546,,,0,,,,-85.7244868,38.2602135,,
,5,60652548,motorway_junction,,0,,,,-85.722935,38.2582998,,
,6,60652609,motorway_junction,,0,,,,-85.7450526,38.258521,,
,7,60652700,motorway_junction,,0,,,,-85.7502715,38.2590962,,
,8,60652718,motorway_junction,,0,,,,-85.7609494,38.2588121,,
,9,60652728,,,0,,,,-85.7681001,38.2602387,,
,10,62248146,,,0,,,,-84.1111318,36.5796003,,
,11,62248170,,,0,,,,-84.110953,36.579347,,
,12,156164197,,,0,,,,-82.5939659,38.3814009,,
,13,156164200,,,0,,,,-82.5939463,38.3815982,,
,14,161500311,,,0,,,,-85.30214,37.087751,,
,15,161501755,,,0,,,,-85.298067,37.090093,,
,16,161501801,,,0,,,,-85.302302,37.087184,,
,17,161501835,motorway_junction,,0,,,,-85.3087381,37.0859235,,
,18,161501863,,,0,,,,-85.302833,37.087434,,
,19,161503759,,,0,,,,-85.302453,37.087414,,
,20,161503782,,,0,,,,-85.3074201,37.0867023,,
,21,161503875,,,0,,,,-85.304091,37.089234,,
,22,161503885,,,0,,,,-85.303841,37.089676,,
,23,161505101,,,0,,,,-85.303768,37.089548,,
,24,161505104,,,0,,,,-85.303381,37.089523,,
,25,161505131,motorway_junction,,0,,,,-85.298341,37.090228,,
,26,161640833,motorway_junction,,0,,,,-85.044113,37.90986,,
,27,161640905,,,0,,,,-85.048333,37.909511,,
,28,161640917,,,0,,,,-85.052718,37.9066,,
,29,161641012,,,0,,,,-85.049117,37.909387,,
,30,161643665,motorway_junction,,0,,,,-85.057437,37.904476,,
,31,161643816,,,0,,,,-85.049339,37.907772,,
,32,161644105,,,0,,,,-84.874547,37.97137,,
,33,161644406,motorway_junction,,0,,,,-85.335197,37.073708,,
,34,161645495,,,0,,,,-85.334425,37.073692,,
,35,161704770,motorway_junction,,0,,,,-86.050921,37.100843,,
,36,161704804,,,0,,,,-86.054628,37.098641,,
,37,161704849,,,0,,,,-86.05517,37.098395,,
,38,161704913,,,0,,,,-86.05782,37.094619,,
,39,161705077,motorway_junction,,0,,,,-85.982415,37.131706,,
,40,161705152,,,0,,,,-85.977238,37.135026,,
,41,161705173,,,0,,,,-85.97684,37.135248,,
,42,161712590,motorway_junction,,0,,,,-86.115229,37.056977,,
,43,161712701,,,0,,,,-86.107416,37.0558,,
,44,161714455,,,0,,,,-85.928877,36.975081,,
,45,161714535,,,0,,,,-85.934938,36.977268,,
,46,161716248,motorway_junction,,0,,,,-86.112616,37.058173,,
,47,161717791,motorway_junction,,0,,,,-85.929374,36.975463,,
,48,161717839,,,0,,,,-85.933758,36.978621,,
,49,161718289,motorway_junction,,0,,,,-85.898463,36.979435,,
,50,161718341,,,0,,,,-85.894411,36.982452,,
,51,161718362,,,0,,,,-85.893983,36.98244,,
,52,161718375,,,0,,,,-85.898627,36.979525,,
,53,161718438,,,0,,,,-85.895593,36.983843,,
,54,161718458,,,0,,,,-85.8953262,36.9839382,,
,55,161718513,,,0,,,,-85.893809,36.982844,,
,56,161718579,,,0,,,,-85.8909058,36.9874719,,
,57,161718598,,,0,,,,-85.893881,36.982558,,
,58,161718701,,,0,,,,-85.934446,36.978992,,
,59,161718774,,,0,,,,-85.9405,36.981269,,
,60,161719963,,,0,,,,-85.89532,36.98418,,
,61,161720008,,,0,,,,-85.894882,36.984293,,
,62,161720047,motorway_junction,,0,,,,-85.891856,36.986828,,
,63,161723202,,,0,,,,-85.983039,37.131499,,
,64,161723259,,,0,,,,-85.979215,37.135448,,
,65,161723282,,,0,,,,-85.978872,37.136038,,
,66,161723408,motorway_junction,,0,,,,-85.973113,37.140965,,
,67,161726398,,,0,,,,-86.053913,37.09709,,
,68,161726416,,,0,,,,-86.053828,37.097515,,
,69,161726487,,,0,,,,-86.050431,37.100914,,
,70,161726835,,,0,,,,-85.93562,36.977148,,
