name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,272614,,,0,,,,-77.0312277,39.0156388,,
,1,272629,motorway_junction,,0,,,,-77.037834,39.0134433,,
,2,278454,motorway_junction,,0,,,,-76.8788573,38.9954391,,
,3,278495,motorway_junction,,0,,,,-76.8004246,39.0972771,,
,4,278499,motorway_junction,,0,,,,-76.7842974,39.1094928,,
,5,278665,motorway_junction,,0,,,,-76.7572928,39.13618,,
,6,278679,motorway_junction,,0,,,,-76.7362945,39.1643372,,
,7,278699,,,0,,,,-76.6894442,39.2050163,,
,8,278702,motorway_junction,,0,,,,-76.6830219,39.2099672,,
,9,281233,,,0,,,,-77.1429305,39.0212578,,
,10,281236,,,0,,,,-77.1416847,39.0246814,,
,11,281247,,,0,,,,-77.1446471,39.0366108,,
,12,281260,motorway_junction,,0,,,,-77.1506759,39.047928,,
,13,281313,,,0,,,,-77.2281497,39.1584835,,
,14,281323,motorway_junction,,0,,,,-77.2515329,39.1811582,,
,15,704316,,,0,,,,-77.0156948,39.0160334,,
,16,27029866,,,0,,,,-76.5133477,39.2281756,,
,17,27029943,motorway_junction,,0,,,,-76.5903871,39.2063311,,
,18,27029968,motorway_junction,,0,,,,-76.6275535,39.2036437,,
,19,27029984,motorway_junction,,0,,,,-76.6355126,39.2033571,,
,20,27029987,,,0,,,,-76.6422518,39.2066508,,
,21,27030243,,,0,,,,-76.8138348,39.2355738,,
,22,27030266,,,0,,,,-76.8060996,39.2235876,,
,23,27030776,,,0,,,,-76.8058516,39.2245618,,
,24,27031094,motorway_junction,,0,,,,-76.795372,39.2162242,,
,25,27031116,,,0,,,,-76.7941561,39.2096361,,
,26,27031130,motorway_junction,,0,,,,-76.7876658,39.2077833,,
,27,27031168,motorway_junction,,0,,,,-76.7720178,39.2015464,,
,28,27033798,,,0,,,,-76.6219776,39.2671348,,
,29,27033894,motorway_junction,,0,,,,-76.7718036,39.1920538,,
,30,27033897,,,0,,,,-76.5638923,39.2649931,,
,31,27033899,,,0,,,,-76.5596603,39.2684127,,
,32,27033900,motorway_junction,,0,,,,-76.5544966,39.2725385,,
,33,27033915,,,0,,,,-76.5465315,39.2840764,,
,34,27034057,,,0,,,,-76.7825718,39.2072421,,
,35,27034072,,,0,,,,-76.7828033,39.208565,,
,36,31471333,motorway_junction,,0,,,,-77.4286147,39.3979322,,
,37,31471380,,,0,,,,-77.3543588,39.3212362,,
,38,31471409,,,0,,,,-77.320929,39.2750739,,
,39,31471444,,,0,,,,-77.263605,39.1978882,,
,40,31471452,,,0,,,,-77.2516907,39.1810111,,
,41,31471454,,,0,,,,-77.2487454,39.1774488,,
,42,31471467,,,0,,,,-77.2217235,39.1532939,,
,43,31471489,motorway_junction,,0,,,,-77.183483,39.106612,,
,44,31471499,,,0,,,,-77.1743909,39.0885442,,
,45,31471502,motorway_junction,,0,,,,-77.1717387,39.0815555,,
,46,31471539,,,0,,,,-77.1510697,39.047947,,
,47,31471544,motorway_junction,,0,,,,-77.1445958,39.0356115,,
,48,31471552,,,0,,,,-77.1418456,39.0275826,,
,49,31472068,motorway_junction,,0,,,,-77.158217,38.995028,,
,50,31472084,motorway_junction,,0,,,,-77.1782698,38.9766012,,
,51,31843454,motorway_junction,,0,,,,-76.9281012,39.11556,,
,52,32872747,,,0,,,,-77.6349707,39.5834066,,
,53,32872779,,,0,,,,-77.4816017,39.4188099,,
,54,32872839,,,0,,,,-77.4722593,39.3785478,,
,55,32872843,motorway_junction,,0,,,,-77.4529378,39.388421,,
,56,32872846,motorway_junction,,0,,,,-77.4348598,39.4050038,,
,57,32872926,motorway_junction,,0,,,,-77.435514,39.4078283,,
,58,33131447,motorway_junction,,0,,,,-76.6313616,39.3216934,,
,59,33131448,,,0,,,,-76.6309308,39.3210227,,
,60,33131472,,,0,,,,-76.6189759,39.3085746,,
,61,33143365,,,0,,,,-76.7175455,39.1595771,,
,62,33143366,traffic_signals,,1,,,,-76.7179423,39.1592856,,
,63,33143864,,,0,,,,-76.7174884,39.1599494,,
,64,33143865,traffic_signals,,1,,,,-76.7181382,39.159422,,
,65,33144052,traffic_signals,,1,,,,-76.7196813,39.1562562,,
,66,35150299,,,0,,,,-76.9240976,39.1969495,,
,67,37019029,,,0,,,,-76.722301,39.38905,,
,68,37019034,traffic_signals,,1,,,,-76.7219985,39.38917,,
,69,37019076,traffic_signals,,1,,,,-76.7130734,39.3900841,,
,70,37019194,traffic_signals,,1,,,,-76.471047,39.2361799,,3
,71,37019198,traffic_signals,,1,,,,-76.4710717,39.236295,,3
,72,37020848,motorway_junction,,0,,,,-76.8363288,39.2405665,,
,73,37021376,motorway_junction,,0,,,,-77.0646032,39.3407688,,
,74,37021433,,,0,,,,-77.0700214,39.344666,,
,75,37021438,,,0,,,,-77.0705377,39.3447864,,
,76,37021455,,,0,,,,-77.071966,39.3450176,,
,77,37021488,,,0,,,,-77.0778935,39.3448657,,
,78,37022393,,,0,,,,-76.6871706,39.3950026,,
,79,37022403,traffic_signals,,1,,,,-76.6874949,39.394897,,37
,80,37022798,,,0,,,,-76.7599196,39.1864557,,
,81,37022829,,,0,,,,-76.7557701,39.18667,,
,82,37023199,,,0,,,,-76.8593962,39.2024519,,
,83,37024249,,,0,,,,-76.4877968,39.3323003,,
,84,37025226,,,0,,,,-76.8470244,39.139322,,
,85,37026734,traffic_signals,,1,,,,-76.7030109,39.2200723,,45
,86,37030029,motorway_junction,,0,,,,-76.5794129,39.4092994,,
,87,37030080,,,0,,,,-76.5794917,39.4077709,,
,88,37030090,,,0,,,,-76.5800796,39.4079843,,
,89,37030138,,,0,,,,-76.5796219,39.4087292,,
,90,37030452,motorway_junction,,0,,,,-76.630124,39.4163943,,
,91,37030465,traffic_signals,,1,,,,-76.6296825,39.4161585,,38
,92,37030470,traffic_signals,,1,,,,-76.6294993,39.4161152,,38
,93,37030480,,,0,,,,-76.6281654,39.4156762,,
,94,37030500,,,0,,,,-76.6232867,39.4143212,,
,95,37033106,,,0,,,,-76.843619,39.2290878,,
,96,37033455,,,0,,,,-76.8129718,39.138669,,
,97,37034379,motorway_junction,,0,,,,-76.6832908,39.2505359,,
,98,37034407,,,0,,,,-76.6865902,39.2465659,,
,99,37034544,,,0,,,,-76.8634874,39.2040236,,
,100,37036183,traffic_signals,,1,,,,-76.8144482,39.1358551,,
,101,37036247,,,0,,,,-76.8086637,39.1362078,,
,102,37036782,,,0,,,,-76.6703697,39.6282828,,
,103,37037507,motorway_junction,,0,,,,-76.7765622,39.4064527,,
,104,37039392,,,0,,,,-76.8565964,39.1232871,,
,105,37039464,,,0,,,,-76.7009211,39.2231756,,
,106,37039483,motorway_junction,,0,,,,-76.8668597,39.1216629,,
,107,37039502,motorway_junction,,0,,,,-76.6167973,39.4127492,,
,108,37039536,traffic_signals,,1,,,,-76.613119,39.411934,,
,109,37039543,,,0,,,,-76.6737085,39.2449683,,
,110,37039601,,,0,,,,-76.6725304,39.2452594,,
,111,37039631,,,0,,,,-76.6734402,39.2451219,,
,112,37039962,,,0,,,,-76.6687334,39.5483381,,
,113,37039968,,,0,,,,-76.6686294,39.5489132,,
,114,37040067,,,0,,,,-76.6706062,39.5485021,,
,115,37040084,,,0,,,,-76.6692828,39.5488822,,
,116,37040155,,,0,,,,-76.471305,39.2778031,,
,117,37040193,,,0,,,,-76.4739523,39.2792019,,
,118,37040330,,,0,,,,-76.4742411,39.2761055,,
,119,37040355,,,0,,,,-76.4718572,39.2788152,,
,120,37040420,motorway_junction,,0,,,,-76.4680368,39.2740453,,
,121,37041621,motorway_junction,,0,,,,-77.0227009,39.3289562,,
,122,37041681,,,0,,,,-77.0170725,39.3243403,,
,123,37041727,,,0,,,,-77.0095321,39.3239973,,
,124,37041966,motorway_junction,,0,,,,-76.8460934,39.2253782,,
,125,37042036,,,0,,,,-76.8462962,39.2256016,,
,126,37042145,,,0,,,,-77.064957,39.3406068,,
,127,37042174,,,0,,,,-77.0705068,39.3401284,,
,128,37042196,,,0,,,,-77.0728202,39.3404977,,
,129,37042210,motorway_junction,,0,,,,-77.0783697,39.3447594,,
,130,37042214,,,0,,,,-76.8428663,39.2398333,,
,131,37042260,,,0,,,,-76.8399051,39.2357129,,
,132,37042305,motorway_junction,,0,,,,-76.8377419,39.2392374,,
,133,37042377,,,0,,,,-76.837642,39.2398891,,
,134,37044094,traffic_signals,,1,,,,-76.8199031,39.2557766,,
,135,37044713,motorway_junction,,0,,,,-76.8597221,39.2019991,,
,136,37044754,,,0,,,,-76.861779,39.2017895,,
,137,37044796,traffic_signals,,1,,,,-76.8614532,39.2030752,,
,138,37045314,,,0,,,,-76.8333793,39.2385642,,
,139,37045362,motorway_junction,,0,,,,-76.8398015,39.2353288,,
,140,37046188,,,0,,,,-76.9593567,39.3100159,,
,141,37046203,,,0,,,,-76.9532641,39.3109176,,
,142,37046211,,,0,,,,-76.9518504,39.3119541,,
,143,37046442,,,0,,,,-76.8312006,39.1580983,,
,144,37055227,,,0,,,,-76.8464565,39.144022,,
,145,37057113,motorway_junction,,0,,,,-77.0093801,39.3242039,,
,146,37057142,,,0,,,,-77.0145338,39.329187,,
,147,37057149,traffic_signals,,1,,,,-77.015417,39.3293786,,
,148,37057151,,,0,,,,-77.0157683,39.3293583,,
,149,37057179,,,0,,,,-77.0225349,39.3291603,,
,150,37058212,motorway_junction,,0,,,,-76.8197416,39.2502183,,
