name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,116805854,,,0,,,,-94.4409357,35.4509918,,
,1,116868067,,,0,,,,-94.4318021,35.4597544,,
,2,122897919,,,0,,,,-97.3380917,37.0253321,,
,3,144644774,motorway_junction,,0,,,,-95.7522575,34.5274497,,
,4,144644788,,,0,,,,-95.756292,34.5293422,,
,5,144644817,motorway_junction,,0,,,,-95.7584577,34.5318314,,
,6,144644855,,,0,,,,-95.7579749,34.5316635,,
,7,144667045,,,0,,,,-95.7551596,34.5295754,,
,8,144677136,motorway_junction,,0,,,,-99.9961397,35.2270327,,
,9,144677146,,,0,,,,-99.9872692,35.2280307,,
,10,144677230,motorway_junction,,0,,,,-99.9154895,35.2263479,,
,11,144677243,,,0,,,,-99.9083791,35.2262565,,
,12,144677261,motorway_junction,,0,,,,-99.8754552,35.2261452,,
,13,144677276,,,0,,,,-99.8658401,35.2261057,,
,14,144677371,motorway_junction,,0,,,,-99.7940604,35.2298175,,
,15,144677379,,,0,,,,-99.7896475,35.2299926,,
,16,144677409,motorway_junction,,0,,,,-99.7728379,35.2338803,,
,17,144677428,,,0,,,,-99.7663641,35.2370294,,
,18,144677440,motorway_junction,,0,,,,-99.7569974,35.2422354,,
,19,144677461,,,0,,,,-99.7492745,35.2465407,,
,20,144677600,motorway_junction,,0,,,,-99.6481523,35.2620068,,
,21,144677642,,,0,,,,-99.6387073,35.264297,,
,22,144677721,motorway_junction,,0,,,,-99.6207099,35.2890187,,
,23,144677731,,,0,,,,-99.619178,35.2940978,,
,24,144677772,motorway_junction,,0,,,,-99.6136533,35.3122853,,
,25,144677799,,,0,,,,-99.6106348,35.3186634,,
,26,144677860,motorway_junction,,0,,,,-99.5970767,35.3349767,,
,27,144677882,,,0,,,,-99.5902673,35.3398888,,
,28,144678072,motorway_junction,,0,,,,-99.5137728,35.3840622,,
,29,144678103,,,0,,,,-99.5018085,35.3855942,,
,30,144678143,,,0,,,,-99.4654417,35.3859854,,
,31,144678246,motorway_junction,,0,,,,-99.4056475,35.3874316,,
,32,144678277,,,0,,,,-99.3990491,35.3920634,,
,33,144678320,motorway_junction,,0,,,,-99.3858266,35.4049394,,
,34,144678341,,,0,,,,-99.3792893,35.411321,,
,35,144678361,motorway_junction,,0,,,,-99.3743844,35.4156182,,
,36,144678389,,,0,,,,-99.3639486,35.4203414,,
,37,144678430,,,0,,,,-99.9954975,35.2273958,,
,38,144678437,motorway_junction,,0,,,,-99.9870069,35.2284143,,
,39,144678498,,,0,,,,-99.915945,35.2267098,,
,40,144678511,motorway_junction,,0,,,,-99.907987,35.226599,,
,41,144678531,,,0,,,,-99.8757072,35.2264756,,
,42,144678549,motorway_junction,,0,,,,-99.8668487,35.2264491,,
,43,144678611,motorway_junction,,0,,,,-99.821573,35.2294135,,
,44,144678653,,,0,,,,-99.7896988,35.2303294,,
,45,144678661,motorway_junction,,0,,,,-99.7846713,35.2309338,,
,46,144678695,,,0,,,,-99.7692952,35.2358697,,
,47,144678705,motorway_junction,,0,,,,-99.763049,35.2392906,,
,48,144678722,,,0,,,,-99.7567335,35.2427931,,
,49,144678746,motorway_junction,,0,,,,-99.748878,35.2471633,,
,50,144678922,,,0,,,,-99.6468881,35.262373,,
,51,144678962,motorway_junction,,0,,,,-99.6391662,35.2644317,,
,52,144679055,,,0,,,,-99.6210465,35.2893422,,
,53,144679076,motorway_junction,,0,,,,-99.619623,35.2940933,,
,54,144679127,,,0,,,,-99.6140998,35.3120545,,
,55,144679168,motorway_junction,,0,,,,-99.6110353,35.3184006,,
,56,144679231,,,0,,,,-99.5965829,35.3356805,,
,57,144679265,motorway_junction,,0,,,,-99.5899528,35.3402753,,
,58,144679412,,,0,,,,-99.5157166,35.3837916,,
,59,144679449,motorway_junction,,0,,,,-99.5018757,35.3857671,,
,60,144679466,,,0,,,,-99.474611,35.3857987,,
,61,144679491,motorway_junction,,0,,,,-99.4655948,35.3861546,,
,62,144679625,,,0,,,,-99.4067302,35.3871892,,
,63,144679664,motorway_junction,,0,,,,-99.3995295,35.3918748,,
,64,144679702,,,0,,,,-99.3866773,35.4043902,,
,65,144679726,motorway_junction,,0,,,,-99.377504,35.413326,,
,66,144679742,,,0,,,,-99.375197,35.415578,,
,67,144679773,motorway_junction,,0,,,,-99.3629725,35.4213692,,
,68,144680681,,,0,,,,-99.3727468,35.4203292,,
,69,144680685,traffic_signals,,1,,,,-99.3727572,35.4216842,,
,70,144680689,traffic_signals,,1,,,,-99.3727574,35.421864,,
,71,144681322,,,0,,,,-99.6425978,35.263829,,
,72,144681342,,,0,,,,-99.6430033,35.2642292,,
,73,144681522,,,0,,,,-99.6210692,35.2920619,,
,74,144681757,,,0,,,,-99.644035,35.2637667,,
,75,144681762,,,0,,,,-99.6430339,35.26469,,
,76,144682319,,,0,,,,-99.5094285,35.3871768,,
,77,144682742,,,0,,,,-99.9917573,35.2263379,,
,78,144683544,,,0,,,,-99.6446352,35.2619105,,
,79,144685847,,,0,,,,-99.372963,35.420321,,
,80,144687136,,,0,,,,-99.5932578,35.3390112,,
,81,144687179,,,0,,,,-99.3818392,35.4110593,,
,82,144688368,,,0,,,,-99.5051455,35.3865184,,
,83,144688369,,,0,,,,-99.5054981,35.3865105,,
,84,144688437,,,0,,,,-99.6112952,35.3156551,,
,85,144688984,,,0,,,,-99.7679549,35.2367892,,
,86,144692847,,,0,,,,-99.5054998,35.3848405,,
,87,144694189,,,0,,,,-99.7673504,35.2362631,,
,88,144695566,,,0,,,,-99.796657,35.229204,,
,89,144699565,,,0,,,,-99.4019817,35.3882129,,
,90,144699568,,,0,,,,-99.4016698,35.3886721,,
,91,144699571,,,0,,,,-99.4018026,35.388519,,
,92,144699574,,,0,,,,-99.4012755,35.388688,,
,93,144720757,,,0,,,,-99.509458,35.3873652,,
,94,144722719,,,0,,,,-99.6137891,35.3152852,,
,95,144723276,,,0,,,,-99.9116228,35.2274199,,
,96,144725575,,,0,,,,-99.4036505,35.3898596,,
,97,144725585,,,0,,,,-99.4028804,35.3903204,,
,98,144728770,,,0,,,,-99.7899129,35.2323679,,
,99,144728774,,,0,,,,-99.790273,35.2327415,,
,100,144744876,,,0,,,,-99.385516,35.407421,,
,101,144793550,motorway_junction,,0,,,,-98.347422,35.5292186,,
,102,144793561,,,0,,,,-98.3544836,35.5292457,,
,103,144793675,motorway_junction,,0,,,,-98.4661412,35.5295225,,
,104,144793678,,,0,,,,-98.469255,35.529528,,
,105,144793783,motorway_junction,,0,,,,-98.5648187,35.5364605,,
,106,144793800,,,0,,,,-98.5847726,35.5364192,,
,107,144793841,motorway_junction,,0,,,,-98.5827685,35.5362553,,
,108,144793857,,,0,,,,-98.5668635,35.5362846,,
,109,144794000,motorway_junction,,0,,,,-98.4635674,35.5293361,,
,110,144794005,,,0,,,,-98.4605937,35.5292675,,
,111,144794136,motorway_junction,,0,,,,-98.3539754,35.529071,,
,112,144794159,,,0,,,,-98.3470039,35.529058,,
,113,144798154,motorway_junction,,0,,,,-97.9769597,35.5091419,,
,114,144798390,,,0,,,,-97.9427954,35.5012873,,
,115,144798404,,,0,,,,-97.9355602,35.5026861,,
,116,144798416,motorway_junction,,0,,,,-97.9313897,35.5013101,,
,117,144798987,motorway_junction,,0,,,,-97.852436,35.4999494,,
,118,144799010,,,0,,,,-97.8450107,35.5002123,,
,119,144799585,motorway_junction,,0,,,,-97.968582,35.50646,,
,120,144799599,,,0,,,,-97.9761663,35.5093451,,
,121,144799614,,,0,,,,-98.1090802,35.5290261,,
,122,144799633,motorway_junction,,0,,,,-98.1179375,35.5294716,,
,123,144799638,motorway_junction,,0,,,,-98.0402325,35.5287612,,
,124,144799647,,,0,,,,-98.0406734,35.5318003,,
,125,144799872,motorway_junction,,0,,,,-97.8449002,35.5005616,,
,126,144799882,,,0,,,,-97.8523493,35.5003022,,
,127,144799917,,,0,,,,-97.9385442,35.4995487,,
,128,144800211,,,0,,,,-97.7544323,35.4833472,,
,129,144800217,traffic_signals,,1,,,,-97.7603385,35.4883517,,26
,130,144800221,motorway_junction,,0,,,,-97.7642586,35.4887816,,
,131,144800236,traffic_signals,,1,,,,-97.7603402,35.4854283,,28
,132,144800849,,,0,,,,-97.6818836,35.4601458,,
,133,144801444,motorway_junction,,0,,,,-97.7281552,35.46977,,
,134,144801451,traffic_signals,,1,,,,-97.7246438,35.4669173,,25
,135,144802669,,,0,,,,-97.7098182,35.4789745,,
,136,144803123,,,0,,,,-97.8096399,35.5009817,,
,137,144803130,,,0,,,,-97.8167215,35.5013517,,
,138,144803137,motorway_junction,,0,,,,-97.8167166,35.5010042,,
,139,144803215,,,0,,,,-98.2425698,35.5343265,,
,140,144803229,,,0,,,,-98.2328311,35.5320643,,
,141,144803234,motorway_junction,,0,,,,-98.2333027,35.5323413,,
,142,144804197,,,0,,,,-98.3018355,35.5227634,,
,143,144804214,motorway_junction,,0,,,,-98.2940901,35.5243378,,
,144,144805648,,,0,,,,-98.0498541,35.5298971,,
,145,144805739,motorway_junction,,0,,,,-97.8691408,35.500858,,
,146,144805744,,,0,,,,-97.872797,35.5012754,,
,147,144805750,,,0,,,,-97.8751126,35.5014033,,
,148,144805753,,,0,,,,-97.8769702,35.5013513,,
,149,144806817,motorway_junction,,0,,,,-97.6960776,35.4600715,,
,150,144807193,traffic_signals,,1,,,,-97.7246375,35.4694145,,27
,151,144809207,,,0,,,,-98.2930812,35.5245773,,
,152,144810384,motorway_junction,,0,,,,-98.1923474,35.5290657,,
,153,144810386,,,0,,,,-98.1900551,35.528808,,
,154,144810402,,,0,,,,-98.1881109,35.5289299,,
,155,144819570,,,0,,,,-98.4668297,35.5304395,,
,156,144819574,,,0,,,,-98.465523,35.531405,,
,157,144819579,,,0,,,,-98.4649339,35.5318705,,
,158,144831756,,,0,,,,-98.4648907,35.5268729,,
,159,144831767,,,0,,,,-98.4629899,35.528334,,
,160,144847755,motorway_junction,,0,,,,-98.1104966,35.5292857,,
,161,144847967,motorway_junction,,0,,,,-97.8969617,35.5008683,,
,162,144848389,,,0,,,,-97.8735901,35.500787,,
,163,144859178,,,0,,,,-97.1597698,34.2997775,,
,164,144859209,,,0,,,,-97.160829,34.3035961,,
,165,144859212,,,0,,,,-97.1609196,34.3038464,,
,166,144859255,motorway_junction,,0,,,,-97.1597384,34.3068358,,
,167,144860369,motorway_junction,,0,,,,-97.1637905,34.1983595,,
,168,144860395,,,0,,,,-97.162886,34.201685,,
