name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,38708798,,,0,,,,-71.3598665,41.8124909,,
,1,65642308,,,0,,,,-71.369447,41.898328,,
,2,65658987,,,0,,,,-71.369347,41.8986464,,
,3,68477840,,,0,,,,-71.368355,41.950749,,
,4,68514620,,,0,,,,-71.3681841,41.9504291,,
,5,68605055,,,0,,,,-71.381421,41.952845,,
,6,75153143,,,0,,,,-71.307122,41.790809,,
,7,75174835,,,0,,,,-71.339407,41.806781,,
,8,75181336,,,0,,,,-71.303777,41.789671,,
,9,178190698,,,0,,,,-71.8002889,41.4409148,,
,10,201033414,motorway_junction,,0,,,,-71.440384,41.751627,,
,11,201033482,motorway_junction,,0,,,,-71.443046,41.750282,,
,12,201033753,,,0,,,,-71.4447089,41.7241315,,
,13,201033779,,,0,,,,-71.4453931,41.7237982,,
,14,201034205,,,0,,,,-71.4426896,41.7479069,,
,15,201034454,,,0,,,,-71.4416319,41.7492637,,
,16,201034881,motorway_junction,,0,,,,-71.443298,41.749516,,
,17,201034952,,,0,,,,-71.444603,41.74598,,
,18,201036407,,,0,,,,-71.4707503,41.7165459,,
,19,201036540,,,0,,,,-71.4700464,41.7160526,,
,20,201036882,,,0,,,,-71.4717201,41.7161487,,
,21,201037204,,,0,,,,-71.4717545,41.7160526,,
,22,201037328,,,0,,,,-71.4455672,41.7231321,,
,23,201037358,traffic_signals,,1,,,,-71.4450608,41.7231706,,
,24,201037501,traffic_signals,,1,,,,-71.471359,41.69777,,
,25,201037646,motorway_junction,,0,,,,-71.477005,41.691218,,
,26,201039645,,,0,,,,-71.5490435,41.6585809,,
,27,201039649,,,0,,,,-71.544518,41.659243,,
,28,201039881,,,0,,,,-71.658974,41.600066,,
,29,201040044,,,0,,,,-71.659996,41.605721,,
,30,201040076,motorway_junction,,0,,,,-71.6588307,41.5983308,,
,31,201040285,,,0,,,,-71.653854,41.5995,,
,32,201040852,,,0,,,,-71.605568,41.650048,,
,33,201040882,,,0,,,,-71.607071,41.650176,,
,34,201040938,motorway_junction,,0,,,,-71.6130278,41.649143,,
,35,201041026,motorway_junction,,0,,,,-71.4742335,41.7164219,,
,36,201041264,,,0,,,,-71.473007,41.716742,,
,37,201041325,,,0,,,,-71.4691624,41.7196852,,
,38,201041450,,,0,,,,-71.468208,41.716322,,
,39,201041492,,,0,,,,-71.472587,41.697554,,
,40,201041808,motorway_junction,,0,,,,-71.4438356,41.7450188,,
,41,201042020,,,0,,,,-71.436035,41.746243,,
,42,201042067,,,0,,,,-71.605064,41.651672,,
,43,201042101,motorway_junction,,0,,,,-71.603104,41.650775,,
,44,201042441,motorway_junction,,0,,,,-71.477097,41.719301,,
,45,201042509,,,0,,,,-71.4767275,41.7165196,,
,46,201044275,,,0,,,,-71.494583,41.611614,,
,47,201044427,,,0,,,,-71.492866,41.615096,,
,48,201044438,,,0,,,,-71.491791,41.614962,,
,49,201044439,,,0,,,,-71.491638,41.614947,,
,50,201044807,,,0,,,,-71.471435,41.718356,,
,51,201045423,,,0,,,,-71.5478262,41.6602183,,
,52,201045929,motorway_junction,,0,,,,-71.501198,41.6666261,,
,53,201046066,traffic_signals,,1,,,,-71.4996001,41.6688272,,4
,54,201046068,traffic_signals,,1,,,,-71.499466,41.668833,,4
,55,201047321,,,0,,,,-71.5071253,41.6664701,,
,56,201047526,,,0,,,,-71.478935,41.696976,,
,57,201047687,,,0,,,,-71.4773935,41.6909585,,
,58,201047792,motorway_junction,,0,,,,-71.475433,41.697965,,
,59,201048749,,,0,,,,-71.439079,41.747358,,
,60,201048920,,,0,,,,-71.49942,41.667667,,
,61,201049139,,,0,,,,-71.473388,41.697622,,
