name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,77478812,motorway_junction,,0,,,,-96.840966,45.940356,,
,1,77478863,,,0,,,,-96.8454646,45.9358725,,
,2,77521820,,,0,,,,-96.8396709,45.941659,,
,3,77521868,,,0,,,,-96.8391761,45.9358732,,
,4,77521979,motorway_junction,,0,,,,-96.8425298,45.9370542,,
,5,77522046,,,0,,,,-96.8434795,45.936244,,
,6,78551741,motorway_junction,,0,,,,-98.4798896,43.702811,,
,7,78551781,,,0,,,,-98.4923163,43.7068982,,
,8,78551904,,,0,,,,-98.781315,43.737848,,
,9,78551920,,,0,,,,-98.789234,43.737974,,
,10,78551925,,,0,,,,-98.7812593,43.7375986,,
,11,78551949,,,0,,,,-98.7905123,43.7377537,,
,12,78552157,motorway_junction,,0,,,,-98.611008,43.70878,,
,13,78552173,,,0,,,,-98.615033,43.709221,,
,14,78552189,,,0,,,,-98.617814,43.709095,,
,15,78552197,,,0,,,,-98.620621,43.70879,,
,16,78552200,motorway_junction,,0,,,,-98.6313811,43.7085767,,
,17,78552218,,,0,,,,-98.6281279,43.7082309,,
,18,78552252,,,0,,,,-98.6245691,43.7082394,,
,19,78552264,,,0,,,,-98.6218703,43.7085545,,
,20,78552534,,,0,,,,-98.4797019,43.7024731,,
,21,78552574,motorway_junction,,0,,,,-98.4915975,43.7063842,,
,22,78552584,,,0,,,,-98.4379238,43.6947392,,
,23,78552619,motorway_junction,,0,,,,-98.4505865,43.6947168,,
,24,78552623,,,0,,,,-98.7081135,43.7168636,,
,25,78552666,motorway_junction,,0,,,,-98.7207017,43.7179477,,
,26,78552673,,,0,,,,-98.720549,43.7181813,,
,27,78552729,motorway_junction,,0,,,,-98.707777,43.7170753,,
,28,78552768,motorway_junction,,0,,,,-98.4376529,43.6949823,,
,29,78552825,,,0,,,,-98.4512544,43.6949717,,
,30,78721136,,,0,,,,-96.7604359,44.3110312,,
,31,78722026,,,0,,,,-96.7603677,44.3257673,,
,32,78731993,motorway_junction,,0,,,,-96.756867,44.2342251,,
,33,78731997,,,0,,,,-96.7571187,44.244358,,
