name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,82803927,,,0,,,,-112.0573054,41.4407763,,
,1,82803937,,,0,,,,-112.0573826,41.4381704,,
,2,82805804,,,0,,,,-112.0693656,41.5361815,,
,3,82805808,,,0,,,,-112.0689062,41.5363806,,
,4,82805816,motorway_junction,,0,,,,-112.0670322,41.5402889,,
,5,82814792,,,0,,,,-112.052712,41.4841448,,
,6,82821515,,,0,,,,-112.0563183,41.4416385,,
,7,82821519,,,0,,,,-112.056284,41.4388074,,
,8,82825869,,,0,,,,-112.604999,38.5657963,,
,9,82827504,,,0,,,,-112.2956014,41.7970794,,
,10,82829694,,,0,,,,-112.6501095,38.2441315,,
,11,82829710,motorway_junction,,0,,,,-112.6502506,38.2533256,,
,12,82836338,,,0,,,,-112.0666312,41.5369891,,
,13,82836349,,,0,,,,-112.0646574,41.5351955,,
,14,82837199,motorway_junction,,0,,,,-112.7682196,41.9688392,,
,15,82838781,,,0,,,,-112.610525,38.5332595,,
,16,82846701,,,0,,,,-112.654096,38.4076827,,
,17,82846715,motorway_junction,,0,,,,-112.6514462,38.4167612,,
,18,82849731,,,0,,,,-112.0980846,41.6318119,,
,19,82853649,motorway_junction,,0,,,,-112.2111599,41.7129502,,
,20,82855111,,,0,,,,-112.6507955,38.2866012,,
,21,82855126,motorway_junction,,0,,,,-112.6517225,38.297959,,
,22,82858509,,,0,,,,-112.0644418,41.5356934,,
,23,82858527,,,0,,,,-112.0638672,41.5350777,,
,24,82858701,motorway_junction,,0,,,,-112.0392708,41.3447656,,
,25,82858710,,,0,,,,-112.0388221,41.3399821,,
,26,82858717,,,0,,,,-112.0376521,41.3382853,,
,27,82858728,,,0,,,,-112.0359341,41.3425533,,
,28,82858762,,,0,,,,-112.0367602,41.3414107,,
,29,82864538,,,0,,,,-112.2018572,41.7088138,,
,30,82867619,,,0,,,,-112.6492146,38.2485903,,
,31,82870061,motorway_junction,,0,,,,-112.6090541,38.5418424,,
,32,82873230,,,0,,,,-112.0668697,41.5413755,,
,33,82878930,,,0,,,,-112.4846679,41.8832387,,
,34,82878947,motorway_junction,,0,,,,-112.4960491,41.8863634,,
,35,82879436,,,0,,,,-112.0689029,41.5360829,,
,36,82879627,,,0,,,,-112.0346208,41.3369422,,
,37,82879634,,,0,,,,-112.0374252,41.3398322,,
,38,82880091,motorway_junction,,0,,,,-112.6033239,38.5738532,,
,39,82891382,,,0,,,,-112.134997,41.6763629,,
,40,82891479,motorway_junction,,0,,,,-112.0628105,41.5163978,,
,41,82891543,motorway_junction,,0,,,,-112.0563011,41.4265359,,
,42,82891635,motorway_junction,,0,,,,-112.1929329,41.9817776,,
,43,82891703,motorway_junction,,0,,,,-112.1730613,41.7907582,,
,44,82891731,motorway_junction,,0,,,,-112.1928497,41.7312014,,
,45,82891741,,,0,,,,-112.1928178,41.7203511,,
,46,82898912,,,0,,,,-112.2220223,41.7176161,,
,47,82899009,,,0,,,,-112.4070169,41.8150066,,
,48,82899116,,,0,,,,-112.7475002,41.9615721,,
,49,82902560,,,0,,,,-112.0681012,41.5358805,,
,50,82902562,,,0,,,,-112.0653101,41.5353026,,
,51,82961175,motorway_junction,,0,,,,-111.9053017,40.8576698,,
,52,82961195,,,0,,,,-111.9010032,40.861701,,
,53,82961210,,,0,,,,-111.8992604,40.8649487,,
,54,82961449,traffic_signals,,1,,,,-111.9050034,40.9900472,,
,55,82961460,,,0,,,,-111.9119108,40.9930119,,
,56,82961462,,,0,,,,-111.9082426,41.123357,,
,57,82961497,motorway_junction,,0,,,,-111.9098408,41.1310427,,
,58,82966274,motorway_junction,,0,,,,-111.8910843,40.9170407,,
,59,82966291,traffic_signals,,1,,,,-111.8906615,40.9235927,,
,60,82966297,,,0,,,,-111.891181,40.9268611,,
,61,82966300,,,0,,,,-111.9083687,41.1290397,,
,62,82967327,traffic_signals,,1,,,,-111.9023691,40.8630059,,
,63,82967342,motorway_junction,,0,,,,-111.8994116,40.8652626,,
,64,82968511,,,0,,,,-111.9361638,40.8349388,,
,65,82968529,motorway_junction,,0,,,,-111.9297798,40.8341751,,
,66,82969587,motorway_junction,,0,,,,-112.007927,41.1074724,,
,67,82969591,,,0,,,,-112.0055817,41.1044075,,
,68,82969671,,,0,,,,-111.9064469,41.128508,,
,69,82969725,traffic_signals,,1,,,,-111.912796,41.0118527,,
,70,82970542,motorway_junction,,0,,,,-111.963326,41.1478099,,
,71,82970557,motorway_junction,,0,,,,-111.9738671,41.1514993,,
,72,82972162,motorway_junction,,0,,,,-111.9114242,40.9923851,,
,73,82972169,traffic_signals,,1,,,,-111.9061314,40.9891208,,
,74,82972200,motorway_junction,,0,,,,-111.8909679,40.9664389,,
,75,82973461,motorway_junction,,0,,,,-111.9079898,41.1239288,,
,76,82973486,motorway_junction,,0,,,,-111.9415711,40.8329207,,
,77,82973518,,,0,,,,-111.9287655,40.8339359,,
,78,82974183,,,0,,,,-111.917235,40.8297646,,
,79,82974188,,,0,,,,-111.916912,40.8317714,,
,80,82974666,motorway_junction,,0,,,,-111.9312238,41.0055806,,
,81,82974669,,,0,,,,-111.9332251,41.0083578,,
,82,82974679,,,0,,,,-111.9343667,41.0093941,,
,83,82977486,,,0,,,,-111.9355425,41.0084808,,
,84,82977496,,,0,,,,-111.9344267,41.0076453,,
,85,82977824,,,0,,,,-111.8925634,40.9722719,,
,86,82977830,,,0,,,,-111.8924248,40.9735481,,
,87,82978143,motorway_junction,,0,,,,-111.9533656,41.041821,,
,88,82978149,,,0,,,,-111.950028,41.038693,,
,89,82978152,traffic_signals,,1,,,,-111.9496448,41.0381689,,
,90,82978311,motorway_junction,,0,,,,-111.987147,41.0854194,,
,91,82978633,motorway_junction,,0,,,,-111.9156014,40.8379775,,
,92,82978934,traffic_signals,,1,,,,-111.9034251,40.9910282,,
,93,82979444,motorway_junction,,0,,,,-111.9997277,41.0990913,,
,94,82979589,traffic_signals,,1,,,,-111.9113877,41.0110817,,
,95,82979594,,,0,,,,-111.910107,41.015581,,
,96,82979632,,,0,,,,-111.8959864,40.8837705,,
,97,82979639,motorway_junction,,0,,,,-111.8966431,40.8793723,,
,98,82980583,,,0,,,,-111.8916736,40.9215426,,
,99,82980597,motorway_junction,,0,,,,-111.8914625,40.9266078,,
