name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,288163,,,0,,,,-77.2651944,38.8758286,,
,1,390684,,,0,,,,-77.3416855,38.5535757,,
,2,390704,,,0,,,,-77.3462961,38.5502861,,
,3,390715,,,0,,,,-77.3455649,38.5451658,,
,4,390834,,,0,,,,-77.4196897,38.424519,,
,5,390841,motorway_junction,,0,,,,-77.4264852,38.4153495,,
,6,390920,motorway_junction,,0,,,,-77.4982834,38.3330879,,
,7,390954,,,0,,,,-77.5057124,38.2967524,,
,8,390955,motorway_junction,,0,,,,-77.5048981,38.2969437,,
,9,391002,motorway_junction,,0,,,,-77.5002698,38.2408621,,
,10,396346,motorway_junction,,0,,,,-77.492517,37.9763184,,
,11,396542,motorway_junction,,0,,,,-77.4677911,37.9327371,,
,12,396691,,,0,,,,-77.4515533,37.8424769,,
,13,396693,motorway_junction,,0,,,,-77.4510254,37.8418789,,
,14,396765,,,0,,,,-77.4604261,37.7633401,,
,15,396782,,,0,,,,-77.4504269,37.7263142,,
,16,396812,motorway_junction,,0,,,,-77.4518795,37.6889703,,
,17,396836,motorway_junction,,0,,,,-77.4484274,37.6713814,,
,18,400392,,,0,,,,-77.2560424,37.5168923,,
,19,400406,motorway_junction,,0,,,,-77.2288938,37.5153495,,
,20,400423,motorway_junction,,0,,,,-77.183973,37.5155368,,
,21,400455,motorway_junction,,0,,,,-77.0915768,37.5051179,,
,22,400462,,,0,,,,-77.0800171,37.5031553,,
,23,400479,motorway_junction,,0,,,,-77.0176754,37.4949833,,
,24,400480,,,0,,,,-77.0187697,37.4944299,,
,25,29917809,,,0,,,,-77.4299702,38.9149801,,
,26,29917810,motorway_junction,,0,,,,-77.4299071,38.915618,,
,27,29917816,,,0,,,,-77.4294246,38.9152056,,
,28,29933491,motorway_junction,,0,,,,-77.4496289,37.6617006,,
,29,29933492,,,0,,,,-77.4505757,37.6581563,,
,30,29933497,motorway_junction,,0,,,,-77.4524533,37.6389476,,
,31,29933499,,,0,,,,-77.4508868,37.6330512,,
,32,29933529,motorway_junction,,0,,,,-77.4693712,37.5900619,,
,33,29933537,motorway_junction,,0,,,,-77.4660539,37.5779257,,
,34,29933553,motorway_junction,,0,,,,-77.4460117,37.5541386,,
,35,29933556,,,0,,,,-77.4398466,37.5511501,,
,36,29933557,motorway_junction,,0,,,,-77.4381309,37.5508271,,
,37,29933562,,,0,,,,-77.4283316,37.5444934,,
,38,29933563,motorway_junction,,0,,,,-77.4273187,37.5420881,,
,39,29933566,,,0,,,,-77.4278625,37.5382523,,
,40,29933569,motorway_junction,,0,,,,-77.4300087,37.5342318,,
,41,29933574,motorway_junction,,0,,,,-77.4280992,37.5237639,,
,42,29933577,,,0,,,,-77.4264436,37.5181441,,
,43,29933578,,,0,,,,-77.4256765,37.5154988,,
,44,29933604,motorway_junction,,0,,,,-77.4280704,37.4687883,,
,45,31381892,,,0,,,,-77.431043,38.8413526,,
,46,31381927,,,0,,,,-77.4314631,38.8383842,,
,47,33127526,motorway_junction,,0,,,,-77.42871,37.5507325,,
,48,33127657,,,0,,,,-77.4706717,37.5874972,,
,49,33127790,motorway_junction,,0,,,,-77.4741715,37.5837644,,
,50,33719141,motorway_junction,,0,,,,-77.4450344,38.8396344,,
,51,33719147,,,0,,,,-77.436565,38.8455474,,
,52,33719192,motorway_junction,,0,,,,-77.2992589,38.8706142,,
,53,34009874,,,0,,,,-77.4299809,37.5498896,,
,54,39695379,,,0,,,,-76.3230073,37.0114633,,
,55,39695386,,,0,,,,-76.3227449,37.0115559,,
,56,39697672,,,0,,,,-76.3283131,37.0208313,,
,57,49609120,traffic_signals,,1,,,,-77.4301311,37.5357123,,
,58,49609320,,,0,,,,-77.433918,37.5219179,,
,59,49609322,,,0,,,,-77.4333299,37.5211229,,
,60,49609510,,,0,,,,-77.4285857,37.5385049,,
,61,49609644,motorway_junction,,0,,,,-77.4594114,37.573744,,
,62,49609648,,,0,,,,-77.4612661,37.5755013,,
,63,49609658,,,0,,,,-77.4612239,37.5749651,,
,64,49609709,motorway_junction,,0,,,,-77.4252145,37.4635458,,
,65,49609794,,,0,,,,-77.4405514,37.5366903,,
,66,49609967,,,0,,,,-77.4436076,37.5517985,,
,67,49610025,motorway_junction,,0,,,,-77.4281436,37.5446626,,
,68,49610034,,,0,,,,-77.4301616,37.5476559,,
,69,49610090,,,0,,,,-77.4864123,37.5605598,,
,70,49610101,,,0,,,,-77.4836469,37.5649004,,
,71,49610209,,,0,,,,-77.4278093,37.5501956,,
,72,49610225,,,0,,,,-77.4297243,37.5478812,,
,73,49610292,motorway_junction,,0,,,,-77.4380944,37.5509671,,
,74,49610409,,,0,,,,-77.4271042,37.5212424,,
,75,49610527,,,0,,,,-77.434059,37.5213537,,
,76,49610824,,,0,,,,-77.4600542,37.5729492,,
,77,49610865,motorway_junction,,0,,,,-77.4911199,37.5465143,,
,78,49610904,,,0,,,,-77.4743084,37.5870312,,
,79,49611034,,,0,,,,-77.4654491,37.5777485,,
,80,49611041,,,0,,,,-77.4901561,37.5587148,,
,81,49611044,,,0,,,,-77.4775483,37.5718856,,
,82,49611045,,,0,,,,-77.4770092,37.5751607,,
,83,49611048,,,0,,,,-77.4762078,37.5731607,,
,84,49611053,,,0,,,,-77.4897027,37.5545933,,
,85,49611055,,,0,,,,-77.4828822,37.5638176,,
,86,49611068,,,0,,,,-77.4808582,37.5688161,,
,87,49611069,,,0,,,,-77.4806313,37.5690245,,
,88,49612012,traffic_signals,,1,,,,-77.4354483,37.5350414,,
,89,49613191,motorway_junction,,0,,,,-77.4261332,37.5179119,,
,90,49615842,,,0,,,,-77.4880373,37.5584758,,
,91,49616221,,,0,,,,-77.4907168,37.5569563,,
,92,49616771,,,0,,,,-77.4378431,37.5351078,,
,93,49621091,,,0,,,,-77.5282896,37.5264068,,
,94,49621113,,,0,,,,-77.4935908,37.5409259,,
,95,49621115,,,0,,,,-77.4928127,37.5414191,,
,96,49621117,,,0,,,,-77.4910481,37.5426877,,
,97,49623179,traffic_signals,,1,,,,-77.4459763,37.5525321,,
,98,49625443,,,0,,,,-77.4710419,37.5853612,,
,99,49625455,motorway_junction,,0,,,,-77.474876,37.586705,,
,100,49625461,motorway_junction,,0,,,,-77.478614,37.588288,,
,101,49625532,motorway_junction,,0,,,,-77.4693576,37.581468,,
,102,49625874,,,0,,,,-77.4840567,37.55066,,
,103,49627762,,,0,,,,-77.5229954,37.5017103,,
,104,49628452,,,0,,,,-77.4832533,37.5493181,,
,105,49628737,,,0,,,,-77.4743953,37.5868802,,
,106,49628872,motorway_junction,,0,,,,-77.4883651,37.5604878,,
,107,49632679,motorway_junction,,0,,,,-79.970514,37.3106104,,
,108,49632687,,,0,,,,-79.9728476,37.3093913,,
,109,49632695,motorway_junction,,0,,,,-79.974853,37.308345,,
,110,49632815,,,0,,,,-79.9703464,37.3105123,,
,111,49632825,motorway_junction,,0,,,,-79.972819,37.309195,,
,112,49632848,motorway_junction,,0,,,,-79.9771447,37.3064027,,
