name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,41190841,traffic_signals,,1,,,,-111.9263125,33.4002314,,
,1,41191194,,,0,,,,-112.0957119,33.4385753,,
,2,41197621,traffic_signals,,1,,,,-111.9683038,33.4508405,,
,3,41200170,,,0,,,,-111.9261685,33.4351616,,
,4,41206114,,,0,,,,-111.977912,33.4266751,,
,5,41206118,motorway_junction,,0,,,,-111.9781227,33.4168941,,
,6,41209004,traffic_signals,,1,,,,-112.1694318,33.6689625,,
,7,41215083,motorway_junction,,0,,,,-112.2353197,33.6438651,,
,8,41215885,,,0,,,,-111.990611,33.4580152,,
,9,41215889,,,0,,,,-111.9914272,33.4582105,,
,10,41220396,traffic_signals,,1,,,,-112.2637551,33.6745627,,
,11,41225405,,,0,,,,-111.781817,33.4153414,,
,12,41229681,motorway_junction,,0,,,,-112.0375606,33.4521749,,
,13,41241086,,,0,,,,-112.1076217,33.4339299,,
,14,41260760,motorway_junction,,0,,,,-111.9164172,33.2146518,,
,15,41260762,traffic_signals,,1,,,,-111.9175574,33.21923,,
,16,41260767,,,0,,,,-111.9227643,33.2228681,,
,17,41263216,motorway_junction,,0,,,,-112.1154567,33.6442126,,
,18,41265232,,,0,,,,-111.9485869,33.4445835,,
,19,41265242,,,0,,,,-111.9489708,33.4442238,,
,20,41267783,,,0,,,,-112.065533,33.5955784,,
,21,41275461,traffic_signals,,1,,,,-111.9257153,33.5277945,,
,22,41281374,,,0,,,,-112.0658127,33.5948223,,
,23,41281375,,,0,,,,-112.0651907,33.5948186,,
,24,41281387,,,0,,,,-112.0655882,33.5935544,,
,25,41286594,traffic_signals,,1,,,,-111.9228,33.2192409,,
,26,41292001,,,0,,,,-111.5557843,33.6299615,,
,27,41296889,traffic_signals,,1,,,,-111.9493897,33.2550406,,201
,28,41296904,motorway_junction,,0,,,,-111.944547,33.2510454,,
,29,41296905,traffic_signals,,1,,,,-111.9472082,33.2562293,,132
,30,41296909,,,0,,,,-111.952259,33.2610401,,
,31,41305413,traffic_signals,,1,,,,-111.6866871,33.3071096,,75
,32,41305422,traffic_signals,,1,,,,-111.6866811,33.3072536,,75
,33,41307089,,,0,,,,-112.1344671,33.792634,,
,34,41307101,traffic_signals,,1,,,,-112.1377744,33.798253,,176
,35,41307115,motorway_junction,,0,,,,-112.1371851,33.8055609,,
,36,41314616,,,0,,,,-112.1082615,33.437318,,
,37,41319248,,,0,,,,-111.9778068,33.6063111,,
,38,41320055,,,0,,,,-111.9258473,33.7812317,,
,39,41327616,,,0,,,,-112.0376052,33.4430163,,
,40,41329906,,,0,,,,-111.9322288,33.3856889,,
,41,41329910,traffic_signals,,1,,,,-111.9263808,33.3850384,,
,42,41329915,motorway_junction,,0,,,,-111.9186492,33.3858203,,
,43,41332802,traffic_signals,,1,,,,-112.1331107,33.7983345,,177
,44,41338838,,,0,,,,-111.5829406,33.5503258,,
,45,41342675,traffic_signals,,1,,,,-112.0994841,33.5422572,,
,46,41361013,,,0,,,,-111.9257799,33.779811,,
,47,41364039,,,0,,,,-112.1695803,33.7982864,,
,48,41370230,traffic_signals,,1,,,,-111.8402366,33.3854987,,
,49,41370240,motorway_junction,,0,,,,-111.8320723,33.3861904,,
,50,41371921,,,0,,,,-111.9826298,33.4630701,,
,51,41371964,motorway_junction,,0,,,,-111.9881399,33.4580024,,
,52,41380677,,,0,,,,-111.9959131,33.4597508,,
,53,41380690,,,0,,,,-112.0031694,33.4591125,,
,54,41387784,motorway_junction,,0,,,,-111.9802538,33.4425036,,
,55,41387793,motorway_junction,,0,,,,-111.9809693,33.4468602,,
,56,41397712,,,0,,,,-111.9822826,33.4469478,,
,57,41405533,traffic_signals,,1,,,,-111.9697486,33.4508608,,
,58,41408077,motorway_junction,,0,,,,-111.9833338,33.4541969,,
,59,41408093,motorway_junction,,0,,,,-111.9826237,33.4486136,,
,60,41408114,,,0,,,,-111.9914556,33.4590206,,
,61,41408116,,,0,,,,-111.9901046,33.4590248,,
,62,41408131,,,0,,,,-111.9880017,33.4591967,,
,63,41408161,,,0,,,,-111.9829505,33.4546341,,
,64,41408178,,,0,,,,-111.9819721,33.4513968,,
,65,41408182,,,0,,,,-111.9819662,33.450699,,
,66,41408188,motorway_junction,,0,,,,-111.9818266,33.4482178,,
,67,41410047,motorway_junction,,0,,,,-111.6782348,33.3867477,,
,68,41410049,traffic_signals,,1,,,,-111.6849794,33.3871831,,
,69,41410052,,,0,,,,-111.6900371,33.3868275,,
,70,41412093,motorway_junction,,0,,,,-112.108292,33.4443026,,
,71,41416196,,,0,,,,-111.98145,33.4486165,,
,72,41423226,motorway_junction,,0,,,,-112.0097151,33.587994,,
,73,41431640,traffic_signals,,1,,,,-111.684994,33.3860705,,
,74,41431692,traffic_signals,,1,,,,-111.8402314,33.3866204,,
,75,41431694,,,0,,,,-111.8467092,33.3861088,,
,76,41438470,,,0,,,,-112.0411347,33.6405213,,
,77,41441337,,,0,,,,-111.6826547,33.5132989,,
,78,41446394,traffic_signals,,1,,,,-112.0999471,33.4610607,,
,79,41454949,motorway_junction,,0,,,,-111.6267794,33.3867869,,
,80,41454952,traffic_signals,,1,,,,-111.6327041,33.3873421,,86
,81,41461279,,,0,,,,-111.5802283,33.5524219,,
,82,41479652,traffic_signals,,1,,,,-112.010194,33.4125526,,187
,83,41479686,traffic_signals,,1,,,,-112.0109134,33.4114232,,143
,84,41485519,,,0,,,,-111.9259033,33.784803,,
,85,41492519,traffic_signals,,1,,,,-111.926358,33.3861649,,208
,86,41495132,traffic_signals,,1,,,,-111.6871386,33.332494,,
,87,41502514,,,0,,,,-111.9261894,33.4375561,,
,88,41504328,traffic_signals,,1,,,,-111.969514,33.6947032,,
,89,41504653,traffic_signals,,1,,,,-112.0996443,33.6043648,,
,90,41505276,traffic_signals,,1,,,,-112.1685933,33.5457549,,
,91,41505360,traffic_signals,,1,,,,-112.0994953,33.545854,,
