name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,26251308,motorway_junction,,0,,,,-105.0569252,39.8638864,,
,1,27548618,,,0,,,,-104.978891,39.6937697,,
,2,27548632,motorway_junction,,0,,,,-104.9751917,39.6906986,,
,3,27548648,,,0,,,,-104.9607415,39.6847089,,
,4,50823164,traffic_signals,,1,,,,-105.0745705,40.3927335,,
,5,50823170,traffic_signals,,1,,,,-105.07454,40.395468,,
,6,50823173,traffic_signals,,1,,,,-105.074531,40.396501,,
,7,50823174,traffic_signals,,1,,,,-105.074514,40.3975472,,
,8,50823175,traffic_signals,,1,,,,-105.0745039,40.3985903,,
,9,50823192,,,0,,,,-105.0744011,40.4073395,,
,10,50823767,,,0,,,,-105.5852286,40.3655868,,
,11,50823771,,,0,,,,-105.584416,40.365717,,
,12,50825338,,,0,,,,-105.5852897,40.3654448,,
,13,50825342,,,0,,,,-105.5850871,40.3658858,,
,14,50841253,,,0,,,,-105.5173509,40.3784929,,
,15,50841515,,,0,,,,-105.5164737,40.3782632,,
,16,50841542,,,0,,,,-105.517936,40.3774955,,
,17,50856392,,,0,,,,-105.1107173,40.6301844,,
,18,50865423,traffic_signals,,1,,,,-105.0771121,40.6159183,,
,19,50871347,,,0,,,,-104.9963727,40.4070237,,
,20,50871359,,,0,,,,-104.9947159,40.4075601,,
,21,50871388,motorway_junction,,0,,,,-104.9930956,40.4115526,,
,22,50884992,,,0,,,,-105.329201,40.431587,,
,23,50921559,,,0,,,,-105.5501929,40.3636875,,
,24,50921585,,,0,,,,-105.550206,40.363006,,
,25,50953402,,,0,,,,-104.9934651,40.4041325,,
,26,50974752,,,0,,,,-105.546831,40.363763,,
,27,50974766,,,0,,,,-105.5466149,40.3633655,,
,28,51036614,,,0,,,,-105.5085687,40.3757525,,
,29,51036630,,,0,,,,-105.5093955,40.3750332,,
,30,51057282,,,0,,,,-105.08101,40.407257,,
,31,51072640,,,0,,,,-105.4920109,40.3799863,,
,32,51078698,,,0,,,,-105.5174474,40.3777452,,
,33,51086415,,,0,,,,-105.0771517,40.5801103,,
,34,51087665,,,0,,,,-105.0730848,40.4128153,,
,35,51087767,,,0,,,,-105.077418,40.477695,,
,36,51088383,traffic_signals,,1,,,,-105.5215284,40.3766116,,
,37,51093666,,,0,,,,-105.0073777,40.4072467,,
,38,51093671,,,0,,,,-105.0166349,40.4073658,,
,39,51093685,,,0,,,,-105.0505999,40.4074806,,
,40,51093686,traffic_signals,,1,,,,-105.0537142,40.4074975,,
,41,51093687,traffic_signals,,1,,,,-105.0587266,40.4074539,,57
,42,51093688,traffic_signals,,1,,,,-105.0630529,40.4073834,,
,43,51093691,,,0,,,,-105.0682407,40.4073244,,
,44,51093695,,,0,,,,-105.07306,40.4073323,,
,45,51093697,,,0,,,,-105.0755705,40.4073395,,
,46,51093701,,,0,,,,-105.0765688,40.4073235,,
,47,51098006,,,0,,,,-105.0774023,40.486941,,
,48,51102163,traffic_signals,,1,,,,-105.1314728,40.4073311,,
,49,51102810,traffic_signals,,1,,,,-105.0765434,40.6034426,,
,50,51103868,,,0,,,,-105.5818881,40.3660809,,
,51,51103869,,,0,,,,-105.5810974,40.366443,,
,52,51103873,,,0,,,,-105.5787369,40.3668645,,
,53,51103880,,,0,,,,-105.5768374,40.3667398,,
,54,51103944,,,0,,,,-105.5512462,40.3641888,,
,55,51103947,,,0,,,,-105.549222,40.3632711,,
,56,51103948,,,0,,,,-105.548449,40.363449,,
,57,51104337,,,0,,,,-105.0771333,40.5828488,,
,58,51105380,,,0,,,,-105.5224316,40.3804454,,
,59,51107651,,,0,,,,-105.0771799,40.5780915,,
,60,51108031,,,0,,,,-105.07314,40.400065,,
,61,51109500,traffic_signals,,1,,,,-105.0772368,40.4230212,,
,62,51109501,,,0,,,,-105.077426,40.4749812,,
,63,51112200,traffic_signals,,1,,,,-105.0715465,40.5871944,,
,64,51112210,,,0,,,,-105.0631193,40.5813748,,
,65,51114796,,,0,,,,-105.0770897,40.5907819,,
,66,51116280,traffic_signals,,1,,,,-105.516951,40.3780147,,
,67,51122325,traffic_signals,,1,,,,-105.077204,40.5174779,,
,68,51127789,,,0,,,,-105.0770154,40.5687198,,
,69,51135321,traffic_signals,,1,,,,-105.0766283,40.6028321,,
,70,51138656,traffic_signals,,1,,,,-105.1103578,40.4073152,,
,71,51140915,traffic_signals,,1,,,,-105.523629,40.3761297,,
,72,51142457,,,0,,,,-105.0771199,40.5869639,,
,73,51149951,,,0,,,,-104.9976336,40.4076169,,
,74,51155288,,,0,,,,-105.1192133,40.4073117,,
,75,51155994,,,0,,,,-105.5437568,40.3837797,,
,76,51163566,,,0,,,,-105.0764431,40.6131103,,
,77,51171381,,,0,,,,-105.0771878,40.5757443,,
,78,51171574,,,0,,,,-105.0775243,40.4283709,,
,79,51171579,traffic_signals,,1,,,,-105.0775093,40.430467,,
,80,51171602,traffic_signals,,1,,,,-105.0774093,40.4510669,,
,81,51173146,traffic_signals,,1,,,,-105.0732389,40.3927738,,
,82,51181861,,,0,,,,-105.2226623,40.4200788,,
,83,51182009,,,0,,,,-105.2508283,40.4148749,,
,84,51182087,,,0,,,,-105.274817,40.419602,,
,85,51182315,,,0,,,,-105.3360343,40.4330376,,
,86,51182321,,,0,,,,-105.3390817,40.4326752,,
,87,51183940,,,0,,,,-105.5939962,40.3748646,,
,88,51184034,,,0,,,,-105.5857032,40.3660773,,
,89,51184193,,,0,,,,-105.123441,40.4072053,,
,90,51188909,,,0,,,,-105.4388313,40.3938841,,
,91,51189213,,,0,,,,-105.4079375,40.4077611,,
,92,51191769,traffic_signals,,1,,,,-105.077263,40.514618,,
,93,51193015,,,0,,,,-105.0768139,40.5932293,,
,94,51193025,,,0,,,,-105.0766893,40.5973163,,
,95,51193122,traffic_signals,,1,,,,-105.544206,40.3643678,,
,96,51195648,,,0,,,,-105.0737652,40.3873159,,
,97,51200502,,,0,,,,-105.0790842,40.407266,,
,98,51200504,,,0,,,,-105.0797112,40.4072338,,
,99,51200516,,,0,,,,-105.08204,40.4062733,,
,100,51200523,,,0,,,,-105.0843289,40.4050812,,
,101,51200527,,,0,,,,-105.086714,40.4048063,,
,102,51200528,traffic_signals,,1,,,,-105.0874358,40.4047383,,
,103,51200546,,,0,,,,-105.0940712,40.40686,,
,104,51200551,,,0,,,,-105.095376,40.4072496,,
,105,51200558,traffic_signals,,1,,,,-105.103983,40.4072454,,
,106,51200559,,,0,,,,-105.107019,40.4072473,,
,107,51200814,,,0,,,,-105.221893,40.419627,,
,108,51211742,,,0,,,,-105.077192,40.5769414,,
,109,51212477,traffic_signals,,1,,,,-105.0761182,40.4217027,,
,110,51214963,,,0,,,,-105.5069521,40.3755565,,
,111,51221140,,,0,,,,-105.7408092,40.4122845,,
,112,51221395,,,0,,,,-105.6331387,40.3880661,,
,113,51237045,,,0,,,,-105.5482918,40.3630622,,
,114,51250187,,,0,,,,-105.5449022,40.3642232,,
,115,51255498,,,0,,,,-105.3608621,40.2769379,,
,116,51269876,traffic_signals,,1,,,,-105.0770596,40.5620633,,
,117,51269889,,,0,,,,-105.0771292,40.5212968,,
,118,51271123,,,0,,,,-105.0911148,40.6253805,,
,119,51271181,,,0,,,,-105.1352792,40.6448855,,
,120,51271182,,,0,,,,-105.135528,40.6449766,,
,121,51272097,traffic_signals,,1,,,,-105.0953632,40.6254262,,
,122,51280394,,,0,,,,-105.5001063,40.3832554,,
,123,51304774,,,0,,,,-105.0872926,40.6243152,,
,124,51304775,,,0,,,,-105.08706,40.6241792,,
,125,51304786,,,0,,,,-105.0804695,40.619108,,
,126,51310959,,,0,,,,-105.5045708,40.3752476,,
,127,51311440,,,0,,,,-105.3638104,40.2836534,,
,128,51311442,,,0,,,,-105.3636921,40.28341,,
,129,55714341,traffic_signals,,1,,,,-104.8105035,40.080251,,
,130,55717941,motorway_junction,,0,,,,-104.9806266,40.0922486,,
,131,55720816,,,0,,,,-104.9819315,40.0879513,,
,132,55722005,traffic_signals,,1,,,,-104.9789768,40.2042372,,
,133,55722014,,,0,,,,-104.9799348,40.2093022,,
,134,55722015,motorway_junction,,0,,,,-104.9799148,40.1990932,,
,135,55722562,motorway_junction,,0,,,,-104.9802207,40.0825734,,
,136,55722619,,,0,,,,-104.9801541,40.0921475,,
,137,55724174,traffic_signals,,1,,,,-104.8203519,40.0801095,,
,138,55724198,traffic_signals,,1,,,,-104.8190709,40.0801314,,
