name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,26771586,traffic_signals,,1,,,,-81.363858,28.4510614,,218
,1,26771587,traffic_signals,,1,,,,-81.3979256,28.4505117,,
,2,26771589,traffic_signals,,1,,,,-81.4016537,28.4476392,,
,3,26785611,,,0,,,,-81.4060689,28.4359746,,
,4,26785939,,,0,,,,-81.404793,28.4307715,,
,5,26785946,,,0,,,,-81.4046089,28.4359888,,
,6,26787543,traffic_signals,,1,,,,-81.2761022,28.4660592,,
,7,26787546,traffic_signals,,1,,,,-81.3099697,28.4690433,,
,8,26794014,motorway_junction,,0,,,,-81.401491,28.4279317,,
,9,26794166,traffic_signals,,1,,,,-81.4273454,28.4504512,,
,10,26794210,motorway_junction,,0,,,,-81.5005573,28.3822849,,
,11,26794272,traffic_signals,,1,,,,-81.4047404,28.4073344,,
,12,26794286,traffic_signals,,1,,,,-81.4046835,28.4332734,,
,13,26827467,,,0,,,,-81.4081417,28.4317234,,
,14,26909693,,,0,,,,-81.4656272,28.449997,,
,15,26914932,,,0,,,,-81.404816,28.4282833,,
,16,26915320,,,0,,,,-81.4048151,28.4281649,,
,17,26915714,traffic_signals,,1,,,,-81.4014793,28.4476407,,
,18,26915727,traffic_signals,,1,,,,-81.3880881,28.450898,,
,19,26915736,,,0,,,,-81.3798259,28.4509917,,
,20,26915737,traffic_signals,,1,,,,-81.3732204,28.4510575,,638
,21,26916590,,,0,,,,-81.3101729,28.4659705,,
,22,27336943,,,0,,,,-81.4744917,28.4458553,,
,23,27336944,motorway_junction,,0,,,,-81.4741577,28.4454406,,
,24,27336948,,,0,,,,-81.4736541,28.4500234,,
,25,27336949,,,0,,,,-81.4764115,28.4500973,,
,26,27336971,,,0,,,,-81.4741593,28.4544328,,
,27,27337002,,,0,,,,-81.4713755,28.4613786,,
,28,27337003,motorway_junction,,0,,,,-81.4678044,28.4638086,,
,29,27337011,motorway_junction,,0,,,,-81.4693557,28.4617602,,
,30,27337086,motorway_junction,,0,,,,-81.4520531,28.4770751,,
,31,27337093,,,0,,,,-81.4547208,28.4740256,,
,32,27337102,,,0,,,,-81.4594676,28.4698317,,
,33,27337109,,,0,,,,-81.4588914,28.4754678,,
,34,27337113,,,0,,,,-81.4585316,28.463887,,
,35,27337115,,,0,,,,-81.4588581,28.4697862,,
,36,27483730,motorway_junction,,0,,,,-87.2156254,30.4275345,,
,37,27485435,,,0,,,,-87.2185005,30.447487,,
,38,27617315,traffic_signals,,1,,,,-81.4044504,28.3872523,,
,39,27617337,traffic_signals,,1,,,,-81.404583,28.3713872,,678
,40,27617369,,,0,,,,-81.4036367,28.3371747,,
,41,27617400,traffic_signals,,1,,,,-81.4036797,28.3045341,,130
,42,28424205,,,0,,,,-81.4060015,28.6389412,,
,43,28424254,motorway_junction,,0,,,,-81.4092169,28.6406935,,
,44,28424665,,,0,,,,-81.4217669,28.6406792,,
,45,35543007,traffic_signals,,1,,,,-82.2892317,29.6427961,,
,46,51949774,,,0,,,,-87.436272,30.4079439,,
,47,51949786,,,0,,,,-87.4307741,30.404869,,
,48,52074222,,,0,,,,-87.4533221,30.5219675,,
,49,52074240,,,0,,,,-87.447352,30.5220309,,
,50,54220997,,,0,,,,-81.3752229,28.5787286,,
,51,54222310,motorway_junction,,0,,,,-81.3869328,28.6125978,,
,52,54222989,,,0,,,,-81.367277,28.6058876,,
,53,54223071,,,0,,,,-81.3670691,28.6060135,,
,54,54223375,traffic_signals,,1,,,,-81.3652075,28.6039283,,
,55,54225557,traffic_signals,,1,,,,-81.3506547,28.5932192,,
,56,54231362,,,0,,,,-81.3451119,28.5956045,,
,57,54233961,traffic_signals,,1,,,,-81.3975934,28.5965222,,
,58,54261104,,,0,,,,-81.3558174,28.5931436,,
,59,54269416,,,0,,,,-81.307407,28.6016038,,
,60,54269422,,,0,,,,-81.3070851,28.5869553,,
,61,54272055,traffic_signals,,1,,,,-81.3088738,28.5789102,,
,62,54272056,,,0,,,,-81.3077544,28.5809041,,
,63,54272060,,,0,,,,-81.3068249,28.5838539,,
,64,54272063,,,0,,,,-81.3068786,28.5866802,,
,65,54277173,,,0,,,,-81.3563859,28.6404603,,
,66,54278305,,,0,,,,-81.3874152,28.6064548,,
,67,54278314,,,0,,,,-81.3913439,28.6084251,,
,68,54278327,,,0,,,,-81.3958728,28.6058778,,
,69,54278334,,,0,,,,-81.4016972,28.6059255,,
,70,54278340,,,0,,,,-81.4049937,28.6053368,,
,71,54278347,,,0,,,,-81.4086348,28.6023126,,
,72,54278351,,,0,,,,-81.4107215,28.6008673,,
,73,54278355,,,0,,,,-81.4128814,28.600013,,
,74,54278358,,,0,,,,-81.4145846,28.5991605,,
,75,54279063,,,0,,,,-81.4085107,28.6022373,,
,76,54279079,,,0,,,,-81.4017012,28.6057948,,
,77,54279087,,,0,,,,-81.3943855,28.6061534,,
,78,54279096,,,0,,,,-81.3913365,28.608292,,
,79,54280816,,,0,,,,-81.3888501,28.6568531,,
,80,54718387,,,0,,,,-81.3889258,28.6909231,,
,81,54718432,,,0,,,,-81.3636673,28.7557862,,
,82,54718438,motorway_junction,,0,,,,-81.3615215,28.7617756,,
,83,54718469,motorway_junction,,0,,,,-81.335479,28.8167645,,
,84,54718480,motorway_junction,,0,,,,-81.3224054,28.8328236,,
,85,54722205,,,0,,,,-81.3293772,28.688723,,
,86,54722208,,,0,,,,-81.3277928,28.6923886,,
,87,54722273,,,0,,,,-81.2803461,28.7703618,,
,88,54723113,traffic_signals,,1,,,,-81.2763621,28.7764138,,191
,89,54723194,,,0,,,,-81.3278819,28.6912168,,
,90,54723204,,,0,,,,-81.3330019,28.6849556,,
,91,54724599,,,0,,,,-81.3462253,28.7959217,,
,92,54724600,,,0,,,,-81.346368,28.7955923,,
,93,54724603,,,0,,,,-81.3483678,28.7918653,,
,94,54724604,,,0,,,,-81.3488186,28.7911909,,
,95,54724608,,,0,,,,-81.3511545,28.7861042,,
,96,54724616,,,0,,,,-81.3540878,28.7858317,,
,97,54724842,,,0,,,,-81.3467196,28.7920225,,
,98,54724939,,,0,,,,-81.3369919,28.8109736,,
,99,54725793,motorway_junction,,0,,,,-81.2912614,28.773012,,
,100,54725809,,,0,,,,-81.2729594,28.7666083,,
,101,54725812,motorway_junction,,0,,,,-81.2717251,28.7638368,,
,102,54726167,,,0,,,,-81.2713373,28.7636931,,
,103,54726172,motorway_junction,,0,,,,-81.2729518,28.7671037,,
,104,54726839,traffic_signals,,1,,,,-81.2764514,28.776289,,191
,105,54728154,motorway_junction,,0,,,,-81.2668836,28.7528176,,
,106,54728189,,,0,,,,-81.2303123,28.6962738,,
,107,54729399,motorway_junction,,0,,,,-81.2300652,28.6952814,,
,108,54729419,,,0,,,,-81.2670787,28.7525543,,
,109,54762028,,,0,,,,-81.3035514,28.6254013,,
,110,54884056,,,0,,,,-86.309121,30.993999,,
,111,54884069,traffic_signals,,1,,,,-86.308503,30.999257,,
,112,54900450,,,0,,,,-86.334042,30.994302,,
,113,55546251,,,0,,,,-87.4884073,30.9979882,,
,114,55568019,,,0,,,,-87.2606177,30.9981443,,
,115,55916808,,,0,,,,-85.646256,30.995803,,
,116,57526301,traffic_signals,,1,,,,-81.3651424,28.5976722,,
,117,57527554,traffic_signals,,1,,,,-81.3457011,28.5953235,,
,118,60014565,traffic_signals,,1,,,,-81.5345638,28.3328499,,395
,119,60014566,traffic_signals,,1,,,,-81.5311398,28.3328709,,1281
,120,60014567,traffic_signals,,1,,,,-81.527902,28.3328606,,
,121,60014717,,,0,,,,-81.5056539,28.3761316,,
,122,60014718,,,0,,,,-81.5005365,28.3818125,,
,123,60016616,,,0,,,,-82.6391698,27.7657038,,
,124,60654629,motorway_junction,,0,,,,-81.3575988,28.4470527,,
,125,60654639,,,0,,,,-81.342522,28.4505443,,
,126,60654842,,,0,,,,-81.2577798,28.4485975,,
,127,60931287,motorway_junction,,0,,,,-82.6329791,27.9062202,,
,128,60931317,,,0,,,,-82.5447182,27.9430601,,
,129,66526666,,,0,,,,-83.6422366,30.6528915,,
,130,66526902,,,0,,,,-83.591608,30.7443881,,
,131,66809704,,,0,,,,-81.6868669,30.7735174,,
,132,66993524,,,0,,,,-82.083668,30.438162,,
,133,67073760,,,0,,,,-82.1342866,30.3621162,,
,134,68530785,,,0,,,,-82.6710049,30.5969716,,
,135,68552878,,,0,,,,-83.0235549,30.6175548,,
,136,68555144,,,0,,,,-83.1186592,30.6230039,,
,137,68555175,,,0,,,,-83.1357444,30.6411051,,
,138,72876933,,,0,,,,-83.8871964,30.692894,,
,139,72901094,,,0,,,,-83.8796496,30.6658007,,
,140,84714117,traffic_signals,,1,,,,-82.3724351,29.6270865,,
,141,84714126,,,0,,,,-82.3744514,29.625426,,
,142,84714135,traffic_signals,,1,,,,-82.3761785,29.6235759,,
,143,84714151,traffic_signals,,1,,,,-82.3801746,29.6205641,,
,144,84714155,traffic_signals,,1,,,,-82.3835232,29.6187393,,
,145,84714156,traffic_signals,,1,,,,-82.3852837,29.6178111,,714
,146,84714163,traffic_signals,,1,,,,-82.3870766,29.6168935,,
,147,84714167,traffic_signals,,1,,,,-82.3892076,29.6157805,,
,148,84714240,traffic_signals,,1,,,,-82.420173,29.5995677,,
,149,84714265,traffic_signals,,1,,,,-82.4389759,29.5896389,,
,150,84714307,traffic_signals,,1,,,,-82.4730576,29.5677857,,
,151,84714381,traffic_signals,,1,,,,-82.5191142,29.537044,,
,152,84714460,,,0,,,,-82.5565429,29.51199,,
,153,84719076,,,0,,,,-82.200974,29.7652648,,
,154,84725335,motorway_junction,,0,,,,-82.450038,29.692287,,
,155,84725358,traffic_signals,,1,,,,-82.4489176,29.6888926,,
,156,84725382,,,0,,,,-82.4421112,29.6841358,,
,157,84731006,traffic_signals,,1,,,,-82.3418426,29.6397419,,
,158,84733667,motorway_junction,,0,,,,-82.3734458,29.6023993,,
,159,84733704,traffic_signals,,1,,,,-82.372282,29.6027168,,630
,160,84733709,,,0,,,,-82.5191441,29.5256557,,
,161,84734079,,,0,,,,-82.2802505,29.6519565,,
,162,84735189,,,0,,,,-82.3389615,29.5918743,,
,163,84735465,motorway_junction,,0,,,,-82.3825424,29.6126816,,
,164,84735481,,,0,,,,-82.3858575,29.6184692,,
,165,84735487,,,0,,,,-82.390008,29.62305,,
,166,84738302,,,0,,,,-82.3568053,29.7560098,,
,167,84738998,,,0,,,,-82.0546247,29.709535,,
,168,84740773,,,0,,,,-82.372106,29.6260696,,
,169,84743370,,,0,,,,-82.3735797,29.6022089,,
,170,84743409,traffic_signals,,1,,,,-82.3742769,29.601285,,629
,171,84744648,,,0,,,,-82.3852167,29.6539961,,
,172,84746170,traffic_signals,,1,,,,-82.5123642,29.8014837,,1284
,173,84746172,,,0,,,,-82.5121805,29.8024157,,
,174,84746195,,,0,,,,-82.5133005,29.8054848,,
,175,84747181,,,0,,,,-82.1950561,29.7695727,,
,176,84749380,,,0,,,,-82.2248679,29.687883,,
,177,84751034,,,0,,,,-82.3864184,29.6161824,,
,178,84751052,,,0,,,,-82.3831115,29.6130285,,
,179,84752342,,,0,,,,-82.416654,29.6567722,,
,180,84752374,,,0,,,,-82.419885,29.659165,,
,181,84761036,,,0,,,,-82.0762884,29.5964582,,
,182,84761491,,,0,,,,-82.2868669,29.6883175,,
,183,84762366,,,0,,,,-82.3743416,29.6252734,,
,184,84763057,traffic_signals,,1,,,,-82.3390233,29.6791021,,
,185,84766699,,,0,,,,-82.4679254,29.7843421,,
,186,84768503,,,0,,,,-82.2855285,29.6519635,,
,187,84773839,motorway_junction,,0,,,,-82.4188153,29.6592969,,
,188,84775573,,,0,,,,-82.2733347,29.6767657,,
,189,84776208,,,0,,,,-82.3725161,29.6246707,,
,190,84780958,traffic_signals,,1,,,,-82.5156926,29.8021595,,599
,191,84780980,motorway_junction,,0,,,,-82.513505,29.805782,,
,192,84786070,,,0,,,,-82.2790703,29.6383356,,
,193,84790744,,,0,,,,-82.375413,29.604601,,
