name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,219851,motorway_junction,,0,,,,-87.9076432,41.7593116,,
,1,700784,,,0,,,,-87.9033675,41.7620156,,
,2,701033,,,0,,,,-88.0688463,41.8099885,,
,3,701068,,,0,,,,-88.1928645,41.8044832,,
,4,701099,motorway_junction,,0,,,,-88.3343385,41.7953927,,
,5,701638,motorway_junction,,0,,,,-87.8670872,41.9850412,,
,6,701672,motorway_junction,,0,,,,-87.8314656,41.9846967,,
,7,702090,motorway_junction,,0,,,,-87.8178229,41.9834316,,
,8,702159,,,0,,,,-87.8677783,42.0590447,,
,9,702182,,,0,,,,-87.8705038,42.1133538,,
,10,702200,motorway_junction,,0,,,,-87.8757561,42.1490306,,
,11,738920,,,0,,,,-87.5622523,41.5776415,,
,12,25779173,motorway_junction,,0,,,,-87.6571137,41.8950178,,
,13,25779238,,,0,,,,-87.7495577,41.8152191,,
,14,26098008,,,0,,,,-87.6226635,41.8478853,,
,15,26098016,,,0,,,,-87.6275907,41.8469622,,
,16,26098027,motorway_junction,,0,,,,-87.636332,41.8472219,,
,17,26098075,,,0,,,,-87.7938732,41.8009262,,
,18,26117880,motorway_junction,,0,,,,-87.9469594,41.8109644,,
,19,26117890,,,0,,,,-87.945549,41.8112072,,
,20,26118017,motorway_junction,,0,,,,-87.9504473,41.8153043,,
,21,26218622,motorway_junction,,0,,,,-87.6803401,41.8758318,,
,22,26218702,motorway_junction,,0,,,,-87.8758864,41.8708311,,
,23,26218731,,,0,,,,-87.8085496,41.8741521,,
,24,26218735,traffic_signals,,1,,,,-87.8026782,41.8237153,,
,25,26220940,traffic_signals,,1,,,,-87.7438694,41.8430887,,200
,26,26220949,traffic_signals,,1,,,,-87.7414758,41.7913331,,
,27,26220951,traffic_signals,,1,,,,-87.7432646,41.8076255,,195
,28,26220970,traffic_signals,,1,,,,-87.7418563,41.793086,,
,29,26352134,,,0,,,,-87.9470697,41.8109629,,
,30,26352312,,,0,,,,-87.9486995,41.8110037,,
,31,26352983,,,0,,,,-87.9147768,41.8184026,,
,32,26359203,traffic_signals,,1,,,,-87.8328908,41.798075,,
,33,26359268,traffic_signals,,1,,,,-87.8320647,41.7987088,,
,34,26472293,,,0,,,,-87.9104478,42.0535322,,
,35,26524614,,,0,,,,-87.9099367,42.0537347,,
,36,26524728,traffic_signals,,1,,,,-87.6796568,42.0461948,,
,37,26524730,traffic_signals,,1,,,,-87.6789367,42.0477391,,
,38,26579350,,,0,,,,-87.9496759,41.8148925,,
,39,26698330,motorway_junction,,0,,,,-87.8671623,41.983249,,
,40,26698342,motorway_junction,,0,,,,-87.861142,41.9833605,,
,41,26703426,motorway_junction,,0,,,,-87.7373082,41.9571364,,
,42,26703433,,,0,,,,-87.7266166,41.9511918,,
,43,26703434,,,0,,,,-87.7238663,41.9496325,,
,44,26703650,motorway_junction,,0,,,,-87.6872907,41.9273577,,
,45,26703916,,,0,,,,-87.663224,41.908385,,
,46,26704140,motorway_junction,,0,,,,-87.662024,41.9078523,,
,47,26704147,,,0,,,,-87.6660572,41.9127039,,
,48,26704168,motorway_junction,,0,,,,-87.6784384,41.9226763,,
,49,26704169,,,0,,,,-87.6799299,41.9231763,,
,50,26704226,motorway_junction,,0,,,,-87.7237913,41.9500789,,
,51,26792901,motorway_junction,,0,,,,-87.6500478,41.8905974,,
,52,26794449,motorway_junction,,0,,,,-87.644576,41.9526472,,
,53,26794464,,,0,,,,-87.6450479,41.9563936,,
,54,26794508,,,0,,,,-87.6448249,41.9520919,,
,55,26794540,traffic_signals,,1,,,,-87.6441624,41.9546674,,
,56,26794541,traffic_signals,,1,,,,-87.6452116,41.9546336,,
,57,26794543,traffic_signals,,1,,,,-87.6505266,41.9545531,,
,58,26794544,traffic_signals,,1,,,,-87.6545492,41.9544896,,
,59,26794545,traffic_signals,,1,,,,-87.6622248,41.9543786,,
,60,26794546,traffic_signals,,1,,,,-87.6642174,41.9543601,,
,61,26794549,traffic_signals,,1,,,,-87.6691098,41.9543017,,209
,62,26794555,traffic_signals,,1,,,,-87.6737939,41.95429,,
,63,26794558,traffic_signals,,1,,,,-87.6787698,41.9542239,,
,64,26794602,traffic_signals,,1,,,,-87.6692933,41.9615914,,
,65,26817980,traffic_signals,,1,,,,-87.6687269,41.9396962,,229
