name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,60552531,motorway_junction,,0,,,,-85.7369534,38.2606717,,
,1,60652546,,,0,,,,-85.7244868,38.2602135,,
,2,60652548,motorway_junction,,0,,,,-85.722935,38.2582998,,
,3,60652609,motorway_junction,,0,,,,-85.7450526,38.258521,,
,4,60652700,motorway_junction,,0,,,,-85.7502715,38.2590962,,
,5,60652728,,,0,,,,-85.7681001,38.2602387,,
,6,60714880,,,0,,,,-85.9777226,37.1354793,,
,7,153458331,,,0,,,,-87.2035598,36.6419128,,
,8,153458603,,,0,,,,-86.56388,36.6335536,,
,9,161509780,,,0,,,,-85.503478,37.007544,,
,10,161540068,,,0,,,,-85.3330284,37.100365,,
,11,161540541,,,0,,,,-85.3341432,37.1004101,,
,12,161541182,,,0,,,,-85.398445,37.160074,,
,13,161552238,,,0,,,,-86.190891,36.753325,,
,14,161552244,,,0,,,,-86.19005,36.753238,,
,15,161552265,,,0,,,,-86.190566,36.752857,,
,16,161558114,,,0,,,,-86.195067,36.749781,,
,17,161558120,,,0,,,,-86.195513,36.749908,,
,18,161558293,traffic_signals,,1,,,,-86.213291,36.7562588,,
,19,161559345,,,0,,,,-86.194869,36.750003,,
,20,161559611,,,0,,,,-85.3331789,37.1006421,,
,21,161578304,,,0,,,,-86.185351,36.750773,,
,22,161578325,,,0,,,,-86.184983,36.752558,,
,23,161580129,,,0,,,,-86.190653,36.752408,,
,24,161580436,,,0,,,,-86.190481,36.75328,,
,25,161591033,,,0,,,,-85.97741,36.715821,,
,26,161592969,,,0,,,,-86.182287,36.749385,,
,27,161599237,,,0,,,,-86.195986,36.748064,,
,28,161599324,,,0,,,,-86.191012,36.751598,,
,29,161638509,,,0,,,,-84.890626,38.024162,,
,30,161638580,,,0,,,,-84.9217793,38.0686203,,
,31,161638612,,,0,,,,-84.920539,38.068195,,
,32,161639170,,,0,,,,-84.878556,37.981012,,
,33,161639187,,,0,,,,-84.879481,37.980453,,
,34,161640076,,,0,,,,-86.211753,36.736937,,
,35,161640436,,,0,,,,-86.260338,36.740117,,
,36,161640494,,,0,,,,-86.266571,36.734082,,
,37,161640504,,,0,,,,-86.266889,36.733757,,
,38,161640622,,,0,,,,-86.275479,36.72787,,
,39,161640627,,,0,,,,-86.275826,36.727491,,
,40,161641386,,,0,,,,-86.413244,36.703049,,
,41,161648855,,,0,,,,-86.259932,36.740688,,
,42,161649888,,,0,,,,-85.0598,38.00465,,
,43,161654129,,,0,,,,-84.893308,38.02963,,
,44,161654254,,,0,,,,-84.895996,38.0361554,,
,45,161655070,,,0,,,,-84.889312,38.020638,,
,46,161656800,,,0,,,,-84.886237,38.040585,,
,47,161673732,,,0,,,,-84.904579,38.058004,,
,48,161673738,,,0,,,,-84.904684,38.058142,,
,49,161697710,,,0,,,,-85.926387,37.002043,,
,50,161697858,traffic_signals,,1,,,,-85.921418,37.009584,,
,51,161697942,,,0,,,,-85.916619,37.013719,,
,52,161704770,motorway_junction,,0,,,,-86.050921,37.100843,,
,53,161704804,,,0,,,,-86.054628,37.098641,,
,54,161704849,,,0,,,,-86.05517,37.098395,,
,55,161704913,,,0,,,,-86.05782,37.094619,,
,56,161705077,motorway_junction,,0,,,,-85.982415,37.131706,,
,57,161705152,,,0,,,,-85.977238,37.135026,,
,58,161705173,,,0,,,,-85.97684,37.135248,,
,59,161715797,,,0,,,,-84.909325,38.02091,,
,60,161717791,motorway_junction,,0,,,,-85.929374,36.975463,,
