name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,29657109,motorway_junction,,0,,,,-93.7355912,32.513716,,
,1,29657112,motorway_junction,,0,,,,-93.7206352,32.5136499,,
,2,30334790,,,0,,,,-93.6347026,32.5522244,,
,3,30336893,motorway_junction,,0,,,,-93.731202,32.5140243,,
,4,30813337,,,0,,,,-93.7121746,32.5121827,,
,5,30826143,,,0,,,,-93.7316024,32.558848,,
,6,114793474,,,0,,,,-93.7494726,32.6468524,,
,7,114794853,,,0,,,,-93.68294,32.457656,,
,8,114796147,,,0,,,,-93.6675231,32.4670944,,
,9,114796797,motorway_junction,,0,,,,-92.9436982,32.5672179,,
,10,114796805,,,0,,,,-92.9493781,32.5690401,,
,11,114796814,,,0,,,,-92.9524603,32.5671141,,
,12,114797501,,,0,,,,-93.0096193,32.237799,,
,13,114798474,,,0,,,,-93.7009122,32.9065416,,
,14,114800728,,,0,,,,-93.7339576,32.5138522,,
,15,114801841,,,0,,,,-93.7475837,32.6665622,,
,16,114807961,,,0,,,,-93.68294,32.45776,,
,17,114809508,,,0,,,,-93.4899114,32.5666473,,
,18,114809636,,,0,,,,-93.7141069,32.5128424,,
,19,114811965,,,0,,,,-93.1586287,32.5621751,,
,20,114811966,,,0,,,,-93.1593963,32.5614933,,
,21,114812541,,,0,,,,-93.1597266,32.5637949,,
,22,114812548,,,0,,,,-93.159352,32.5643611,,
,23,114812558,,,0,,,,-93.1587873,32.5636601,,
,24,114812732,,,0,,,,-93.6475196,32.4416271,,
,25,114813418,,,0,,,,-92.8798415,32.5427284,,
,26,114813628,,,0,,,,-93.749345,32.6518762,,
,27,114813967,,,0,,,,-93.7131875,32.5125485,,
,28,114815201,,,0,,,,-93.7169103,32.5143155,,
,29,114815502,,,0,,,,-93.0461747,32.5439868,,
,30,114817756,,,0,,,,-93.2795997,32.3046585,,
,31,114817802,,,0,,,,-93.2798339,32.3373623,,
,32,114818005,,,0,,,,-93.7047778,32.8983131,,
,33,114818029,,,0,,,,-93.704731,32.9068493,,
,34,114818528,,,0,,,,-92.935213,32.5549631,,
,35,114819094,,,0,,,,-92.9803893,32.358318,,
,36,114819193,,,0,,,,-92.9209482,32.5481089,,
,37,114819203,,,0,,,,-92.9199946,32.5497174,,
,38,114820489,,,0,,,,-93.159602,32.562274,,
,39,114822323,,,0,,,,-93.1551557,32.5524119,,
,40,114822331,,,0,,,,-93.0669375,32.5463715,,
,41,114822402,,,0,,,,-93.159277,32.562186,,
,42,114822407,,,0,,,,-93.1592928,32.5638192,,
,43,114822625,,,0,,,,-92.9743774,32.1646213,,
,44,114822633,,,0,,,,-92.9773064,32.1646826,,
,45,114823000,,,0,,,,-93.6655358,32.4645494,,
,46,114823674,,,0,,,,-93.745517,32.6834518,,
,47,114827530,,,0,,,,-93.6665896,32.9057336,,
,48,114827550,,,0,,,,-93.6888166,32.9066221,,
,49,114827780,,,0,,,,-93.6484895,32.442883,,
,50,114827983,,,0,,,,-93.6922452,32.4989712,,
,51,114827986,traffic_signals,,1,,,,-93.6914292,32.4979323,,8
,52,114827989,traffic_signals,,1,,,,-93.6913265,32.4978083,,8
,53,114827992,,,0,,,,-93.6897125,32.4959314,,
,54,114828018,,,0,,,,-93.6661505,32.4653289,,
,55,114828034,,,0,,,,-93.6576863,32.4546968,,
,56,114828039,,,0,,,,-93.6563997,32.4530557,,
,57,114828051,,,0,,,,-93.6530118,32.4487018,,
,58,114828146,,,0,,,,-93.5962894,32.386681,,
,59,114828195,,,0,,,,-93.7351038,32.5155359,,
,60,114828875,,,0,,,,-93.683207,32.458447,,
,61,114829010,,,0,,,,-92.9236002,32.5512193,,
,62,114830031,,,0,,,,-93.7096596,32.9068756,,
,63,114830145,,,0,,,,-93.704083,32.9176288,,
,64,114830304,,,0,,,,-93.7378486,32.7060194,,
,65,114831175,,,0,,,,-92.9969442,32.2553343,,
,66,114831934,,,0,,,,-92.981665,32.420247,,
,67,114832002,,,0,,,,-93.1627952,32.5637776,,
,68,114832018,motorway_junction,,0,,,,-93.1558515,32.5627215,,
,69,114832546,,,0,,,,-92.9724413,32.1480888,,
,70,114832558,,,0,,,,-92.9739344,32.155287,,
,71,114832567,,,0,,,,-92.9802229,32.3447998,,
,72,114832575,,,0,,,,-92.9803523,32.3566774,,
,73,114832591,,,0,,,,-92.9438759,32.5621694,,
,74,114833814,traffic_signals,,1,,,,-93.7371227,32.521051,,
,75,114833824,,,0,,,,-93.7391759,32.5204016,,
,76,114835224,,,0,,,,-93.053069,32.5438467,,
,77,114835530,,,0,,,,-93.0530201,32.545229,,
,78,114837109,,,0,,,,-92.976837,32.1701068,,
,79,114839514,,,0,,,,-92.946356,32.5653039,,
,80,114840372,,,0,,,,-92.9060023,32.5448,,
,81,114840388,,,0,,,,-92.9239626,32.5505854,,
,82,114841175,,,0,,,,-92.9257854,32.534531,,
,83,114842269,,,0,,,,-92.9483822,32.5680874,,
,84,114842438,,,0,,,,-92.9438056,32.5606172,,
,85,114843612,,,0,,,,-93.7370269,32.5187498,,
,86,114844688,,,0,,,,-93.6964647,32.9065625,,
,87,114845881,,,0,,,,-93.7392446,32.6155082,,
,88,114846798,,,0,,,,-93.7485025,32.658864,,
,89,114857106,,,0,,,,-93.62468,32.349261,,
,90,114858534,,,0,,,,-93.7343237,32.5143586,,
,91,114859701,,,0,,,,-93.683584,32.4588045,,
,92,114862060,traffic_signals,,1,,,,-93.9521391,32.4430261,,
,93,114862074,motorway_junction,,0,,,,-93.9545906,32.4444816,,
,94,114862162,,,0,,,,-93.947631,32.443877,,
,95,114862202,,,0,,,,-93.9517833,32.4431363,,
,96,114863346,,,0,,,,-93.7561601,32.4374965,,
,97,114863363,,,0,,,,-93.756901,32.441823,,
,98,114864039,,,0,,,,-93.978754,32.748347,,
,99,114864451,,,0,,,,-93.7407052,32.5111021,,
,100,114864586,,,0,,,,-93.7455824,32.5060762,,
,101,114866236,motorway_junction,,0,,,,-93.751695,32.390687,,
,102,114866251,,,0,,,,-93.750817,32.397817,,
,103,114866253,,,0,,,,-93.750818,32.39832,,
,104,114866256,,,0,,,,-93.750818,32.398474,,
,105,114866287,,,0,,,,-93.751682,32.404673,,
,106,114867474,,,0,,,,-93.7567684,32.4420034,,
,107,114867485,motorway_junction,,0,,,,-93.7567765,32.4464416,,
,108,114871284,,,0,,,,-93.981002,32.811793,,
,109,114871336,,,0,,,,-93.9006593,32.448563,,
,110,114871353,,,0,,,,-93.8998492,32.4476831,,
,111,114871372,motorway_junction,,0,,,,-93.8973013,32.4477141,,
,112,114871377,,,0,,,,-93.901882,32.447254,,
,113,114871430,,,0,,,,-93.900729,32.4485284,,
,114,114873753,,,0,,,,-93.9486197,32.4450252,,
,115,114873759,,,0,,,,-93.949237,32.444947,,
,116,114873783,,,0,,,,-93.952065,32.444547,,
,117,114873793,motorway_junction,,0,,,,-93.7814385,32.554024,,
,118,114875538,motorway_junction,,0,,,,-93.977254,32.446705,,
,119,114875576,,,0,,,,-93.979593,32.448195,,
,120,114875585,,,0,,,,-93.9801546,32.4483805,,
,121,114875591,,,0,,,,-93.9806378,32.4484262,,
,122,114875607,,,0,,,,-93.9841046,32.4480213,,
,123,114877221,motorway_junction,,0,,,,-93.983135,32.447453,,
,124,114877245,,,0,,,,-93.9813738,32.4456899,,
,125,114877248,,,0,,,,-93.9809709,32.4455543,,
,126,114877258,,,0,,,,-93.980269,32.445537,,
,127,114877282,,,0,,,,-93.977584,32.446492,,
,128,114877663,motorway_junction,,0,,,,-93.9454039,32.4439465,,
,129,114877684,,,0,,,,-93.9480313,32.4447121,,
,130,114877688,,,0,,,,-93.948484,32.445121,,
,131,114877711,,,0,,,,-93.9479424,32.4454689,,
,132,114880697,,,0,,,,-93.682951,32.460521,,
,133,114880765,,,0,,,,-93.683948,32.458807,,
,134,114887911,,,0,,,,-93.755857,32.44182,,
,135,114887920,,,0,,,,-93.7557681,32.4412963,,
,136,114888204,motorway_junction,,0,,,,-93.7492539,32.5020035,,
,137,114888615,traffic_signals,,1,,,,-93.7746112,32.4852201,,1
,138,114888617,,,0,,,,-93.7747221,32.4849943,,
,139,114888633,,,0,,,,-93.775563,32.482832,,
,140,114889333,motorway_junction,,0,,,,-93.903825,32.446824,,
,141,114889349,,,0,,,,-93.899476,32.446565,,
,142,114893260,,,0,,,,-93.799232,32.442034,,
,143,114895566,,,0,,,,-93.7472894,32.5041957,,
,144,114896644,traffic_signals,,1,,,,-93.773351,32.485611,,
,145,114897359,motorway_junction,,0,,,,-93.783842,32.551043,,
,146,114897400,,,0,,,,-93.7803396,32.5519575,,
,147,114897931,,,0,,,,-93.783115,32.557336,,
,148,114897980,motorway_junction,,0,,,,-93.77658,32.556784,,
,149,114900566,traffic_signals,,1,,,,-93.7806494,32.5527795,,0
,150,114900578,,,0,,,,-93.7797704,32.553313,,
,151,114900622,,,0,,,,-93.775319,32.556818,,
,152,114901074,,,0,,,,-93.752058,32.390549,,
,153,114901100,,,0,,,,-93.752963,32.397835,,
,154,114901106,,,0,,,,-93.752948,32.398299,,
,155,114901108,,,0,,,,-93.752949,32.398453,,
,156,114901145,motorway_junction,,0,,,,-93.75209,32.405839,,
,157,114902430,,,0,,,,-93.7803193,32.48393,,
,158,114902433,,,0,,,,-93.7803426,32.4832807,,
,159,114903044,,,0,,,,-93.7406029,32.5087678,,
,160,114907594,,,0,,,,-93.780101,32.478191,,
,161,114907605,motorway_junction,,0,,,,-93.782614,32.476855,,
,162,114907805,motorway_junction,,0,,,,-93.7732496,32.488049,,
,163,114908869,,,0,,,,-93.896642,32.44753,,
,164,114908901,,,0,,,,-93.899713,32.445712,,
,165,114909166,,,0,,,,-93.686222,32.458741,,
,166,114909960,,,0,,,,-93.6230395,32.3485385,,
,167,114911026,,,0,,,,-93.7406187,32.5072649,,
,168,114911214,,,0,,,,-93.7446397,32.5088823,,
,169,114911242,,,0,,,,-93.744078,32.51057,,
,170,114912477,,,0,,,,-93.756472,32.4463943,,
,171,114912499,,,0,,,,-93.7558804,32.4428341,,
,172,114913429,,,0,,,,-93.682952,32.460613,,
,173,114913526,,,0,,,,-93.6860489,32.4587595,,
,174,114914093,,,0,,,,-93.805358,32.5833407,,
,175,114916513,,,0,,,,-93.785156,32.549825,,
,176,114916540,,,0,,,,-93.7833196,32.5555048,,
,177,114916552,,,0,,,,-93.7834241,32.557651,,
,178,114920699,,,0,,,,-93.781427,32.554217,,
,179,114923192,,,0,,,,-93.818592,32.623661,,
,180,114923353,motorway_junction,,0,,,,-93.8428586,32.4459156,,
,181,114923369,,,0,,,,-93.8430286,32.4429846,,
,182,114923374,,,0,,,,-93.8428956,32.4421946,,
,183,114923376,,,0,,,,-93.8428636,32.4420576,,
,184,114923380,,,0,,,,-93.8426205,32.4412837,,
,185,114923394,,,0,,,,-93.8414651,32.4384767,,
,186,114923678,,,0,,,,-93.686546,32.457662,,
,187,114923700,,,0,,,,-93.687158,32.458554,,
,188,114924112,,,0,,,,-93.7815152,32.5541416,,
,189,114924210,motorway_junction,,0,,,,-93.7816798,32.5541788,,
,190,114925776,,,0,,,,-93.982186,32.900131,,
,191,114925948,,,0,,,,-93.7381713,32.5063728,,
,192,114925986,traffic_signals,,1,,,,-93.7517192,32.5099435,,
,193,114926550,,,0,,,,-93.646235,32.365778,,
,194,114927211,motorway_junction,,0,,,,-93.7772069,32.4812047,,
,195,114927229,,,0,,,,-93.779953,32.479619,,
,196,114928799,,,0,,,,-93.7825962,32.5561236,,
,197,114928951,,,0,,,,-93.7772071,32.4809507,,
,198,114928968,,,0,,,,-93.779957,32.478476,,
,199,114934510,,,0,,,,-93.8425666,32.4460216,,
,200,114934544,,,0,,,,-93.8414266,32.4430766,,
,201,114934549,,,0,,,,-93.8411956,32.4421616,,
,202,114934551,,,0,,,,-93.8411686,32.4420236,,
,203,114934560,,,0,,,,-93.8410376,32.4408186,,
,204,114934584,motorway_junction,,0,,,,-93.8409916,32.4375996,,
,205,114937853,,,0,,,,-93.985257,32.858711,,
,206,114937871,,,0,,,,-93.986549,32.8611654,,
,207,114937931,,,0,,,,-93.986579,32.872504,,
,208,114938027,,,0,,,,-93.983213,32.847476,,
,209,114938732,,,0,,,,-93.744477,32.510966,,
,210,114938771,,,0,,,,-93.737948,32.504863,,
,211,114938858,,,0,,,,-93.7460968,32.5125026,,
,212,114941178,traffic_signals,,1,,,,-93.7547811,32.4999467,,
,213,114942945,,,0,,,,-93.923234,32.676341,,
,214,114943699,,,0,,,,-93.7518025,32.508342,,
,215,114943845,traffic_signals,,1,,,,-93.7608203,32.4946335,,
,216,114943942,traffic_signals,,1,,,,-93.770355,32.48626,,
,217,114944070,,,0,,,,-93.721427,32.448655,,
,218,114944076,,,0,,,,-93.7216,32.448604,,
,219,114947414,,,0,,,,-93.75668,32.398392,,
,220,114947419,,,0,,,,-93.756679,32.398258,,
,221,114951888,traffic_signals,,1,,,,-93.7545359,32.4419547,,
,222,114961367,,,0,,,,-94.0428022,32.786916,,
,223,114962190,,,0,,,,-93.9727277,32.4435537,,
,224,114962804,,,0,,,,-93.943657,32.296856,,
,225,114965041,,,0,,,,-93.6954117,32.4031749,,
,226,114965104,,,0,,,,-93.7119544,32.4317474,,
,227,114965107,,,0,,,,-93.712706,32.4330253,,
,228,114965110,,,0,,,,-93.713468,32.434356,,
,229,114965118,,,0,,,,-93.7187173,32.4434389,,
,230,114965120,,,0,,,,-93.719997,32.445642,,
,231,114965262,,,0,,,,-93.7244487,32.4889793,,
,232,114965274,traffic_signals,,1,,,,-93.7245657,32.4926373,,3
,233,114965289,,,0,,,,-93.7249567,32.4963483,,
,234,114965291,,,0,,,,-93.7249667,32.4999773,,
,235,114965388,,,0,,,,-93.66355,32.380353,,
,236,114965473,,,0,,,,-93.7110449,32.4306219,,
,237,114965477,,,0,,,,-93.7117394,32.4318387,,
,238,114965479,,,0,,,,-93.713249,32.434443,,
,239,114965490,,,0,,,,-93.7184503,32.4434461,,
,240,114965492,,,0,,,,-93.719777,32.445733,,
,241,114965518,,,0,,,,-93.7220081,32.4502666,,
,242,114965596,,,0,,,,-93.722357,32.480593,,
,243,114965642,,,0,,,,-93.724251,32.488977,,
,244,114965654,traffic_signals,,1,,,,-93.72439,32.492638,,3
,245,114965677,,,0,,,,-93.7247676,32.4963504,,
,246,114965684,,,0,,,,-93.724787,32.499981,,
,247,114965703,,,0,,,,-93.663795,32.38022,,
,248,114965725,,,0,,,,-93.646425,32.365608,,
,249,114965729,,,0,,,,-93.712945,32.432941,,
,250,114966867,,,0,,,,-93.962342,32.687474,,
,251,114971354,,,0,,,,-93.798265,32.474594,,
,252,114971817,,,0,,,,-93.99381,32.933718,,
,253,114972255,traffic_signals,,1,,,,-93.776034,32.5441237,,
,254,114973865,,,0,,,,-93.8101536,32.6062297,,
,255,114973923,,,0,,,,-93.7964491,32.5789832,,
,256,114973964,,,0,,,,-93.8014805,32.5851897,,
,257,114973974,,,0,,,,-93.7792741,32.550109,,
,258,114974013,,,0,,,,-93.7967666,32.5810102,,
,259,114974329,,,0,,,,-93.878628,32.884248,,
,260,114974351,,,0,,,,-93.878393,32.891647,,
,261,114974756,,,0,,,,-93.895491,32.986784,,
,262,114974816,,,0,,,,-93.747755,32.514241,,
,263,114974821,,,0,,,,-93.7461233,32.5125919,,
,264,114975003,,,0,,,,-93.89499,33.004258,,
,265,114981567,,,0,,,,-93.783563,32.44198,,
,266,114981578,traffic_signals,,1,,,,-93.7809714,32.4420179,,
,267,114981596,,,0,,,,-93.778612,32.441971,,
,268,114981606,,,0,,,,-93.775743,32.441978,,
,269,114981654,,,0,,,,-93.772623,32.441986,,
,270,114981678,,,0,,,,-93.8403654,32.442004,,
,271,114981716,,,0,,,,-93.8372736,32.4409836,,
,272,114981859,traffic_signals,,1,,,,-93.7809975,32.4419165,,6
,273,114981861,traffic_signals,,1,,,,-93.7812047,32.4419178,,6
,274,114981900,,,0,,,,-93.795224,32.442012,,
,275,114981913,traffic_signals,,1,,,,-93.7972784,32.4419755,,9
,276,114981915,traffic_signals,,1,,,,-93.7974238,32.4419764,,9
,277,114981960,traffic_signals,,1,,,,-93.7972787,32.442075,,10
,278,114981966,traffic_signals,,1,,,,-93.797423,32.442076,,10
,279,114982026,,,0,,,,-93.8092046,32.4417926,,
,280,114982033,,,0,,,,-93.8098376,32.4414156,,
,281,114982199,,,0,,,,-93.8407276,32.4421526,,
,282,114982915,,,0,,,,-93.7527292,32.5191986,,
,283,114982924,,,0,,,,-93.7527861,32.5197705,,
,284,114982932,,,0,,,,-93.7527002,32.5197429,,
,285,114983043,,,0,,,,-93.746767,32.514949,,
,286,114983046,,,0,,,,-93.745913,32.514111,,
,287,114983062,,,0,,,,-93.743476,32.511693,,
,288,114983085,,,0,,,,-93.7377249,32.505915,,
,289,114988892,,,0,,,,-93.63079,32.352713,,
,290,114994022,,,0,,,,-93.688019,32.458305,,
,291,114994064,,,0,,,,-93.690776,32.456544,,
,292,114994135,,,0,,,,-93.7017792,32.446013,,
,293,114994625,,,0,,,,-93.6890243,32.4578035,,
,294,115010236,,,0,,,,-93.958675,32.687455,,
,295,115010246,,,0,,,,-93.958581,32.687233,,
,296,115010251,,,0,,,,-93.9582318,32.6873552,,
,297,115010809,,,0,,,,-93.832888,32.5967574,,
,298,115010855,,,0,,,,-93.8019807,32.582304,,
,299,115010893,,,0,,,,-93.7946549,32.5786623,,
,300,115010914,,,0,,,,-93.784327,32.5594551,,
,301,115010922,traffic_signals,,1,,,,-93.7841959,32.5592081,,
,302,115010980,traffic_signals,,1,,,,-93.7704051,32.536905,,
,303,115010986,traffic_signals,,1,,,,-93.7679529,32.5344527,,
,304,115010996,traffic_signals,,1,,,,-93.7626434,32.5291414,,
,305,115011062,,,0,,,,-93.7537491,32.5202436,,
,306,115011215,,,0,,,,-93.7936149,32.5765669,,
,307,115011239,,,0,,,,-93.795345,32.5784103,,
,308,115011252,,,0,,,,-93.8024727,32.5819255,,
,309,115014328,,,0,,,,-93.7244164,32.4122074,,
,310,115014384,,,0,,,,-93.7251,32.410885,,
,311,115014405,motorway_junction,,0,,,,-93.7288733,32.4128362,,
,312,115030320,,,0,,,,-93.982595,32.866362,,
,313,115042795,,,0,,,,-93.763438,32.398311,,
,314,115042797,,,0,,,,-93.763434,32.398192,,
,315,115043210,,,0,,,,-93.763325,32.398192,,
,316,115043212,,,0,,,,-93.76332,32.398311,,
,317,115045950,traffic_signals,,1,,,,-93.9815784,32.4433988,,
,318,115059525,traffic_signals,,1,,,,-93.752574,32.510779,,
,319,115059529,traffic_signals,,1,,,,-93.75092,32.509129,,
,320,115067532,,,0,,,,-93.992284,32.966031,,
,321,115068041,,,0,,,,-93.7523949,32.398459,,
,322,115068046,,,0,,,,-93.89259,32.413348,,
,323,115068314,,,0,,,,-93.7719341,32.3999659,,
,324,115068349,,,0,,,,-93.899733,32.417161,,
,325,115068459,,,0,,,,-93.89986,32.445068,,
,326,115068546,,,0,,,,-93.899803,32.417679,,
,327,115068562,,,0,,,,-93.7719146,32.3998149,,
,328,115068782,,,0,,,,-93.892654,32.413214,,
,329,115070037,,,0,,,,-93.982626,32.862602,,
,330,115072672,,,0,,,,-93.989928,32.195571,,
,331,115075643,traffic_signals,,1,,,,-93.8276641,32.4711788,,
,332,115082471,,,0,,,,-93.1435237,32.9943205,,
,333,115084265,,,0,,,,-93.779963,32.478198,,
,334,115085308,,,0,,,,-93.1240723,32.9496378,,
,335,115086553,traffic_signals,,1,,,,-93.780208,32.483331,,2
