name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses
,0,4984291,838,3,,257.6559086446805,,30,,motorway,1,"LINESTRING (-90.1995859 38.6656655, -90.1991493 38.6647383, -90.1990132 38.664432, -90.1989508 38.6642644, -90.1989099 38.6641231, -90.1988724 38.6639655, -90.1988415 38.6638236, -90.1988114 38.6636555, -90.1987827 38.663445)",auto
South Skinker Boulevard,1,5459924,92,50,,86.94300162200702,,,,primary,3,"LINESTRING (-90.304527 38.6326385, -90.3044582 38.6329191, -90.3044192 38.633078, -90.3044052 38.6331352, -90.3043398 38.6334066)",auto
,2,6408757,1,14,,223.38542608747397,,30,,motorway,1,"LINESTRING (-90.2605411 38.6952605, -90.2605726 38.6947387, -90.260586 38.6945194, -90.2606142 38.6941578, -90.2606189 38.6940463, -90.2606041 38.6939239, -90.2605786 38.6938103, -90.2605189 38.6936627, -90.260301 38.6933005)",auto
,3,6408762,931,1725,,294.4162436059536,,,,motorway,1,"LINESTRING (-90.3027557 38.6319066, -90.303266 38.6317411, -90.3034685 38.6316641, -90.303724 38.6315688, -90.3039519 38.6314703, -90.3041933 38.6313572, -90.3044884 38.6312152, -90.3047559 38.6310874, -90.3048974 38.6310209, -90.305047 38.6309585, -90.3052159 38.6308931, -90.305336 38.6308532, -90.3055009 38.6308045, -90.3056652 38.6307658, -90.3057852 38.630739)",auto
,4,6408765,15,973,,198.7695336354578,,,,motorway,1,"LINESTRING (-90.2205453 38.6283163, -90.2202301 38.6280984, -90.2201088 38.6280539, -90.219974 38.6279915, -90.2198117 38.6279182, -90.2195509 38.6277998, -90.2193618 38.6277233, -90.2192022 38.6276599, -90.2189454 38.6275719, -90.2185602 38.6274511)",auto
,5,6408765,973,649,,62.110344011494256,,,,motorway,1,"LINESTRING (-90.2185602 38.6274511, -90.2179212 38.6272005)",auto
,6,6408768,972,654,,38.36095439611489,,,,motorway,1,"LINESTRING (-90.2175763 38.6277453, -90.2179908 38.6278643)",auto
,7,6408768,654,653,,254.02587705117924,,,,motorway,1,"LINESTRING (-90.2179908 38.6278643, -90.2184378 38.6279884, -90.2190144 38.6281539, -90.2192726 38.6282241, -90.2195469 38.6283011, -90.2198305 38.6283813, -90.220153 38.6284761, -90.2207646 38.6285751)",auto
,8,6408787,736,741,,304.954276539806,,40,,motorway,1,"LINESTRING (-90.2706449 38.6184779, -90.2696545 38.6182892, -90.2692475 38.6182332, -90.268986 38.618208, -90.2685729 38.6181866, -90.2677703 38.6181153, -90.2671815 38.6180661)",auto
,9,6408787,741,1729,,41.85480288586856,,40,,motorway,1,"LINESTRING (-90.2671815 38.6180661, -90.2668389 38.6180226, -90.2667053 38.6180094)",auto
