name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,33053212,,,0,,,,-90.2078343,38.6772057,,
,1,33053227,motorway_junction,,0,,,,-90.2605411,38.6952605,,
,2,33053242,motorway_junction,,0,,,,-90.3042738,38.7203975,,
,3,33053674,,,0,,,,-90.1987827,38.663445,,
,4,33056513,traffic_signals,,1,,,,-90.1933464,38.6262393,,
,5,33056909,traffic_signals,,1,,,,-90.1900037,38.6254109,,
,6,33057048,traffic_signals,,1,,,,-90.1888065,38.6251482,,
,7,53158526,,,0,,,,-90.206438,38.6129228,,
,8,53158659,,,0,,,,-90.2392687,38.6170695,,
,9,53158661,,,0,,,,-90.2403937,38.6172168,,
,10,53158848,,,0,,,,-90.3155389,38.5879678,,
,11,53158925,,,0,,,,-90.2046145,38.6830793,,
,12,53158939,traffic_signals,,1,,,,-90.2106784,38.6798647,,
,13,53158942,traffic_signals,,1,,,,-90.2118296,38.6792469,,
,14,53158963,,,0,,,,-90.260301,38.6933005,,
,15,53158971,motorway_junction,,0,,,,-90.2205453,38.6283163,,
,16,53159013,,,0,,,,-90.2700931,38.618612,,
,17,53159016,,,0,,,,-90.2665029,38.618061,,
,18,53159019,,,0,,,,-90.2393943,38.6161428,,
,19,53159027,traffic_signals,,1,,,,-90.2232766,38.6310492,,
,20,53159103,traffic_signals,,1,,,,-90.2047758,38.6727422,,
,21,53159108,traffic_signals,,1,,,,-90.2038779,38.6732152,,
,22,53159134,,,0,,,,-90.2662911,38.632134,,
,23,53159192,,,0,,,,-90.2345546,38.5741899,,
,24,53159199,motorway_junction,,0,,,,-90.2085967,38.6781846,,
,25,53159201,,,0,,,,-90.2129795,38.6808789,,
,26,53159204,,,0,,,,-90.2112305,38.6788029,,
,27,53159298,,,0,,,,-90.2468771,38.6860569,,
,28,53159304,,,0,,,,-90.2463749,38.6857904,,
,29,53159310,motorway_junction,,0,,,,-90.2431818,38.6851444,,
,30,53159365,traffic_signals,,1,,,,-90.2123208,38.6084675,,
,31,53159375,motorway_junction,,0,,,,-90.2851128,38.6190914,,
,32,53159381,,,0,,,,-90.2918787,38.6177978,,
,33,53159393,,,0,,,,-90.2322582,38.6306651,,
,34,53159395,,,0,,,,-90.2339865,38.6304572,,
,35,53159398,traffic_signals,,1,,,,-90.2272834,38.6310354,,
,36,53159400,,,0,,,,-90.2276751,38.6311128,,
,37,53159402,,,0,,,,-90.2300907,38.6322555,,
,38,53159560,,,0,,,,-90.1824251,38.7665016,,
,39,53159562,motorway_junction,,0,,,,-90.180028,38.7664801,,
,40,53159577,,,0,,,,-90.3075134,38.6048532,,
,41,53159603,,,0,,,,-90.3127069,38.5854252,,
,42,53159604,,,0,,,,-90.3138943,38.5864755,,
,43,53159605,,,0,,,,-90.3148094,38.5877581,,
,44,53159610,,,0,,,,-90.3156677,38.5874227,,
,45,53159627,,,0,,,,-90.3134354,38.5850369,,
,46,53159631,,,0,,,,-90.1822105,38.7675274,,
,47,53159682,traffic_signals,,1,,,,-90.3066786,38.6294676,,
,48,53159733,,,0,,,,-90.2539562,38.6898698,,
,49,53159736,motorway_junction,,0,,,,-90.2177397,38.6132527,,
,50,53159779,traffic_signals,,1,,,,-90.3043398,38.6334066,,
,51,53159787,,,0,,,,-90.1960967,38.6608201,,
,52,53159789,motorway_junction,,0,,,,-90.1961379,38.6590923,,
,53,53159791,,,0,,,,-90.2663939,38.6190403,,
,54,53159797,,,0,,,,-90.1975062,38.663614,,
,55,53159799,,,0,,,,-90.1987577,38.6650268,,
