name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,25240674,,,0,,,,-72.2138142,43.6360136,,
,1,25240702,,,0,,,,-72.2831583,43.6378488,,
,2,25240706,,,0,,,,-72.2085346,43.6342397,,
,3,25240717,,,0,,,,-72.2738866,43.6379044,,
,4,25240774,,,0,,,,-72.238928,43.6441961,,
,5,25240898,,,0,,,,-72.2131748,43.6357619,,
,6,25240911,,,0,,,,-72.2548466,43.6417709,,
,7,25240913,,,0,,,,-72.2069521,43.6342982,,
,8,25240926,,,0,,,,-72.2826067,43.6379255,,
,9,25240936,,,0,,,,-72.2061003,43.6345829,,
,10,25241024,,,0,,,,-72.1883215,43.6454147,,
,11,25241165,,,0,,,,-72.2500788,43.6426767,,
,12,25241201,,,0,,,,-72.2505921,43.642409,,
,13,25241230,,,0,,,,-72.2309901,43.6379632,,
,14,25241402,,,0,,,,-72.2817614,43.637937,,
,15,25241407,,,0,,,,-72.2088782,43.6343028,,
,16,25241526,,,0,,,,-72.309476,43.644957,,
,17,25243703,motorway_junction,,0,,,,-72.28297,43.6366404,,
,18,25243707,,,0,,,,-72.2757375,43.6406972,,
,19,25243765,,,0,,,,-72.2536933,43.6502009,,
,20,25243767,motorway_junction,,0,,,,-72.2531118,43.6498881,,
,21,25243773,traffic_signals,,1,,,,-72.2484442,43.6483977,,
,22,25243774,traffic_signals,,1,,,,-72.2486838,43.6484947,,
,23,25243777,traffic_signals,,1,,,,-72.2474689,43.6493343,,23
,24,25243778,motorway_junction,,0,,,,-72.2430438,43.6479359,,
,25,25243779,,,0,,,,-72.2435841,43.6478282,,
,26,25243784,,,0,,,,-72.2469063,43.6491314,,
,27,25243793,traffic_signals,,1,,,,-72.2476793,43.6493902,,23
,28,25243796,traffic_signals,,1,,,,-72.2444095,43.6522991,,
,29,25243799,traffic_signals,,1,,,,-72.2445578,43.6523564,,
,30,25243800,,,0,,,,-72.2490942,43.6481479,,
,31,25243811,,,0,,,,-72.2535484,43.6472174,,
,32,25243814,,,0,,,,-72.2535505,43.647294,,
,33,25243981,,,0,,,,-72.211349,43.6351104,,
,34,25244149,,,0,,,,-72.2108968,43.6310809,,
,35,25244538,,,0,,,,-72.1441031,43.6443596,,
,36,25250999,,,0,,,,-72.0932255,43.6517062,,
,37,25251057,,,0,,,,-72.0854028,43.6539387,,
,38,25251221,,,0,,,,-72.0342542,43.6462789,,
,39,25251235,,,0,,,,-72.0233724,43.6461579,,
,40,25251246,,,0,,,,-72.0163412,43.6470781,,
,41,25322868,traffic_signals,,1,,,,-72.3056887,43.7053109,,
,42,25324415,,,0,,,,-71.9727676,43.6211811,,
,43,25391796,,,0,,,,-72.3024514,43.7042136,,
,44,25451628,,,0,,,,-71.8640906,43.5194865,,
,45,25451728,,,0,,,,-71.8764873,43.504035,,
,46,25643826,,,0,,,,-72.3019465,43.7041324,,
,47,25643839,,,0,,,,-72.2438819,43.653995,,
,48,25643850,,,0,,,,-72.3019802,43.7040662,,
,49,25654988,traffic_signals,,1,,,,-72.3092694,43.6446407,,
,50,25735226,,,0,,,,-72.2960539,43.6356554,,
,51,25765427,,,0,,,,-72.2826541,43.6381403,,
,52,25765441,,,0,,,,-72.282251,43.6384868,,
,53,25767680,,,0,,,,-72.2802483,43.6378435,,
,54,25767686,,,0,,,,-72.2790044,43.6386237,,
,55,25767740,,,0,,,,-72.2824684,43.6379347,,
,56,25767855,,,0,,,,-72.2742799,43.6378787,,
,57,25781912,,,0,,,,-72.2497125,43.648827,,
,58,25895238,traffic_signals,,1,,,,-72.305795,43.7051912,,
,59,25912301,,,0,,,,-72.2741323,43.7179628,,
,60,25912309,,,0,,,,-72.2738925,43.7182479,,
,61,25912311,,,0,,,,-72.2741245,43.7182722,,
,62,25912315,,,0,,,,-72.2742583,43.7180637,,
,63,25912858,,,0,,,,-72.2683546,43.7281872,,
,64,25912859,,,0,,,,-72.2686788,43.7277124,,
,65,25912861,,,0,,,,-72.2685979,43.7276906,,
,66,25912862,,,0,,,,-72.2687608,43.7275545,,
,67,25912870,,,0,,,,-72.268655,43.7275342,,
,68,25912874,,,0,,,,-72.2688343,43.727298,,
,69,25914478,,,0,,,,-72.2738254,43.7185217,,
,70,25975878,,,0,,,,-72.09947,43.6482006,,
,71,27507456,motorway_junction,,0,,,,-71.6513555,43.1837832,,
,72,28092585,,,0,,,,-71.5277941,43.1716737,,
,73,28136777,,,0,,,,-71.528131,43.1813972,,
,74,28136810,motorway_junction,,0,,,,-71.5309336,43.1797394,,
,75,28136921,,,0,,,,-71.5297791,43.1783539,,
,76,28150157,,,0,,,,-71.5304304,43.1781269,,
,77,28150177,,,0,,,,-71.5257931,43.1829746,,
,78,30209930,,,0,,,,-72.0079891,43.6448681,,
,79,30209931,,,0,,,,-72.008559,43.6455405,,
