name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,30028412,,,0,,,,-75.1477477,40.6818555,,
,1,30028413,traffic_signals,,1,,,,-75.1469959,40.6814638,,
,2,30028420,traffic_signals,,1,,,,-75.1384636,40.6735082,,
,3,30028446,traffic_signals,,1,,,,-75.1472488,40.6809972,,
,4,30028454,,,0,,,,-75.1394474,40.6742248,,
,5,30028455,traffic_signals,,1,,,,-75.1386703,40.673384,,
,6,30028721,,,0,,,,-75.1621874,40.6993804,,
,7,30028764,,,0,,,,-75.1661208,40.6988578,,
,8,30694238,,,0,,,,-75.1394237,40.6734394,,
,9,30694240,,,0,,,,-75.1386844,40.6737529,,
,10,30694316,,,0,,,,-75.137918,40.6738559,,
,11,31898675,traffic_signals,,1,,,,-75.2022774,40.6915572,,
,12,33977995,motorway_junction,,0,,,,-74.4713746,40.7831915,,
,13,33978231,traffic_signals,,1,,,,-74.472363,40.7889513,,
,14,33978420,traffic_signals,,1,,,,-74.4803157,40.7956898,,
,15,33978421,,,0,,,,-74.4813647,40.7965352,,
,16,60007381,motorway_junction,,0,,,,-74.0215741,40.7676912,,
,17,60474749,motorway_junction,,0,,,,-73.9139495,40.9973673,,
,18,60810374,motorway_junction,,0,,,,-73.9634663,40.8538412,,
,19,60810944,motorway_junction,,0,,,,-73.9565937,40.862869,,
,20,60810966,motorway_junction,,0,,,,-73.9648275,40.861477,,
,21,60810969,,,0,,,,-73.9668544,40.8613906,,
,22,60811194,,,0,,,,-73.9577069,40.8619625,,
,23,60811196,,,0,,,,-73.9591392,40.8609059,,
,24,60811364,,,0,,,,-73.969851,40.8552548,,
,25,60811504,motorway_junction,,0,,,,-73.971754,40.8559871,,
,26,60811513,,,0,,,,-73.9639701,40.8538317,,
,27,60811745,,,0,,,,-73.9670766,40.8612589,,
,28,60811753,,,0,,,,-73.9616198,40.8596812,,
,29,61979742,motorway_junction,,0,,,,-73.9139165,40.9941886,,
,30,62848874,,,0,,,,-73.9131598,40.980699,,
,31,62850470,,,0,,,,-73.9131011,40.9908586,,
,32,65614883,,,0,,,,-73.9469875,40.8826469,,
,33,65619875,motorway_junction,,0,,,,-73.9202964,40.9559546,,
,34,65619880,,,0,,,,-73.9189803,40.9583938,,
,35,65632224,motorway_junction,,0,,,,-73.9212314,40.955583,,
,36,65632228,,,0,,,,-73.920624,40.9568185,,
,37,65902741,traffic_signals,,1,,,,-73.9630092,40.863208,,
,38,65903763,,,0,,,,-73.9636488,40.8618101,,
,39,65903770,,,0,,,,-73.9649955,40.8596562,,
,40,65904401,,,0,,,,-73.9641661,40.8612617,,
,41,76463562,traffic_signals,,1,,,,-73.9724444,40.858982,,
,42,76463662,,,0,,,,-73.9633784,40.862685,,
,43,76463922,motorway_junction,,0,,,,-73.9739216,40.8576775,,
,44,76464207,,,0,,,,-73.9744454,40.8614628,,
,45,76464372,,,0,,,,-73.9624939,40.8535449,,
,46,76464410,motorway_junction,,0,,,,-73.9721309,40.8559739,,
,47,76464754,motorway_junction,,0,,,,-73.9742107,40.8608987,,
,48,76464760,,,0,,,,-73.9736124,40.8635184,,
,49,76464878,,,0,,,,-73.9739185,40.8614173,,
,50,76465148,,,0,,,,-73.9720162,40.8582695,,
,51,76465370,,,0,,,,-73.9715376,40.8570973,,
,52,76465373,,,0,,,,-73.9720423,40.8583976,,
,53,76465374,,,0,,,,-73.9720947,40.8586345,,
,54,76465484,,,0,,,,-73.9724109,40.8582803,,
,55,76465486,,,0,,,,-73.9732232,40.8580534,,
,56,76465596,,,0,,,,-73.9655599,40.8545417,,
,57,76465598,,,0,,,,-73.9669736,40.8547102,,
,58,76465600,motorway_junction,,0,,,,-73.9680423,40.8549193,,
,59,76465622,traffic_signals,,1,,,,-73.9635529,40.8540332,,
,60,76465636,,,0,,,,-73.9668911,40.8550421,,
,61,91471128,,,0,,,,-74.4805144,40.7975145,,
,62,91471498,traffic_signals,,1,,,,-74.4809682,40.79779,,50
,63,91471499,traffic_signals,,1,,,,-74.4811233,40.7977677,,50
,64,91471769,,,0,,,,-74.4808533,40.7982231,,
,65,91473227,traffic_signals,,1,,,,-74.4820491,40.7969321,,
,66,91476237,traffic_signals,,1,,,,-74.4831589,40.7957782,,
,67,91476241,traffic_signals,,1,,,,-74.4840747,40.7943619,,
,68,91476895,traffic_signals,,1,,,,-74.4815562,40.7966744,,60
,69,91500646,motorway_junction,,0,,,,-74.4188961,40.8601149,,
,70,92799500,motorway_junction,,0,,,,-74.4433244,40.8031542,,
,71,93880830,traffic_signals,,1,,,,-74.8418295,40.8147214,,
,72,93881623,traffic_signals,,1,,,,-74.8339369,40.824011,,
,73,93881991,,,0,,,,-74.8217624,40.8197912,,
,74,93885424,traffic_signals,,1,,,,-74.7799436,40.7846423,,
,75,95804334,motorway_junction,,0,,,,-74.4688373,40.7919647,,
,76,96152360,motorway_junction,,0,,,,-74.3362026,40.7212187,,
,77,96152364,motorway_junction,,0,,,,-74.3318254,40.7179863,,
,78,96162650,motorway_junction,,0,,,,-74.2991865,40.7136495,,
,79,96163132,,,0,,,,-74.3015148,40.7139088,,
,80,96163576,,,0,,,,-74.3012014,40.7144674,,
,81,96163822,,,0,,,,-74.2953517,40.7152353,,
,82,100134179,motorway_junction,,0,,,,-74.4119276,40.8639032,,
,83,100135809,traffic_signals,,1,,,,-74.4136325,40.8630039,,
,84,100138672,motorway_junction,,0,,,,-74.4139087,40.8657469,,
,85,100138918,,,0,,,,-74.4150677,40.8666073,,
,86,100143607,,,0,,,,-74.4164319,40.8629644,,
,87,100149859,,,0,,,,-74.4088772,40.8624938,,
,88,100149996,,,0,,,,-74.4141582,40.863041,,
,89,100150124,,,0,,,,-74.4129451,40.8629847,,
,90,103093310,traffic_signals,,1,,,,-74.0037938,40.8711182,,
,91,103093709,,,0,,,,-74.0538722,40.9151461,,
,92,103093711,,,0,,,,-74.0533559,40.9161969,,
,93,103094652,,,0,,,,-74.0028494,40.8918797,,
,94,103094774,motorway_junction,,0,,,,-74.0651479,41.0529029,,
,95,103094779,,,0,,,,-73.9223541,40.9548004,,
,96,103094780,,,0,,,,-73.9220168,40.9547753,,
,97,103094795,,,0,,,,-74.0641481,40.965176,,
,98,103094805,,,0,,,,-74.0646363,40.9648539,,
,99,103094942,,,0,,,,-74.008361,40.821291,,
,100,103094954,,,0,,,,-74.0088261,40.8207697,,
,101,103095588,,,0,,,,-74.1244184,41.0602555,,
