name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,140741466,,,0,,,,-106.6377051,35.0237056,,
,1,140742736,,,0,,,,-106.5513327,35.0909697,,
,2,140742751,,,0,,,,-106.555539,35.092289,,
,3,140742830,,,0,,,,-106.5881759,35.1593421,,
,4,140742842,,,0,,,,-106.587939,35.156876,,
,5,140743066,,,0,,,,-106.5782468,35.1993903,,
,6,140743078,,,0,,,,-106.5779236,35.2020906,,
,7,140743089,traffic_signals,,1,,,,-106.5780852,35.2040757,,
,8,140743117,motorway_junction,,0,,,,-106.5760988,35.2088435,,
,9,140745286,,,0,,,,-106.6346566,35.0896365,,
,10,140745848,motorway_junction,,0,,,,-106.6390621,35.0667851,,
,11,140745860,motorway_junction,,0,,,,-106.6390374,35.0693292,,
,12,140745863,traffic_signals,,1,,,,-106.6390522,35.069742,,0
,13,140745868,,,0,,,,-106.63919,35.070283,,
,14,140745880,,,0,,,,-106.6397466,35.0720378,,
,15,140745898,,,0,,,,-106.6385266,35.0698815,,
,16,140745901,,,0,,,,-106.63842,35.0697473,,
,17,140746828,motorway_junction,,0,,,,-106.69805,34.947293,,
,18,140746836,,,0,,,,-106.693935,34.947828,,
,19,140746838,,,0,,,,-106.693609,34.947871,,
,20,140746842,,,0,,,,-106.693159,34.94797,,
,21,140746848,,,0,,,,-106.6888111,34.9489204,,
,22,140746890,traffic_signals,,1,,,,-106.623044,35.1141049,,103
,23,140746904,,,0,,,,-106.69353,34.947598,,
,24,140748739,,,0,,,,-106.5109629,35.0747463,,
,25,140748746,motorway_junction,,0,,,,-106.5730027,35.0989598,,
,26,140748753,,,0,,,,-106.5696134,35.0972506,,
,27,140748906,,,0,,,,-106.606416,35.18582,,
,28,140750489,,,0,,,,-106.6193763,35.1360927,,
,29,140750840,,,0,,,,-106.5937075,35.1417618,,
,30,140750848,,,0,,,,-106.592176,35.143511,,
,31,140750853,,,0,,,,-106.6239942,35.1199739,,
,32,140750864,motorway_junction,,0,,,,-106.6239861,35.1192579,,
,33,140752916,,,0,,,,-106.664448,34.953278,,
,34,140752974,,,0,,,,-106.659574,34.957472,,
,35,140753197,motorway_junction,,0,,,,-106.5283453,35.0817641,,
,36,140753230,traffic_signals,,1,,,,-106.532569,35.0842713,,37
,37,140753253,,,0,,,,-106.537111,35.085109,,
,38,140753283,motorway_junction,,0,,,,-106.537384,35.0848148,,
,39,140753831,traffic_signals,,1,,,,-106.4949098,35.0677197,,6
,40,140753832,,,0,,,,-106.4946361,35.0679684,,
,41,140753847,,,0,,,,-106.4871807,35.0656751,,
,42,140755344,,,0,,,,-106.6438463,35.0876189,,
,43,140756345,,,0,,,,-106.5828509,35.1754913,,
,44,140756355,,,0,,,,-106.5830187,35.1775508,,
,45,140756477,,,0,,,,-106.49179,35.067652,,
,46,140757200,motorway_junction,,0,,,,-106.6386702,35.0764682,,
,47,140757210,,,0,,,,-106.6370823,35.0781259,,
,48,140760030,motorway_junction,,0,,,,-106.605786,35.135291,,
,49,140760039,,,0,,,,-106.6074115,35.1346406,,
,50,140760064,traffic_signals,,1,,,,-106.610913,35.1336192,,104
,51,140760067,traffic_signals,,1,,,,-106.611024,35.1335014,,104
,52,140760075,,,0,,,,-106.6117636,35.132389,,
,53,140761471,,,0,,,,-106.5823405,35.1815392,,
,54,140761476,,,0,,,,-106.5821853,35.1834776,,
,55,140761487,traffic_signals,,1,,,,-106.582174,35.1849074,,19
,56,140761500,,,0,,,,-106.581453,35.1865294,,
,57,140761503,motorway_junction,,0,,,,-106.580872,35.188011,,
,58,140762046,,,0,,,,-106.5688772,35.0991541,,
,59,140762067,,,0,,,,-106.5743179,35.0999228,,
,60,140764486,traffic_signals,,1,,,,-106.635384,35.0910194,,
,61,140764502,,,0,,,,-106.635469,35.090341,,
,62,140765508,,,0,,,,-106.6405431,35.0697151,,
,63,140765524,motorway_junction,,0,,,,-106.640032,35.070931,,
,64,140765530,motorway_junction,,0,,,,-106.639967,35.0723723,,
,65,140765898,,,0,,,,-106.5329367,35.0824701,,
,66,140765907,traffic_signals,,1,,,,-106.5325062,35.0823903,,10
,67,140765910,,,0,,,,-106.532138,35.0823702,,
,68,140765924,,,0,,,,-106.5285761,35.0814625,,
,69,140767723,motorway_junction,,0,,,,-106.5992089,35.1042871,,
,70,140767749,,,0,,,,-106.6099775,35.1064886,,
,71,140769058,motorway_junction,,0,,,,-106.6888454,34.9491666,,
,72,140769071,,,0,,,,-106.693453,34.949039,,
,73,140770594,motorway_junction,,0,,,,-106.5824069,35.1802153,,
,74,140770597,,,0,,,,-106.581626,35.182444,,
,75,140770623,traffic_signals,,1,,,,-106.580324,35.18447,,18
,76,140770638,,,0,,,,-106.58052,35.18613,,
,77,140770651,,,0,,,,-106.580539,35.18804,,
,78,140770981,motorway_junction,,0,,,,-106.614152,35.129908,,
,79,140770986,,,0,,,,-106.6093454,35.1326176,,
