name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,82961175,motorway_junction,,0,,,,-111.9053017,40.8576698,,
,1,82961195,,,0,,,,-111.9010032,40.861701,,
,2,82961210,,,0,,,,-111.8992604,40.8649487,,
,3,82967327,traffic_signals,,1,,,,-111.9023691,40.8630059,,
,4,82967342,motorway_junction,,0,,,,-111.8994116,40.8652626,,
,5,82968511,,,0,,,,-111.9361638,40.8349388,,
,6,82968529,motorway_junction,,0,,,,-111.9297798,40.8341751,,
,7,82973486,motorway_junction,,0,,,,-111.9415711,40.8329207,,
,8,82973518,,,0,,,,-111.9287655,40.8339359,,
,9,82974183,,,0,,,,-111.917235,40.8297646,,
,10,82974188,,,0,,,,-111.916912,40.8317714,,
,11,82974206,traffic_signals,,1,,,,-111.9126453,40.8373094,,
,12,82979632,,,0,,,,-111.8959864,40.8837705,,
,13,82979639,motorway_junction,,0,,,,-111.8966431,40.8793723,,
,14,82984104,,,0,,,,-111.8968617,40.8798592,,
,15,82984145,motorway_junction,,0,,,,-111.8966889,40.8886195,,
,16,82984284,,,0,,,,-111.9299587,40.8641989,,
,17,82984693,,,0,,,,-111.8964183,40.8879985,,
,18,82984709,,,0,,,,-111.8947319,40.8842186,,
,19,82990863,motorway_junction,,0,,,,-111.9156241,40.8360039,,
,20,83000527,,,0,,,,-111.9299101,40.86202,,
,21,83002152,,,0,,,,-111.8922298,40.8893813,,
,22,83002166,traffic_signals,,1,,,,-111.8922369,40.894047,,
,23,83002170,,,0,,,,-111.892173,40.898703,,
,24,83014489,traffic_signals,,1,,,,-111.8922152,40.8842504,,
,25,83014513,,,0,,,,-111.9117679,40.8842363,,
,26,83016999,,,0,,,,-111.891277,40.9044583,,
,27,83017338,motorway_junction,,0,,,,-111.8915215,40.9044012,,
,28,83021776,traffic_signals,,1,,,,-111.9102723,40.8418038,,
,29,83023278,traffic_signals,,1,,,,-111.9316827,40.8419353,,
,30,83023455,traffic_signals,,1,,,,-111.9067375,40.8483886,,
,31,83025727,traffic_signals,,1,,,,-111.9299063,40.861635,,
,32,83025998,traffic_signals,,1,,,,-111.8922446,40.8747215,,
,33,83065320,,,0,,,,-111.9345088,40.8369017,,
,34,83076166,,,0,,,,-111.8931559,40.8655632,,
,35,83510354,traffic_signals,,1,,,,-111.7946729,40.6998294,,
,36,83510670,motorway_junction,,0,,,,-111.9712097,40.7646173,,
,37,83511605,,,0,,,,-111.8713557,40.7196136,,
,38,83511612,,,0,,,,-111.8713561,40.7181772,,
,39,83513877,,,0,,,,-111.9499173,40.7581653,,
,40,83513988,motorway_junction,,0,,,,-111.9548298,40.7630548,,
,41,83514005,,,0,,,,-111.9514392,40.7592545,,
,42,83514175,motorway_junction,,0,,,,-111.9498687,40.7612826,,
,43,83514908,traffic_signals,,1,,,,-111.8999554,40.6549659,,
,44,83519996,motorway_junction,,0,,,,-111.9051318,40.6169335,,
,45,83520886,motorway_junction,,0,,,,-111.930923,40.7243419,,
,46,83526855,,,0,,,,-111.8911524,40.5266918,,
,47,83527419,,,0,,,,-111.9779749,40.7656019,,
,48,83529013,traffic_signals,,1,,,,-111.9535416,40.6965596,,
,49,83530548,,,0,,,,-111.9498552,40.6676903,,
,50,83531310,,,0,,,,-111.9387417,40.6480294,,
,51,83531440,,,0,,,,-111.9858122,40.7647697,,
,52,83533477,motorway_junction,,0,,,,-111.9187105,40.8170575,,
,53,83533488,,,0,,,,-111.9158589,40.8219104,,
,54,83533723,traffic_signals,,1,,,,-111.9533255,40.6676694,,48
,55,83534601,,,0,,,,-111.9387402,40.6429865,,
,56,83536163,,,0,,,,-111.8353718,40.7579445,,
,57,83536243,traffic_signals,,1,,,,-111.8833582,40.6328372,,
,58,83537941,,,0,,,,-111.9500537,40.5622203,,
,59,83539238,,,0,,,,-111.9153753,40.6222005,,
,60,83539275,traffic_signals,,1,,,,-111.9388956,40.6240656,,44
,61,83540735,,,0,,,,-111.9446286,40.5622819,,
,62,83541713,traffic_signals,,1,,,,-111.8907503,40.6058749,,
,63,83541857,traffic_signals,,1,,,,-111.879646,40.7584903,,
,64,83542175,traffic_signals,,1,,,,-111.8203267,40.7335757,,
,65,83543216,,,0,,,,-111.901515,40.6206951,,
,66,83543900,traffic_signals,,1,,,,-111.8995882,40.7671746,,
,67,83544047,,,0,,,,-111.8911981,40.6560976,,
,68,83545697,traffic_signals,,1,,,,-111.8906601,40.6151117,,
,69,83547002,traffic_signals,,1,,,,-111.8959598,40.588129,,
,70,83547443,traffic_signals,,1,,,,-111.8883457,40.758468,,35
,71,83547453,traffic_signals,,1,,,,-111.8767679,40.7584983,,
,72,83547463,,,0,,,,-111.8711562,40.758488,,
,73,83548419,traffic_signals,,1,,,,-111.8653464,40.7254045,,
,74,83548523,traffic_signals,,1,,,,-111.86595,40.6420523,,
,75,83548548,traffic_signals,,1,,,,-111.8659756,40.6315529,,
,76,83548566,traffic_signals,,1,,,,-111.8659599,40.6221292,,
,77,83548570,,,0,,,,-111.8659755,40.6200836,,
,78,83548602,,,0,,,,-111.8662831,40.5269307,,
,79,83548750,traffic_signals,,1,,,,-111.9340778,40.6530765,,
,80,83549337,traffic_signals,,1,,,,-111.9169632,40.6993522,,
,81,83549725,traffic_signals,,1,,,,-111.8941666,40.6558119,,
,82,83550018,traffic_signals,,1,,,,-111.8535611,40.7192445,,22
,83,83550115,traffic_signals,,1,,,,-111.8967923,40.7562914,,
,84,83550117,,,0,,,,-111.8996043,40.7562732,,
,85,83550120,traffic_signals,,1,,,,-111.902648,40.7562853,,
,86,83550226,,,0,,,,-111.8352127,40.756776,,
,87,83551876,traffic_signals,,1,,,,-112.0246792,40.68207,,46
,88,83553324,traffic_signals,,1,,,,-111.795976,40.6889938,,
,89,83555482,traffic_signals,,1,,,,-111.8530814,40.5735816,,
,90,83556845,,,0,,,,-111.9593949,40.5622687,,
,91,83556856,traffic_signals,,1,,,,-111.9577951,40.562328,,
,92,83556870,traffic_signals,,1,,,,-111.9481967,40.5621933,,
,93,83556876,,,0,,,,-111.9387607,40.5623793,,
,94,83556879,traffic_signals,,1,,,,-111.9360426,40.5623234,,
,95,83556895,traffic_signals,,1,,,,-111.9291507,40.5621545,,
,96,83558182,,,0,,,,-111.8667821,40.7254172,,
,97,83559760,traffic_signals,,1,,,,-111.888193,40.6998185,,6
,98,83559783,traffic_signals,,1,,,,-111.876948,40.699867,,
,99,83559795,,,0,,,,-111.8714398,40.6998826,,
,100,83559806,traffic_signals,,1,,,,-111.8654635,40.6998818,,
,101,83559826,traffic_signals,,1,,,,-111.8540232,40.6999241,,
,102,83559828,traffic_signals,,1,,,,-111.8507219,40.6999027,,
,103,83560159,traffic_signals,,1,,,,-111.8886527,40.52667,,13
,104,83560172,,,0,,,,-111.8712008,40.5269442,,
,105,83561628,traffic_signals,,1,,,,-111.8546194,40.7106538,,
,106,83562002,traffic_signals,,1,,,,-111.8304469,40.7454474,,
,107,83565738,,,0,,,,-111.853438,40.5457029,,
,108,83569586,traffic_signals,,1,,,,-111.8883136,40.7415845,,
,109,83571481,traffic_signals,,1,,,,-111.9770985,40.6966171,,
,110,83571534,traffic_signals,,1,,,,-111.9770179,40.667572,,
,111,83571571,traffic_signals,,1,,,,-111.976798,40.5441059,,
,112,83571588,traffic_signals,,1,,,,-111.9767377,40.5222506,,
,113,83572519,traffic_signals,,1,,,,-111.8957035,40.5267205,,
,114,83573804,traffic_signals,,1,,,,-111.8596576,40.7253916,,
,115,83574777,traffic_signals,,1,,,,-111.8721774,40.6207352,,
,116,83574800,,,0,,,,-111.8721229,40.6113845,,
,117,83574863,traffic_signals,,1,,,,-111.8721976,40.5950177,,
,118,83574866,,,0,,,,-111.8721881,40.5937603,,
,119,83574901,traffic_signals,,1,,,,-111.872311,40.580618,,
,120,83574919,,,0,,,,-111.8722037,40.5769831,,
,121,83574957,traffic_signals,,1,,,,-111.8721147,40.5587885,,45
,122,83575207,traffic_signals,,1,,,,-111.93879,40.6095352,,
,123,83575224,traffic_signals,,1,,,,-111.9578197,40.6094977,,
,124,83575241,traffic_signals,,1,,,,-111.9674464,40.609475,,
,125,83575464,traffic_signals,,1,,,,-112.0147059,40.5879123,,
,126,83575942,,,0,,,,-111.932393,40.6981841,,
,127,83576228,traffic_signals,,1,,,,-111.9111943,40.6995955,,
,128,83576635,,,0,,,,-111.8891637,40.6359637,,
,129,83577136,traffic_signals,,1,,,,-111.8618385,40.5276443,,
,130,83577147,traffic_signals,,1,,,,-111.8548615,40.5281728,,
,131,83578249,traffic_signals,,1,,,,-111.8986435,40.5442246,,
,132,83578286,traffic_signals,,1,,,,-111.9027466,40.5589856,,
,133,83578591,traffic_signals,,1,,,,-111.9577255,40.5223612,,
,134,83578881,,,0,,,,-111.905702,40.5442166,,
,135,83578897,,,0,,,,-111.8961495,40.5442564,,
