name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,13266047,,,0,,,,-111.9584674,33.3865284,,
,1,13275784,motorway_junction,,0,,,,-111.8935067,33.3268385,,
,2,13275803,motorway_junction,,0,,,,-111.8943766,33.3020914,,
,3,13365822,,,0,,,,-111.8830009,33.5614141,,
,4,13365829,,,0,,,,-111.8879439,33.5192703,,
,5,13365831,motorway_junction,,0,,,,-111.8884223,33.4856827,,
,6,41190746,traffic_signals,,1,,,,-111.9091331,33.4001487,,
,7,41190824,traffic_signals,,1,,,,-111.9397027,33.4001158,,
,8,41191194,,,0,,,,-112.0957119,33.4385753,,
,9,41197603,,,0,,,,-111.9697879,33.4560594,,
,10,41197606,,,0,,,,-111.9695614,33.4545496,,
,11,41197621,traffic_signals,,1,,,,-111.9683038,33.4508405,,
,12,41198097,motorway_junction,,0,,,,-112.1229062,33.4617771,,
,13,41198112,traffic_signals,,1,,,,-111.7195362,33.3871324,,
,14,41198115,motorway_junction,,0,,,,-111.7119497,33.3867575,,
,15,41198152,,,0,,,,-112.1127235,33.5059947,,
,16,41198155,,,0,,,,-112.1121581,33.5075875,,
,17,41199641,,,0,,,,-111.8988453,33.3858332,,
,18,41200703,,,0,,,,-111.8903876,33.4083229,,
,19,41201392,,,0,,,,-111.9946609,33.4107341,,
,20,41203110,traffic_signals,,1,,,,-111.9686435,33.3783363,,
,21,41203120,,,0,,,,-111.9681462,33.3725022,,
,22,41208687,,,0,,,,-112.1124314,33.5206995,,
,23,41208930,traffic_signals,,1,,,,-111.61879,33.3715761,,
,24,41208934,traffic_signals,,1,,,,-111.6189899,33.3789618,,42
,25,41208998,,,0,,,,-112.1774773,33.6684651,,
,26,41209007,motorway_junction,,0,,,,-112.1624334,33.6695704,,
,27,41210304,traffic_signals,,1,,,,-111.8912186,33.755814,,
,28,41212911,,,0,,,,-112.6730662,32.9914505,,
,29,41215885,,,0,,,,-111.990611,33.4580152,,
,30,41215889,,,0,,,,-111.9914272,33.4582105,,
,31,41216045,traffic_signals,,1,,,,-111.6891447,33.3938795,,670
,32,41216054,,,0,,,,-111.6912225,33.3938944,,
,33,41216719,traffic_signals,,1,,,,-111.9783021,33.4073175,,
,34,41216723,motorway_junction,,0,,,,-111.9724336,33.311885,,
,35,41216724,traffic_signals,,1,,,,-111.9730316,33.3052354,,
,36,41216966,,,0,,,,-111.4788381,33.4676983,,
,37,41218599,,,0,,,,-111.8944352,33.3505344,,
,38,41221470,,,0,,,,-112.8760249,33.4839352,,
,39,41222556,traffic_signals,,1,,,,-111.939382,33.3782279,,
,40,41229292,,,0,,,,-112.116396,33.385795,,
,41,41229333,traffic_signals,,1,,,,-112.1087768,33.4491509,,
,42,41231025,motorway_junction,,0,,,,-112.0233766,33.4621877,,
,43,41231042,motorway_junction,,0,,,,-112.0063517,33.4592693,,
,44,41231054,motorway_junction,,0,,,,-112.0117718,33.4609879,,
,45,41231057,,,0,,,,-112.0127974,33.4617324,,
,46,41231156,traffic_signals,,1,,,,-111.7185675,33.4840201,,
,47,41231472,,,0,,,,-111.9720722,33.3119051,,
,48,41231480,traffic_signals,,1,,,,-111.9712997,33.3054405,,
,49,41231518,traffic_signals,,1,,,,-111.9735017,33.3199939,,
,50,41234046,,,0,,,,-112.8677346,33.4798376,,
,51,41234067,traffic_signals,,1,,,,-112.0388753,33.4803781,,33
,52,41234103,motorway_junction,,0,,,,-112.112445,33.5275916,,
,53,41238647,,,0,,,,-112.2339393,33.6470575,,
,54,41238654,traffic_signals,,1,,,,-112.2330415,33.6528302,,389
,55,41238662,,,0,,,,-112.2325358,33.6559592,,
,56,41239676,traffic_signals,,1,,,,-111.615346,33.3858999,,500
,57,41241086,,,0,,,,-112.1076217,33.4339299,,
,58,41242964,motorway_junction,,0,,,,-111.9720741,33.3138372,,
,59,41242966,traffic_signals,,1,,,,-111.9713157,33.3200022,,
,60,41244478,,,0,,,,-112.358221,33.4656312,,
,61,41245666,motorway_junction,,0,,,,-112.0897014,33.4613644,,
,62,41245670,,,0,,,,-112.0827319,33.4598915,,
,63,41245671,,,0,,,,-112.0763859,33.4616053,,
,64,41246073,,,0,,,,-112.1118925,33.5254663,,
,65,41248943,motorway_junction,,0,,,,-112.1132019,33.4850762,,
,66,41249162,motorway_junction,,0,,,,-111.5908284,33.3866985,,
,67,41249167,traffic_signals,,1,,,,-111.598103,33.3873406,,499
,68,41249168,,,0,,,,-111.6051337,33.3866847,,
,69,41249169,traffic_signals,,1,,,,-111.598102,33.3858911,,498
,70,41250060,,,0,,,,-112.1365956,33.4969765,,
,71,41250662,,,0,,,,-112.4161991,33.4937625,,
,72,41250864,,,0,,,,-112.1131559,33.4912598,,
,73,41250865,,,0,,,,-112.1134364,33.4938391,,
,74,41256495,,,0,,,,-112.1127401,33.5113271,,
,75,41256497,motorway_junction,,0,,,,-112.1124872,33.5136659,,
,76,41256502,,,0,,,,-112.1119799,33.5109842,,
,77,41257868,traffic_signals,,1,,,,-112.119469,33.7257496,,
,78,41257870,traffic_signals,,1,,,,-112.113561,33.725693,,420
,79,41259724,motorway_junction,,0,,,,-111.9338921,33.3857087,,
,80,41259725,traffic_signals,,1,,,,-111.9394082,33.3860335,,687
,81,41259728,,,0,,,,-111.9442985,33.3856779,,
,82,41262555,traffic_signals,,1,,,,-112.1028531,33.567585,,
,83,41263216,motorway_junction,,0,,,,-112.1154567,33.6442126,,
,84,41263539,traffic_signals,,1,,,,-111.9729128,33.3344335,,233
,85,41263540,,,0,,,,-111.9723758,33.3289499,,
,86,41267584,,,0,,,,-111.9723975,33.3429748,,
,87,41267591,traffic_signals,,1,,,,-111.9727751,33.34918,,
,88,41267598,motorway_junction,,0,,,,-111.9711154,33.3546267,,
,89,41278432,,,0,,,,-112.1160577,33.6363761,,
,90,41278524,motorway_junction,,0,,,,-111.7291477,33.3866558,,
,91,41278527,traffic_signals,,1,,,,-111.7367791,33.3872757,,
,92,41278532,,,0,,,,-111.7428291,33.3866407,,
,93,41281552,motorway_junction,,0,,,,-111.7816962,33.3864439,,
,94,41291539,traffic_signals,,1,,,,-111.7882188,33.3868387,,
,95,41291543,,,0,,,,-111.7938075,33.3863825,,
,96,41291704,,,0,,,,-112.0781238,33.4288325,,
,97,41297780,motorway_junction,,0,,,,-112.1187117,33.7179747,,
,98,41298646,,,0,,,,-112.0276635,33.5299239,,
,99,41298664,,,0,,,,-112.0242876,33.5306391,,
,100,41299688,,,0,,,,-111.8287784,33.3862237,,
,101,41299689,traffic_signals,,1,,,,-111.8230821,33.3866498,,
,102,41299692,motorway_junction,,0,,,,-111.8149089,33.3862521,,
,103,41302685,,,0,,,,-111.8566088,33.4161562,,
,104,41302748,motorway_junction,,0,,,,-112.1129555,33.6893094,,
,105,41305350,,,0,,,,-111.8615323,33.4442907,,
,106,41305352,traffic_signals,,1,,,,-111.8562905,33.4459103,,
,107,41305354,motorway_junction,,0,,,,-111.8527985,33.4479477,,
,108,41305361,traffic_signals,,1,,,,-111.8562426,33.4449867,,
,109,41305363,,,0,,,,-111.8525068,33.4478136,,
,110,41313776,,,0,,,,-112.1121536,33.5556589,,
,111,41316003,motorway_junction,,0,,,,-112.2401327,33.6149958,,
,112,41318630,,,0,,,,-112.1880204,33.690114,,
,113,41319297,traffic_signals,,1,,,,-111.9394102,33.3850998,,285
,114,41322062,,,0,,,,-112.0742811,33.7129153,,
,115,41323673,motorway_junction,,0,,,,-112.013927,33.460509,,
,116,41326892,,,0,,,,-111.9290012,33.6258754,,
,117,41327042,traffic_signals,,1,,,,-112.3505089,33.6236517,,
,118,41327261,,,0,,,,-112.3768406,33.6387029,,
,119,41329910,traffic_signals,,1,,,,-111.9263808,33.3850384,,
,120,41331571,motorway_junction,,0,,,,-112.0441153,33.5191339,,
,121,41331573,,,0,,,,-112.0434796,33.5281623,,
,122,41332345,,,0,,,,-111.8911628,33.625244,,
,123,41332802,traffic_signals,,1,,,,-112.1331107,33.7983345,,655
,124,41332962,,,0,,,,-112.0140495,33.4615609,,
,125,41333469,,,0,,,,-112.7796914,33.9435884,,
,126,41336014,,,0,,,,-111.6213162,33.3867824,,
,127,41336017,traffic_signals,,1,,,,-111.6153262,33.3873495,,501
,128,41337413,traffic_signals,,1,,,,-111.9608878,33.3880557,,
,129,41344133,traffic_signals,,1,,,,-111.8010029,33.4224613,,
,130,41347510,,,0,,,,-111.9152171,33.3857964,,
,131,41350650,motorway_junction,,0,,,,-111.9584696,33.3868388,,
,132,41350692,motorway_junction,,0,,,,-111.9673673,33.3846973,,
,133,41351447,traffic_signals,,1,,,,-111.9090604,33.3851769,,280
,134,41359336,traffic_signals,,1,,,,-111.9709811,33.3491889,,
,135,41359339,motorway_junction,,0,,,,-111.9720999,33.3429737,,
,136,41359783,,,0,,,,-112.9169892,33.4937268,,
,137,41360357,motorway_junction,,0,,,,-111.8668092,33.3859609,,
,138,41360358,traffic_signals,,1,,,,-111.8745401,33.3852841,,
,139,41360362,,,0,,,,-111.8815513,33.3858975,,
,140,41360957,motorway_junction,,0,,,,-112.1159285,33.7047526,,
