name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,95972064,traffic_signals,,1,,,,-80.310754,25.9598435,,
,1,96037186,traffic_signals,,1,,,,-80.311239,25.9787535,,
,2,96057335,traffic_signals,,1,,,,-80.3109749,25.9904753,,
,3,98975227,traffic_signals,,1,,,,-80.2627191,25.7493396,,
,4,98978799,traffic_signals,,1,,,,-80.3656535,25.5722211,,43
,5,98978928,,,0,,,,-80.3382793,25.6954906,,
,6,98978947,,,0,,,,-80.3334986,25.6960157,,
,7,98978971,,,0,,,,-80.329652,25.6954047,,
,8,98979452,motorway_junction,,0,,,,-80.3242932,25.900991,,
,9,98979992,,,0,,,,-80.369262,25.7727501,,
,10,98980133,,,0,,,,-80.3806126,25.7464796,,
,11,98980143,,,0,,,,-80.3823714,25.7468388,,
,12,98980147,,,0,,,,-80.3856807,25.7660818,,
,13,98980163,,,0,,,,-80.3867891,25.773283,,
,14,98980178,,,0,,,,-80.3860078,25.7764877,,
,15,98980796,,,0,,,,-80.3266011,25.9125918,,
,16,98980800,traffic_signals,,1,,,,-80.3266185,25.9132268,,116
,17,98980819,,,0,,,,-80.3249358,25.9147917,,
,18,98981336,,,0,,,,-80.3213497,25.7201371,,
,19,98981378,,,0,,,,-80.3189,25.7330279,,
,20,98981381,,,0,,,,-80.3190042,25.7334491,,
,21,98982160,traffic_signals,,1,,,,-80.3823175,25.6306608,,
,22,98982177,traffic_signals,,1,,,,-80.3791304,25.6275548,,
,23,98982888,,,0,,,,-80.3708206,25.8552366,,
,24,98983229,traffic_signals,,1,,,,-80.2070021,25.8249899,,
,25,98983952,,,0,,,,-80.2054773,25.8330921,,
,26,98984171,,,0,,,,-80.3678785,25.6715652,,
,27,98984871,,,0,,,,-80.232188,25.8125373,,
,28,98984872,,,0,,,,-80.2326529,25.8124905,,
,29,98984874,motorway_junction,,0,,,,-80.2352813,25.812002,,
,30,98984908,,,0,,,,-80.3179631,25.7035621,,
,31,98984914,traffic_signals,,1,,,,-80.3185389,25.7029124,,
,32,98984918,,,0,,,,-80.318049,25.7026263,,
,33,98984925,traffic_signals,,1,,,,-80.3180687,25.7029284,,
,34,98984930,,,0,,,,-80.316916,25.7025876,,
,35,98984932,traffic_signals,,1,,,,-80.3168919,25.7029464,,
,36,98984935,,,0,,,,-80.316916,25.703446,,
,37,98986879,,,0,,,,-80.3864538,25.6602026,,
,38,98987363,motorway_junction,,0,,,,-80.330514,25.8983183,,
,39,98987402,,,0,,,,-80.3218022,25.8996463,,
,40,98987901,,,0,,,,-80.3178705,25.7173235,,
,41,98987903,traffic_signals,,1,,,,-80.3178915,25.7176938,,
,42,98989171,traffic_signals,,1,,,,-80.1935387,25.7725267,,
,43,98989172,,,0,,,,-80.1935556,25.7729013,,
,44,98989540,traffic_signals,,1,,,,-80.2595125,25.707244,,
,45,98990327,traffic_signals,,1,,,,-80.2321581,25.8117098,,
,46,98990347,,,0,,,,-80.2287505,25.8121116,,
,47,98990356,motorway_junction,,0,,,,-80.218396,25.8123264,,
,48,98990372,traffic_signals,,1,,,,-80.1953931,25.8118808,,105
,49,98990444,traffic_signals,,1,,,,-80.2097403,25.8891812,,136
,50,98991209,,,0,,,,-80.3165488,25.7029593,,
,51,98991769,,,0,,,,-80.3127408,25.7929281,,
,52,98992077,,,0,,,,-80.2227105,25.7829419,,
,53,98992174,traffic_signals,,1,,,,-80.3373787,25.8118263,,
,54,98992968,,,0,,,,-80.3193468,25.7330155,,
,55,98993432,,,0,,,,-80.317487,25.7177146,,
,56,98993433,motorway_junction,,0,,,,-80.3180433,25.7151779,,
