name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,178877308,stop,,0,,,,-86.2622905,39.9506476,,
,1,178877556,motorway_junction,,0,,,,-86.3565006,39.949398,,
,2,178877558,traffic_signals,,1,,,,-86.3546062,39.9468654,,
,3,178877562,,,0,,,,-86.3518441,39.9453341,,
,4,178877563,motorway_junction,,0,,,,-86.3513125,39.9451956,,
,5,178877565,traffic_signals,,1,,,,-86.3528796,39.947664,,
,6,178877566,,,0,,,,-86.355965,39.9493109,,
,7,178879880,,,0,,,,-86.2603938,39.9464262,,
,8,178882172,,,0,,,,-86.2598644,39.948409,,
,9,178884736,traffic_signals,,1,,,,-86.2788502,39.9500643,,
,10,178884755,,,0,,,,-86.278592,39.924742,,
,11,178884853,traffic_signals,,1,,,,-86.2609542,39.9482165,,
,12,178884871,traffic_signals,,1,,,,-86.2434383,39.9552711,,
,13,179693127,,,0,,,,-85.962261,40.102436,,
,14,179693695,,,0,,,,-86.1628015,39.9304776,,
,15,179695993,,,0,,,,-86.1491343,39.9302555,,
,16,179701933,,,0,,,,-86.0712587,40.0938709,,
,17,179701936,,,0,,,,-86.0708542,40.094222,,
,18,179706281,traffic_signals,,1,,,,-85.995735,40.045634,,
,19,179706339,traffic_signals,,1,,,,-86.005253,40.045598,,
,20,179706375,traffic_signals,,1,,,,-86.012237,40.045599,,
,21,179706390,traffic_signals,,1,,,,-86.018873,40.046422,,
,22,179706424,traffic_signals,,1,,,,-86.0147259,40.0456088,,
,23,179708281,traffic_signals,,1,,,,-86.127055,39.978391,,
,24,179708325,,,0,,,,-86.1408702,39.9781616,,
,25,179716505,,,0,,,,-86.0708592,39.9710709,,
,26,179716559,,,0,,,,-86.0706956,39.9783327,,
,27,179717369,,,0,,,,-86.02258,40.038986,,
,28,179718157,,,0,,,,-86.071281,40.087268,,
,29,179721005,traffic_signals,,1,,,,-86.013417,40.132314,,
,30,179723951,,,0,,,,-86.1414672,39.9857262,,
,31,179726894,motorway_junction,,0,,,,-86.1129099,39.9815063,,
,32,179730587,,,0,,,,-86.027245,40.051053,,
,33,179732397,,,0,,,,-86.1551639,39.9611442,,
,34,179735772,,,0,,,,-85.901423,40.088519,,
,35,179735781,,,0,,,,-85.901438,40.088851,,
,36,179735847,,,0,,,,-85.84321,39.933801,,
