name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,21321186,,,0,,,,-71.2195117,42.4839446,,
,1,21321216,traffic_signals,,1,,,,-71.2145382,42.4766832,,83
,2,41312288,,,0,,,,-71.76842,42.7434,,
,3,41375508,,,0,,,,-71.549069,42.712644,,
,4,41401081,,,0,,,,-71.590606,42.726006,,
,5,41401182,,,0,,,,-71.5858893,42.7035921,,
,6,41403440,,,0,,,,-71.8024107,42.757323,,
,7,41418324,,,0,,,,-71.750575,42.707492,,
,8,41461794,,,0,,,,-71.6198153,42.7042645,,
,9,41558049,,,0,,,,-71.786227,42.716219,,
,10,41626976,,,0,,,,-71.784728,42.708377,,
,11,41683625,,,0,,,,-71.3516777,42.7046846,,
,12,61170474,traffic_signals,,1,,,,-71.1206159,42.3940826,,
,13,61170519,traffic_signals,,1,,,,-71.120884,42.3938254,,
,14,61170521,,,0,,,,-71.1213471,42.3945747,,
,15,61170882,,,0,,,,-71.0927809,42.3848506,,
,16,61170948,traffic_signals,,1,,,,-71.092648,42.3845473,,
,17,61171138,traffic_signals,,1,,,,-71.104396,42.397361,,
,18,61171764,traffic_signals,,1,,,,-71.0866745,42.3890983,,
,19,61172216,traffic_signals,,1,,,,-71.127246,42.403293,,
,20,61172533,,,0,,,,-71.1318589,42.4146019,,
,21,61172598,traffic_signals,,1,,,,-71.1036571,42.3964098,,
,22,61172656,,,0,,,,-71.116829,42.4015809,,
,23,61173227,,,0,,,,-71.130658,42.407975,,
,24,61173441,traffic_signals,,1,,,,-71.097161,42.3891393,,
,25,61175825,traffic_signals,,1,,,,-71.1079708,42.3984975,,
,26,61175833,,,0,,,,-71.1077484,42.3984171,,
,27,61176169,,,0,,,,-71.105706,42.397775,,
,28,61176326,traffic_signals,,1,,,,-71.122309,42.396489,,
,29,61176726,traffic_signals,,1,,,,-71.0867769,42.3889969,,
,30,61179364,,,0,,,,-71.1222568,42.3959902,,
,31,61181240,,,0,,,,-71.0921681,42.3843005,,
,32,61318093,,,0,,,,-71.1441908,42.3886778,,
,33,61318541,traffic_signals,,1,,,,-71.1572658,42.3909783,,154
,34,61318561,traffic_signals,,1,,,,-71.1445488,42.379977,,
,35,61319487,,,0,,,,-70.9754712,42.1354323,,
,36,61319765,,,0,,,,-70.970094,42.133127,,
,37,61319823,,,0,,,,-70.9549988,42.1042584,,
,38,61320166,traffic_signals,,1,,,,-70.9500004,42.1293088,,
,39,61321226,,,0,,,,-71.1466597,42.3788583,,
,40,61321864,traffic_signals,,1,,,,-71.1379718,42.3748445,,
,41,61322303,,,0,,,,-70.949115,42.118878,,
,42,61322436,,,0,,,,-71.15834,42.394429,,
,43,61322452,,,0,,,,-71.1437509,42.3753756,,
,44,61322577,,,0,,,,-70.9774343,42.137018,,
,45,61322609,,,0,,,,-71.1471503,42.3784331,,
,46,61322622,traffic_signals,,1,,,,-71.1457556,42.3752758,,69
,47,61323171,traffic_signals,,1,,,,-70.94875,42.105924,,
,48,61323556,,,0,,,,-70.943784,42.127284,,
,49,61323916,,,0,,,,-70.950231,42.093696,,
,50,61324110,,,0,,,,-70.927704,42.112561,,
,51,61324414,traffic_signals,,1,,,,-71.1407648,42.3761506,,
,52,61324462,traffic_signals,,1,,,,-71.139746,42.3749429,,
,53,61324902,,,0,,,,-71.1392761,42.3748782,,
,54,61326547,,,0,,,,-71.1435767,42.3755966,,
,55,61327588,traffic_signals,,1,,,,-71.1459199,42.3752515,,69
,56,61327611,,,0,,,,-71.1515862,42.4005584,,
,57,61327673,traffic_signals,,1,,,,-71.1444952,42.388758,,
,58,61328535,,,0,,,,-70.9440803,42.1280476,,
,59,61328814,traffic_signals,,1,,,,-70.936368,42.116,,
,60,61329157,,,0,,,,-70.9542717,42.104496,,
,61,61329839,,,0,,,,-70.946294,42.105737,,
,62,61329952,,,0,,,,-70.948925,42.103605,,
,63,61330795,,,0,,,,-70.94434,42.107682,,
,64,61331014,,,0,,,,-70.934629,42.128348,,
,65,61331751,,,0,,,,-71.1360242,42.3741256,,
,66,61331764,,,0,,,,-70.950357,42.096282,,
,67,61331928,,,0,,,,-70.93262,42.109789,,
,68,61332243,traffic_signals,,1,,,,-71.1501391,42.3745474,,
,69,61332711,,,0,,,,-70.951303,42.147248,,
,70,61333902,,,0,,,,-71.1566886,42.3908724,,
,71,61334213,traffic_signals,,1,,,,-70.954694,42.1041811,,
,72,61338257,,,0,,,,-70.9801488,42.3901518,,
