name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,124266206,,,0,,,,-90.184646,30.99018,,
,1,124558296,,,0,,,,-91.0093714,31.2001436,,
,2,124574347,,,0,,,,-91.0101264,31.2005802,,
,3,124586363,,,0,,,,-91.0106512,31.1995719,,
,4,124596653,,,0,,,,-89.5771436,33.0379872,,
,5,124596654,,,0,,,,-89.5781431,33.0378795,,
,6,124596664,,,0,,,,-89.577702,33.0375253,,
,7,124601881,,,0,,,,-89.5874351,33.0561208,,
,8,124601883,,,0,,,,-89.5887603,33.0561388,,
,9,124602856,,,0,,,,-89.5898888,33.0576793,,
,10,124602859,,,0,,,,-89.5887682,33.0576888,,
,11,124602862,,,0,,,,-89.5876833,33.057701,,
,12,124602894,,,0,,,,-89.5361186,33.285223,,
,13,124604529,,,0,,,,-89.5457119,33.2854889,,
,14,124606945,,,0,,,,-89.721735,32.9492219,,
,15,124608129,,,0,,,,-89.7646718,32.9370758,,
,16,124608297,,,0,,,,-89.7653937,33.0292875,,
,17,124613893,,,0,,,,-89.5887987,33.0595355,,
,18,124614052,,,0,,,,-89.3691658,33.2034366,,
,19,124614056,,,0,,,,-89.3571817,33.2035354,,
,20,124614099,,,0,,,,-89.3175298,33.2204655,,
,21,124615641,,,0,,,,-89.5799777,33.0386896,,
,22,124619981,,,0,,,,-89.5887797,33.0567485,,
,23,124620121,,,0,,,,-89.6022227,33.0282176,,
,24,124620124,,,0,,,,-89.6017313,33.0293084,,
,25,124627124,,,0,,,,-89.5625818,33.0683375,,
,26,124629821,,,0,,,,-89.3566659,33.2108804,,
,27,124631739,,,0,,,,-89.6220799,33.0484562,,
,28,124635122,,,0,,,,-89.6106379,33.003719,,
,29,124635164,,,0,,,,-89.6228946,32.9301415,,
,30,124677418,,,0,,,,-89.7406966,33.3328059,,
,31,124677427,,,0,,,,-89.7390999,33.3344774,,
,32,124686363,,,0,,,,-89.6556306,33.3965327,,
,33,124692026,,,0,,,,-89.7333936,33.3366612,,
,34,124715395,,,0,,,,-89.422901,33.300369,,
,35,124716661,,,0,,,,-90.8400602,31.9595357,,
,36,124721702,,,0,,,,-89.288051,33.270166,,
,37,124721738,,,0,,,,-89.283978,33.278577,,
,38,124725316,,,0,,,,-89.2944527,33.266386,,
,39,124725319,,,0,,,,-89.294778,33.266714,,
,40,124725504,,,0,,,,-89.290729,33.25526,,
,41,124725569,,,0,,,,-89.2909767,33.2668693,,
,42,124732660,,,0,,,,-89.2878831,33.2673117,,
,43,124738289,,,0,,,,-89.4054554,33.2935512,,
,44,124738308,,,0,,,,-89.410627,33.294611,,
,45,124738323,,,0,,,,-89.4146824,33.296389,,
,46,124741578,,,0,,,,-90.9791627,31.9682814,,
,47,124743080,,,0,,,,-89.4054167,33.294223,,
,48,124743742,,,0,,,,-90.839816,31.961515,,
,49,124743752,,,0,,,,-90.8471008,31.9609226,,
,50,124743855,,,0,,,,-90.9596797,31.9655349,,
,51,124744372,,,0,,,,-90.7463261,31.8174785,,
,52,124745834,,,0,,,,-90.9710459,31.9397157,,
,53,124745875,,,0,,,,-90.98765,31.946965,,
,54,124747395,,,0,,,,-90.7408094,31.9095301,,
,55,124747632,,,0,,,,-90.7578969,31.8322431,,
,56,124748285,,,0,,,,-90.840015,31.959523,,
,57,124811999,motorway_junction,,0,,,,-90.3601861,32.018337,,
,58,124813741,,,0,,,,-90.3504698,31.8654456,,
,59,124816052,,,0,,,,-90.356805,31.867376,,
,60,124816060,,,0,,,,-90.3667364,31.8675995,,
,61,124819216,,,0,,,,-90.4102699,31.8732106,,
,62,124819219,,,0,,,,-90.4094069,31.8737148,,
,63,124820789,,,0,,,,-90.4099632,31.8745939,,
,64,124820793,,,0,,,,-90.4091569,31.8739917,,
,65,124820797,,,0,,,,-90.4098215,31.8739061,,
,66,124820841,,,0,,,,-90.4102942,31.8735812,,
,67,124822731,,,0,,,,-90.3913043,31.8750111,,
,68,124822747,,,0,,,,-90.3924003,31.8750123,,
,69,124823929,,,0,,,,-90.4124205,31.8726217,,
,70,124823931,,,0,,,,-90.4125541,31.8732654,,
,71,124824012,,,0,,,,-90.2811409,31.8500703,,
,72,124824015,,,0,,,,-90.281211,31.848671,,
,73,124825521,,,0,,,,-90.4134288,31.8731444,,
,74,124825593,motorway_junction,,0,,,,-90.4108522,31.8777313,,
,75,124829587,,,0,,,,-90.167674,31.8747142,,
,76,124829588,,,0,,,,-90.1665388,31.8739013,,
,77,124833845,,,0,,,,-90.3636359,32.0121204,,
,78,124836040,,,0,,,,-90.6590192,31.7486654,,
,79,124837028,,,0,,,,-90.3530142,32.0141874,,
,80,124844109,,,0,,,,-90.339912,31.856436,,
,81,124846217,,,0,,,,-90.2790154,31.8496447,,
,82,124846381,,,0,,,,-90.1573775,31.7981164,,
,83,124853292,,,0,,,,-90.27827,31.8537293,,
,84,124857811,,,0,,,,-90.444405,31.850324,,
,85,124858197,,,0,,,,-90.716431,31.900087,,
,86,124864655,,,0,,,,-90.4169599,31.8725269,,
,87,124864661,,,0,,,,-90.4033972,31.8747448,,
