name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,30382734,traffic_signals,,1,,,,-81.8530803,41.3727092,,
,1,30809370,motorway_junction,,0,,,,-81.8395239,41.4012697,,
,2,30810098,motorway_junction,,0,,,,-81.8345025,41.4075647,,
,3,30810100,,,0,,,,-81.8398132,41.4012602,,
,4,31263050,motorway_junction,,0,,,,-81.9485946,41.3945199,,
,5,31263056,,,0,,,,-81.9397368,41.3973658,,
,6,31263352,,,0,,,,-81.8721194,41.4237648,,
,7,31263945,,,0,,,,-81.7563715,41.4255636,,
,8,31263961,motorway_junction,,0,,,,-81.7177131,41.4214533,,
,9,31263964,,,0,,,,-81.7032218,41.421127,,
,10,31264033,,,0,,,,-81.5568895,41.4246384,,
,11,31264036,motorway_junction,,0,,,,-81.5488061,41.4246861,,
,12,31313617,,,0,,,,-81.547276,41.4248976,,
,13,31313695,motorway_junction,,0,,,,-81.7270843,41.4219023,,
,14,31313708,motorway_junction,,0,,,,-81.7567316,41.4258132,,
,15,31313723,,,0,,,,-81.7859799,41.4204291,,
,16,31313736,motorway_junction,,0,,,,-81.8173373,41.4206859,,
,17,31313775,motorway_junction,,0,,,,-81.8721958,41.4239719,,
,18,31313827,,,0,,,,-81.9430147,41.3968197,,
,19,32045693,traffic_signals,,1,,,,-81.8947258,41.4266258,,
,20,32207097,traffic_signals,,1,,,,-81.8774315,41.4206188,,0
,21,32271327,motorway_junction,,0,,,,-81.8183757,41.4062893,,
,22,33086106,motorway_junction,,0,,,,-81.8215092,41.3682373,,
,23,33086113,,,0,,,,-81.8199248,41.37534,,
,24,33086116,motorway_junction,,0,,,,-81.8201819,41.3753436,,
,25,33086137,,,0,,,,-81.8217912,41.3676997,,
,26,33364173,,,0,,,,-81.839563,41.3723099,,
,27,33615645,traffic_signals,,1,,,,-81.8530436,41.3811592,,
,28,33719502,motorway_junction,,0,,,,-81.8073824,41.4382373,,
,29,33719507,,,0,,,,-81.7949779,41.4384979,,
,30,33719513,motorway_junction,,0,,,,-81.7858899,41.4417901,,
,31,33719530,motorway_junction,,0,,,,-81.7459224,41.4475308,,
,32,33719721,,,0,,,,-81.7355779,41.4493407,,
,33,34007246,,,0,,,,-81.950379,40.793867,,
,34,34008105,motorway_junction,,0,,,,-81.9083391,41.4106805,,
,35,34008109,,,0,,,,-81.9014082,41.4130589,,
,36,42334021,,,0,,,,-84.306266,41.494403,,
,37,42334188,traffic_signals,,1,,,,-84.3063096,41.521568,,
,38,42338749,traffic_signals,,1,,,,-84.1344086,41.5589579,,
,39,42338795,,,0,,,,-84.144236,41.5587457,,
,40,42345992,traffic_signals,,1,,,,-84.1415157,41.5491928,,
,41,42346000,traffic_signals,,1,,,,-84.1343645,41.5503512,,
