name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses
Old Highway 4,0,14673740,4,2134,,1607.8951018385014,,45,,secondary,4,"LINESTRING (-97.7246991 35.4897431, -97.721447 35.4868566, -97.7196109 35.4852743, -97.7189216 35.4847575, -97.716603 35.483057, -97.7160441 35.4826471, -97.713489 35.4807759, -97.711954 35.4796965)",auto
Old Highway 4,1,14673740,2134,4,,1607.8951018385012,,45,,secondary,4,"LINESTRING (-97.711954 35.4796965, -97.713489 35.4807759, -97.7160441 35.4826471, -97.716603 35.483057, -97.7189216 35.4847575, -97.7196109 35.4852743, -97.721447 35.4868566, -97.7246991 35.4897431)",auto
North Morgan Road,2,14674703,2845,2808,,1094.1076958119895,,45,,secondary,4,"LINESTRING (-97.6890174 35.4680182, -97.6890174 35.4680365, -97.6890173 35.4685484, -97.6890172 35.469678, -97.68902 35.471157, -97.6890193 35.4712756, -97.689016 35.471441, -97.6890157 35.4719546, -97.6890154 35.4723443, -97.6890151 35.4728538, -97.6890135 35.4733009, -97.6890121 35.4736836, -97.6890092 35.474475, -97.6890086 35.474643, -97.6890084 35.4747115, -97.6890073 35.4750246, -97.6890058 35.475416, -97.6890053 35.4755653, -97.6890037 35.4760158, -97.6890022 35.4764189, -97.6890004 35.476908, -97.6889998 35.4770749, -97.6889994 35.4771828, -97.688997 35.4778577)",auto
North Morgan Road,3,14674703,2808,2845,,1094.1076958119897,,45,,secondary,4,"LINESTRING (-97.688997 35.4778577, -97.6889994 35.4771828, -97.6889998 35.4770749, -97.6890004 35.476908, -97.6890022 35.4764189, -97.6890037 35.4760158, -97.6890053 35.4755653, -97.6890058 35.475416, -97.6890073 35.4750246, -97.6890084 35.4747115, -97.6890086 35.474643, -97.6890092 35.474475, -97.6890121 35.4736836, -97.6890135 35.4733009, -97.6890151 35.4728538, -97.6890154 35.4723443, -97.6890157 35.4719546, -97.689016 35.471441, -97.6890193 35.4712756, -97.68902 35.471157, -97.6890172 35.469678, -97.6890173 35.4685484, -97.6890174 35.4680365, -97.6890174 35.4680182)",auto
North Mustang Road,4,14676958,21,2660,,42.27673890422674,2,45,,secondary,4,"LINESTRING (-97.7247416 35.4643722, -97.7247395 35.4647524)",auto
North Mustang Road,5,14676958,2660,21,,42.27673890422674,3,45,,secondary,4,"LINESTRING (-97.7247395 35.4647524, -97.7247416 35.4643722)",auto
North Mustang Road,6,14676961,8,1,,1103.6553734301513,,35,,secondary,4,"LINESTRING (-97.724591 35.3916925, -97.7245907 35.3922917, -97.7245905 35.3928539, -97.7245904 35.3929675, -97.7245904 35.3931323, -97.7245901 35.3936524, -97.7245899 35.3941296, -97.72459 35.3943088, -97.7245902 35.3946176, -97.7245904 35.3948156, -97.7245905 35.3949755, -97.7245907 35.3951949, -97.7245907 35.395247, -97.7245909 35.3954814, -97.7245912 35.395888, -97.7245916 35.396239, -97.7245919 35.3964383, -97.724592 35.3965559, -97.7245924 35.3968289, -97.7245926 35.3969809, -97.7245927 35.397056, -97.7245929 35.3972467, -97.7245934 35.3976043, -97.7245929 35.3985011, -97.7245928 35.3986145, -97.7245925 35.399061, -97.7245925 35.3990953, -97.7245917 35.3997647, -97.724591 35.4004134, -97.7245908 35.4004533, -97.7245905 35.4005047, -97.7245853 35.4016179)",auto
North Mustang Road,7,14676961,1,8,,1103.655373430151,,35,,secondary,4,"LINESTRING (-97.7245853 35.4016179, -97.7245905 35.4005047, -97.7245908 35.4004533, -97.724591 35.4004134, -97.7245917 35.3997647, -97.7245925 35.3990953, -97.7245925 35.399061, -97.7245928 35.3986145, -97.7245929 35.3985011, -97.7245934 35.3976043, -97.7245929 35.3972467, -97.7245927 35.397056, -97.7245926 35.3969809, -97.7245924 35.3968289, -97.724592 35.3965559, -97.7245919 35.3964383, -97.7245916 35.396239, -97.7245912 35.395888, -97.7245909 35.3954814, -97.7245907 35.395247, -97.7245907 35.3951949, -97.7245905 35.3949755, -97.7245904 35.3948156, -97.7245902 35.3946176, -97.72459 35.3943088, -97.7245899 35.3941296, -97.7245901 35.3936524, -97.7245904 35.3931323, -97.7245904 35.3929675, -97.7245905 35.3928539, -97.7245907 35.3922917, -97.724591 35.3916925)",auto
West Main Street,8,14709152,1897,1885,,393.37270179060204,,,,secondary,4,"LINESTRING (-97.4910966 35.3382667, -97.4909478 35.3382669, -97.490912 35.338267, -97.4905293 35.3382676, -97.490076 35.3382684, -97.4899751 35.3382675, -97.4898782 35.3382676, -97.489591 35.3382671, -97.4884875 35.3382652, -97.4883589 35.3382654, -97.4882146 35.338265, -97.4867599 35.3382612)",auto
West Main Street,9,14709152,1885,1897,,393.37270179060204,,,,secondary,4,"LINESTRING (-97.4867599 35.3382612, -97.4882146 35.338265, -97.4883589 35.3382654, -97.4884875 35.3382652, -97.489591 35.3382671, -97.4898782 35.3382676, -97.4899751 35.3382675, -97.490076 35.3382684, -97.4905293 35.3382676, -97.490912 35.338267, -97.4909478 35.3382669, -97.4910966 35.3382667)",auto
