name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,233263784,,,0,,,,-66.988339,18.209866,,
,1,233264337,,,0,,,,-66.9897231,18.2519694,,
,2,233264349,,,0,,,,-66.9891638,18.2515554,,
,3,233265347,,,0,,,,-66.941177,18.221548,,
,4,233266811,,,0,,,,-66.9954195,18.2521075,,
,5,233282773,,,0,,,,-67.050951,18.262389,,
,6,233282775,,,0,,,,-67.0510322,18.2623896,,
,7,233282777,,,0,,,,-67.051265,18.262284,,
,8,233297724,,,0,,,,-67.018018,18.237313,,
,9,233297726,,,0,,,,-67.017799,18.237235,,
,10,233298241,,,0,,,,-66.9911114,18.252111,,
,11,233299675,,,0,,,,-67.0513731,18.2625077,,
,12,233303156,,,0,,,,-66.9913266,18.2532506,,
,13,233303922,,,0,,,,-66.998738,18.20956,,
,14,233304294,,,0,,,,-67.051074,18.262129,,
,15,233304942,,,0,,,,-67.017701,18.23757,,
,16,237669043,,,0,,,,-66.728511,18.173506,,
,17,237669045,,,0,,,,-66.7288101,18.1737346,,
,18,237675307,,,0,,,,-66.736734,18.179612,,
,19,237687246,,,0,,,,-66.728686,18.1731794,,
,20,237697032,,,0,,,,-66.7288612,18.173654,,
,21,237697114,,,0,,,,-66.7294591,18.1760238,,
,22,237703240,,,0,,,,-66.7290878,18.1758674,,
,23,237704748,,,0,,,,-66.796859,18.199043,,
,24,237705207,,,0,,,,-66.7366883,18.1796266,,
,25,237705209,,,0,,,,-66.736023,18.179699,,
,26,237710446,,,0,,,,-66.717646,18.157778,,
,27,237761820,,,0,,,,-66.102577,18.257546,,
,28,237761824,,,0,,,,-66.102626,18.256879,,
,29,237761826,,,0,,,,-66.102652,18.256522,,
,30,237761828,,,0,,,,-66.10268,18.25619,,
,31,237763025,,,0,,,,-66.091117,18.256317,,
,32,237763048,,,0,,,,-66.0875412,18.2553679,,
,33,237764479,,,0,,,,-66.2854714,18.1298966,,
,34,237765753,,,0,,,,-66.252905,18.1425315,,
,35,237766113,,,0,,,,-66.0877727,18.2554355,,
,36,237771672,,,0,,,,-66.270111,18.127125,,
,37,237771676,,,0,,,,-66.270173,18.126758,,
,38,237779829,,,0,,,,-66.2647577,18.1398728,,
,39,237786695,,,0,,,,-66.274254,18.125169,,
,40,237786704,,,0,,,,-66.274024,18.12516,,
,41,237788240,,,0,,,,-66.1205399,18.2445458,,
,42,237792873,,,0,,,,-66.234718,18.1454897,,
,43,237793309,,,0,,,,-66.28622,18.126751,,
,44,237796072,,,0,,,,-66.259758,18.140708,,
,45,237796087,,,0,,,,-66.2711657,18.1384038,,
,46,237796777,,,0,,,,-66.236756,18.118081,,
,47,237797072,,,0,,,,-66.106261,18.257004,,
,48,237798195,,,0,,,,-66.101845,18.256466,,
,49,237798593,,,0,,,,-66.0963697,18.2720654,,
,50,237798912,,,0,,,,-66.108192,18.255743,,
,51,237798915,,,0,,,,-66.108059,18.255778,,
,52,237801426,,,0,,,,-66.105587,18.257094,,
,53,237809578,,,0,,,,-66.6758617,18.3478857,,
,54,237809585,,,0,,,,-66.675653,18.34777,,
,55,237809741,,,0,,,,-66.669578,18.335242,,
,56,237813834,,,0,,,,-66.676793,18.331971,,
,57,237818148,,,0,,,,-66.675811,18.347486,,
,58,237834087,,,0,,,,-67.0491629,18.2823407,,
,59,237834090,,,0,,,,-67.049332,18.282477,,
,60,237834865,,,0,,,,-67.049082,18.282709,,
,61,237849198,,,0,,,,-66.0306271,17.9833491,,
,62,237850684,traffic_signals,,1,,,,-66.7506344,18.4481533,,
,63,237862423,traffic_signals,,1,,,,-66.538638,18.450707,,
,64,237862447,,,0,,,,-66.541746,18.450903,,
,65,237865455,,,0,,,,-66.5669506,18.429293,,
,66,237867451,traffic_signals,,1,,,,-66.580776,18.431601,,
,67,237867990,,,0,,,,-66.7555807,18.4433014,,
,68,237870220,,,0,,,,-66.5598983,18.4436036,,
,69,237870769,,,0,,,,-66.5600842,18.442212,,
,70,237872516,,,0,,,,-66.538182,18.434976,,
,71,237873021,,,0,,,,-66.5599963,18.4432188,,
,72,237876699,,,0,,,,-66.5639524,18.4377261,,
,73,237880885,,,0,,,,-66.5436942,18.435681,,
,74,237881685,,,0,,,,-66.310854,18.166732,,
,75,237886083,,,0,,,,-66.6299793,18.4410629,,
,76,237888611,traffic_signals,,1,,,,-66.7183676,18.4671848,,
,77,237906379,,,0,,,,-66.7535481,18.4443065,,
,78,237912415,,,0,,,,-66.7557262,18.4434514,,
,79,237916250,,,0,,,,-66.308708,18.18671,,
,80,237916303,,,0,,,,-66.30536,18.1853206,,
,81,237916325,,,0,,,,-66.3025056,18.1864354,,
,82,237916332,,,0,,,,-66.3022806,18.1863547,,
,83,237916905,,,0,,,,-66.32177,18.173933,,
,84,237919522,traffic_signals,,1,,,,-66.316636,18.188092,,
,85,237919577,,,0,,,,-66.302786,18.189614,,
,86,237930908,,,0,,,,-66.268799,18.245008,,
,87,237982781,,,0,,,,-66.057683,18.212018,,
,88,237986436,,,0,,,,-66.8273541,18.3488502,,
,89,237986444,,,0,,,,-66.826663,18.349246,,
,90,238006005,,,0,,,,-66.8275311,18.3493644,,
,91,238006009,,,0,,,,-66.8274421,18.3487249,,
,92,238011362,,,0,,,,-66.8572693,18.4738479,,
,93,238011367,,,0,,,,-66.856907,18.473572,,
,94,238013705,,,0,,,,-66.82641,18.349232,,
,95,238013776,,,0,,,,-66.827712,18.349459,,
,96,238013788,,,0,,,,-66.82678,18.3497784,,
,97,238014656,,,0,,,,-66.852937,18.477179,,
,98,238014659,,,0,,,,-66.853218,18.477233,,
,99,238015195,,,0,,,,-66.853071,18.477594,,
,100,238016410,,,0,,,,-66.856609,18.474259,,
,101,238017556,,,0,,,,-66.852839,18.478237,,
,102,238030455,,,0,,,,-65.899804,18.373911,,
,103,238030464,,,0,,,,-65.9003866,18.3741038,,
,104,238035691,,,0,,,,-65.90275,18.361946,,
,105,238035693,,,0,,,,-65.902542,18.362071,,
,106,238035980,,,0,,,,-65.899936,18.375234,,
,107,238035989,,,0,,,,-65.89917,18.375527,,
,108,238044231,,,0,,,,-65.901816,18.361695,,
,109,238044248,,,0,,,,-65.902396,18.362507,,
,110,238049619,,,0,,,,-65.9006453,18.3576346,,
,111,238049637,,,0,,,,-65.9009663,18.3609739,,
,112,238053057,,,0,,,,-66.0742146,18.2463344,,
,113,238053073,,,0,,,,-66.0727915,18.2455197,,
,114,238055011,,,0,,,,-65.901934,18.379017,,
,115,238073082,,,0,,,,-66.102887,18.1510117,,
,116,238095995,,,0,,,,-66.4648823,18.336126,,
,117,238096001,,,0,,,,-66.468779,18.342105,,
,118,238096003,,,0,,,,-66.46838,18.342133,,
,119,238096006,traffic_signals,,1,,,,-66.4678,18.342132,,
,120,238096048,,,0,,,,-66.4643829,18.3358852,,
,121,238096327,,,0,,,,-66.5852702,18.3231322,,
,122,238096507,,,0,,,,-66.469027,18.342075,,
,123,238097172,,,0,,,,-66.5828161,18.3218252,,
,124,238097211,,,0,,,,-66.468627,18.341756,,
,125,238097218,,,0,,,,-66.468295,18.341294,,
,126,238097409,,,0,,,,-66.1024999,18.1496238,,
,127,238097849,,,0,,,,-66.468621,18.333413,,
,128,238097886,,,0,,,,-66.468485,18.338222,,
,129,238107901,,,0,,,,-66.164351,18.176214,,
