name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,28479448,,,0,,,,-82.8569382,34.6817428,,
,1,30197906,,,0,,,,-82.2309601,34.8695186,,
,2,30197938,,,0,,,,-82.2257848,34.870972,,
,3,30197951,,,0,,,,-82.223864,34.8711195,,
,4,30197996,,,0,,,,-82.2247375,34.8723573,,
,5,30198013,,,0,,,,-82.2265058,34.8718491,,
,6,30198263,,,0,,,,-82.2252323,34.8736627,,
,7,30198273,,,0,,,,-82.2231251,34.8720974,,
,8,30198280,,,0,,,,-82.2223456,34.8735051,,
,9,34088642,motorway_junction,,0,,,,-81.7086248,35.0813047,,
,10,68600182,,,0,,,,-82.863191,34.154777,,
,11,68603806,,,0,,,,-82.7458398,34.2551411,,
,12,70224681,,,0,,,,-82.7927628,34.3241865,,
,13,109260081,,,0,,,,-82.401456,34.193692,,
,14,109265779,,,0,,,,-82.389692,34.201518,,
,15,109269759,traffic_signals,,1,,,,-82.3740285,34.1733918,,
,16,109282708,,,0,,,,-82.3925416,34.3298484,,
,17,109282808,,,0,,,,-82.497922,34.347425,,
,18,109283222,,,0,,,,-82.3815168,34.180331,,
,19,109284287,,,0,,,,-82.5978314,34.0906985,,
,20,109284380,,,0,,,,-82.5957494,34.0920645,,
,21,109284467,,,0,,,,-82.3523738,34.3681889,,
,22,109284487,,,0,,,,-82.351308,34.3702748,,
,23,109284533,,,0,,,,-82.3474715,34.3770415,,
,24,109288641,,,0,,,,-82.378402,34.1771052,,
,25,109290665,,,0,,,,-82.6133664,34.1972342,,
,26,109293692,,,0,,,,-82.3755253,34.179232,,
,27,109293713,,,0,,,,-82.3762241,34.1801887,,
,28,109295251,,,0,,,,-82.3815618,34.3287419,,
,29,109295278,,,0,,,,-82.3881745,34.3336561,,
,30,109296948,,,0,,,,-82.508852,34.357583,,
,31,109296953,,,0,,,,-82.38918,34.226144,,
,32,109297513,,,0,,,,-82.451902,34.299634,,
,33,109305102,,,0,,,,-82.397967,34.3251232,,
,34,109305392,,,0,,,,-82.426122,34.371396,,
,35,109306602,,,0,,,,-82.364698,34.305375,,
,36,109309081,,,0,,,,-82.3902568,34.3318224,,
,37,109314557,,,0,,,,-82.6352631,34.2118333,,
,38,109319765,,,0,,,,-82.375158,34.175443,,
,39,109319788,,,0,,,,-82.3769597,34.1782732,,
,40,109330041,,,0,,,,-82.373065,34.1867514,,
,41,109330426,,,0,,,,-82.3164884,34.2724723,,
,42,109330468,,,0,,,,-82.30208,34.274802,,
,43,109336945,,,0,,,,-82.3748346,34.1740292,,
,44,109336995,,,0,,,,-82.3792927,34.1780127,,
,45,109337758,,,0,,,,-82.598386,34.105725,,
,46,109337949,,,0,,,,-82.3812484,34.1799461,,
,47,109338017,,,0,,,,-82.399831,34.188123,,
,48,109338040,,,0,,,,-82.400927,34.190686,,
,49,109338213,,,0,,,,-82.378158,34.34159,,
,50,109345030,,,0,,,,-82.586957,34.21705,,
,51,109345604,,,0,,,,-82.535062,34.29421,,
,52,109346493,,,0,,,,-82.652357,34.216024,,
,53,109346578,,,0,,,,-82.6401524,34.2111162,,
,54,109346593,,,0,,,,-82.6387755,34.2113191,,
,55,109352250,,,0,,,,-82.4492972,34.060319,,
,56,109352574,,,0,,,,-82.414358,34.134984,,
,57,109354114,,,0,,,,-82.4007244,34.3334116,,
,58,109354750,,,0,,,,-82.4447,34.399152,,
,59,109355479,,,0,,,,-82.594808,34.075177,,
,60,109356423,,,0,,,,-82.3771083,34.0573507,,
,61,109357031,,,0,,,,-82.401479,34.193944,,
,62,109357780,,,0,,,,-82.5297351,34.2910865,,
,63,109357856,,,0,,,,-82.5404857,34.3012252,,
,64,109357862,,,0,,,,-82.5410618,34.3024964,,
,65,109357959,,,0,,,,-82.5365587,34.319193,,
,66,109360687,,,0,,,,-82.5789991,34.3131129,,
,67,109361780,,,0,,,,-82.375577,34.341798,,
,68,109361910,,,0,,,,-82.3573572,34.3592177,,
,69,109362666,,,0,,,,-82.466343,34.385425,,
,70,109373313,,,0,,,,-82.405889,34.188054,,
,71,109373361,,,0,,,,-82.401197,34.193883,,
,72,109373439,,,0,,,,-82.3905847,34.2010536,,
,73,109374397,,,0,,,,-82.5981308,34.0926642,,
,74,109374427,,,0,,,,-82.598639,34.0960512,,
,75,109381280,,,0,,,,-82.625059,34.213311,,
