name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,78745537,,,0,,,,-97.714089,42.959378,,
,1,78747639,,,0,,,,-97.714821,43.082567,,
,2,78747698,,,0,,,,-98.1092911,43.0825367,,
,3,78747699,,,0,,,,-98.1094699,43.082538,,
,4,78957985,,,0,,,,-98.1279025,43.0824486,,
,5,79026594,,,0,,,,-97.151548,43.083142,,
,6,79026835,,,0,,,,-97.081224,42.91236,,
,7,79026912,,,0,,,,-97.082058,42.953346,,
,8,79027076,,,0,,,,-97.081689,43.083339,,
,9,79046080,,,0,,,,-97.062532,42.903867,,
,10,79046091,,,0,,,,-97.062054,42.904175,,
,11,79046124,,,0,,,,-97.06344,42.904679,,
,12,79046138,,,0,,,,-97.062541,42.903492,,
,13,79052849,,,0,,,,-97.071852,42.82266,,
,14,79059908,,,0,,,,-96.9488625,42.7867199,,
,15,79060998,,,0,,,,-96.9488493,42.7937443,,
,16,79061338,,,0,,,,-96.964015,42.95359,,
,17,79061383,,,0,,,,-96.9625,43.011049,,
,18,79063044,,,0,,,,-97.10074,43.010855,,
,19,79063105,,,0,,,,-97.160589,43.010764,,
,20,79063879,,,0,,,,-97.160726,42.953036,,
,21,79064630,,,0,,,,-97.101563,42.953335,,
,22,79064775,,,0,,,,-97.1014262,43.0832821,,
,23,79067726,,,0,,,,-97.062517,42.904335,,
,24,79069910,,,0,,,,-97.0690875,42.842429,,
,25,79073380,,,0,,,,-96.9470468,42.9535443,,
,26,79074929,,,0,,,,-96.805682,43.08367,,
,27,79278013,,,0,,,,-98.005247,43.542513,,
,28,79283454,traffic_signals,,1,,,,-98.0254888,43.7094452,,
,29,79283880,traffic_signals,,1,,,,-98.0295532,43.7021181,,
,30,79283881,,,0,,,,-98.0295557,43.7025717,,
,31,79283894,traffic_signals,,1,,,,-98.0296715,43.7094125,,
,32,79284073,traffic_signals,,1,,,,-98.025662,43.72074,,
,33,79284278,traffic_signals,,1,,,,-98.0185354,43.7094974,,
,34,79284860,traffic_signals,,1,,,,-98.0184368,43.7022059,,
,35,79286325,traffic_signals,,1,,,,-98.0256852,43.7291233,,
,36,79286766,traffic_signals,,1,,,,-98.0298264,43.7207123,,
,37,79286776,,,0,,,,-98.029885,43.7289515,,
,38,79726925,,,0,,,,-97.9473319,43.6956722,,
,39,79726939,,,0,,,,-97.947551,43.702632,,
,40,79736466,motorway_junction,,0,,,,-97.9408981,43.6950646,,
,41,79736494,,,0,,,,-97.9547949,43.6946678,,
,42,79737180,,,0,,,,-97.7932537,43.6651372,,
,43,79737196,,,0,,,,-97.7867462,43.6661744,,
,44,79737210,motorway_junction,,0,,,,-97.7810765,43.6645753,,
,45,79738810,,,0,,,,-97.9393588,43.6948238,,
,46,79738822,,,0,,,,-97.94727,43.6941004,,
,47,79738840,motorway_junction,,0,,,,-97.9534176,43.6945166,,
,48,79739083,,,0,,,,-97.7812192,43.664304,,
,49,79739094,,,0,,,,-97.7868201,43.6632289,,
,50,79739112,motorway_junction,,0,,,,-97.791869,43.6647785,,
,51,79750692,,,0,,,,-97.6596979,43.6654666,,
,52,79750711,,,0,,,,-97.6664447,43.6641755,,
,53,79750721,motorway_junction,,0,,,,-97.6725131,43.6655122,,
,54,79752215,motorway_junction,,0,,,,-97.6601585,43.6657186,,
,55,79752227,,,0,,,,-97.6664405,43.6670557,,
,56,79752243,,,0,,,,-97.6729609,43.6657652,,
,57,79757713,,,0,,,,-97.666426,43.615305,,
,58,79757768,,,0,,,,-97.666403,43.70222,,
,59,79758309,,,0,,,,-97.9653085,43.5424381,,
,60,79759299,,,0,,,,-97.787601,43.70234,,
,61,79768693,,,0,,,,-97.9667822,43.7025801,,
,62,79942392,,,0,,,,-97.716545,43.16931,,
,63,79942486,,,0,,,,-97.717322,43.241658,,
,64,80036144,,,0,,,,-97.069011,43.935052,,
,65,80036276,,,0,,,,-97.069254,43.949596,,
,66,80036292,,,0,,,,-97.0783552,43.9848819,,
,67,80056595,,,0,,,,-97.069855,43.970889,,
,68,80150407,,,0,,,,-97.069633,43.848106,,
,69,80215573,,,0,,,,-96.6688219,43.5004023,,
,70,80215960,,,0,,,,-96.5939604,43.3008498,,
,71,80227317,,,0,,,,-96.7964253,43.4278593,,
,72,80227324,,,0,,,,-96.797279,43.4319015,,
,73,80227336,motorway_junction,,0,,,,-96.7965733,43.4358305,,
,74,80227342,motorway_junction,,0,,,,-96.762597,43.4983598,,
,75,80227378,traffic_signals,,1,,,,-96.7700494,43.4967196,,
,76,80227395,,,0,,,,-96.7783783,43.4937944,,
,77,80227671,,,0,,,,-96.7964738,43.382321,,
,78,80227694,,,0,,,,-96.7982846,43.3883154,,
,79,80227696,,,0,,,,-96.7982701,43.3885349,,
,80,80227714,motorway_junction,,0,,,,-96.7964995,43.3937159,,
,81,80227743,,,0,,,,-96.480095,43.125377,,
,82,80227766,,,0,,,,-96.4823,43.127027,,
,83,80227772,,,0,,,,-96.4778926,43.1270218,,
,84,80230284,,,0,,,,-96.7208609,43.4896348,,
,85,80231498,motorway_junction,,0,,,,-96.7964472,43.3066974,,
,86,80231534,,,0,,,,-96.7964021,43.2973662,,
,87,80233359,motorway_junction,,0,,,,-96.7954982,43.1665923,,
,88,80233371,,,0,,,,-96.793922,43.1706885,,
,89,80233387,,,0,,,,-96.7955544,43.1750095,,
,90,80236005,,,0,,,,-96.7974459,43.1707042,,
,91,80236019,motorway_junction,,0,,,,-96.7958639,43.1747876,,
,92,80238037,,,0,,,,-96.7960993,43.2101869,,
,93,80238052,,,0,,,,-96.7977363,43.2142556,,
,94,80238064,motorway_junction,,0,,,,-96.7961455,43.2181093,,
,95,80239459,motorway_junction,,0,,,,-96.7963323,43.3271388,,
,96,80239471,,,0,,,,-96.795413,43.330288,,
,97,80239483,,,0,,,,-96.7962964,43.3342299,,
,98,80239541,motorway_junction,,0,,,,-96.796158,43.3828884,,
,99,80239560,,,0,,,,-96.7944054,43.3882802,,
,100,80239564,,,0,,,,-96.7944545,43.3885406,,
,101,80239579,,,0,,,,-96.7961794,43.3940708,,
,102,80240080,motorway_junction,,0,,,,-96.7975737,43.456981,,
,103,80240485,motorway_junction,,0,,,,-96.7775785,43.4936768,,
,104,80240513,,,0,,,,-96.7690418,43.4930069,,
,105,80240515,traffic_signals,,1,,,,-96.7681826,43.4932595,,4
,106,80240546,,,0,,,,-96.7633298,43.49778,,
,107,80242839,motorway_junction,,0,,,,-96.796594,43.123926,,
,108,80242849,,,0,,,,-96.7956371,43.1271758,,
,109,80242858,,,0,,,,-96.796593,43.12989,,
,110,80243313,motorway_junction,,0,,,,-96.7957845,43.2103292,,
,111,80243325,,,0,,,,-96.7941594,43.2142406,,
,112,80243336,,,0,,,,-96.7958369,43.2182854,,
,113,80245837,,,0,,,,-96.6068744,43.416948,,
,114,80245858,,,0,,,,-96.6088705,43.4185199,,
,115,80257153,,,0,,,,-96.797485,43.0836936,,
,116,80262776,,,0,,,,-96.5873283,43.2821866,,
,117,80262793,,,0,,,,-96.5864864,43.2816339,,
,118,80262962,,,0,,,,-96.7672184,43.4741682,,
,119,80265270,,,0,,,,-96.6610315,43.5003416,,
,120,80265273,,,0,,,,-96.795809,43.1662388,,
,121,80266304,,,0,,,,-96.796948,43.123955,,
,122,80266317,,,0,,,,-96.7978708,43.1271737,,
,123,80266332,motorway_junction,,0,,,,-96.796934,43.129967,,
,124,80268317,,,0,,,,-96.480067,43.085257,,
,125,80269863,motorway_junction,,0,,,,-96.7960551,43.429096,,
,126,80269876,,,0,,,,-96.7951526,43.4318966,,
,127,80269895,,,0,,,,-96.7963097,43.4363207,,
,128,80274320,,,0,,,,-96.89166,43.344872,,
,129,80276621,,,0,,,,-96.5939633,43.2911586,,
,130,80277187,,,0,,,,-96.587735,43.257612,,
,131,80277210,,,0,,,,-96.589069,43.258889,,
,132,80277227,,,0,,,,-96.5889074,43.4150861,,
,133,80277250,,,0,,,,-96.5915724,43.4169435,,
,134,80279177,,,0,,,,-96.7688039,43.4943713,,
,135,80279234,,,0,,,,-96.7695799,43.4954132,,
,136,80280285,,,0,,,,-96.454071,43.132273,,
,137,80280307,,,0,,,,-96.836224,43.446483,,
,138,80281107,,,0,,,,-96.7629795,43.3303011,,
,139,80281160,traffic_signals,,1,,,,-96.7275967,43.4896435,,
,140,80281162,,,0,,,,-96.7290569,43.4895633,,
,141,80281403,,,0,,,,-96.884833,43.083731,,
,142,80281453,,,0,,,,-96.884886,43.127357,,
,143,80281492,,,0,,,,-96.885031,43.170782,,
,144,80281589,,,0,,,,-96.885834,43.301473,,
,145,80281604,,,0,,,,-96.885747,43.330509,,
,146,80281644,,,0,,,,-96.885894,43.360993,,
,147,80281660,,,0,,,,-96.8859183,43.3885859,,
,148,80281695,,,0,,,,-96.8860084,43.4465992,,
,149,80281832,,,0,,,,-96.7725217,43.3303403,,
,150,80282001,,,0,,,,-96.7273765,43.3300825,,
,151,80282295,traffic_signals,,1,,,,-96.7077155,43.4894979,,
,152,80282412,,,0,,,,-96.767325,43.431767,,
,153,80282457,,,0,,,,-96.8262571,43.4319611,,
,154,80282559,,,0,,,,-96.6111021,43.4313583,,
,155,80282563,,,0,,,,-96.6089817,43.4313798,,
,156,80282688,,,0,,,,-96.8462434,43.4464915,,
,157,80282745,,,0,,,,-96.608973,43.4485117,,
,158,80282911,,,0,,,,-96.6089739,43.4298918,,
,159,80283635,,,0,,,,-96.767122,43.328297,,
,160,80283639,,,0,,,,-96.767157,43.3303219,,
,161,80283811,traffic_signals,,1,,,,-96.7480082,43.500364,,
,162,80283888,,,0,,,,-96.830665,43.500294,,
,163,80284946,,,0,,,,-96.488884,43.083538,,
,164,80284958,,,0,,,,-96.494413,43.083577,,
,165,80285171,,,0,,,,-96.707099,43.083777,,
,166,80286172,,,0,,,,-96.7577857,43.3302802,,
,167,80287099,traffic_signals,,1,,,,-96.589028,43.3008168,,
,168,80289273,traffic_signals,,1,,,,-96.7673743,43.4898475,,0
,169,80289297,,,0,,,,-96.755313,43.4896615,,
,170,80289385,,,0,,,,-96.6089348,43.48944,,
,171,80289414,,,0,,,,-96.6489008,43.4894438,,
,172,80290379,,,0,,,,-96.6498577,43.5003449,,
,173,80290460,traffic_signals,,1,,,,-96.6878073,43.5003761,,5
,174,80290468,,,0,,,,-96.6902241,43.5003847,,
,175,80291056,,,0,,,,-96.7601996,43.3302933,,
,176,80291694,,,0,,,,-96.4903448,43.2234668,,
,177,80291725,,,0,,,,-96.488449,43.141493,,
,178,80291744,,,0,,,,-96.490018,43.142737,,
,179,80291785,,,0,,,,-96.460909,43.141168,,
,180,80292606,,,0,,,,-96.7920511,43.460932,,
,181,80293291,,,0,,,,-96.576062,43.257362,,
,182,80293544,,,0,,,,-96.5873243,43.2816426,,
,183,80293738,,,0,,,,-96.589015,43.3879113,,
,184,80295602,,,0,,,,-96.767027,43.3881843,,
,185,80295632,,,0,,,,-96.7673184,43.460769,,
,186,80295687,,,0,,,,-96.766484,43.127199,,
,187,80295744,,,0,,,,-96.7667763,43.2142253,,
,188,80297586,,,0,,,,-96.490238,43.214015,,
,189,80297681,,,0,,,,-96.5691967,43.213979,,
,190,80299780,,,0,,,,-96.6089974,43.4603728,,
,191,80299822,stop,,0,,,,-96.7076583,43.4605754,,
,192,80299864,,,0,,,,-96.8031549,43.4609681,,
,193,80301779,,,0,,,,-96.9239895,43.1708183,,
,194,80304196,,,0,,,,-96.5240688,43.3888866,,
,195,80304313,,,0,,,,-96.7958632,43.3882995,,
,196,80305409,,,0,,,,-96.768807,43.494561,,
,197,80306895,,,0,,,,-96.569023,43.127089,,
,198,80308131,,,0,,,,-96.5782664,43.2814422,,
,199,80313881,,,0,,,,-97.607024,43.542623,,
,200,80314278,,,0,,,,-97.492751,43.544142,,
,201,80319190,,,0,,,,-97.2707878,43.7168663,,
,202,80319900,,,0,,,,-97.5923974,43.7161532,,
,203,80413043,,,0,,,,-97.2344092,43.7025573,,
,204,80413162,,,0,,,,-97.2043896,43.70263,,
,205,80619843,,,0,,,,-97.6708786,44.0086556,,
,206,80638894,,,0,,,,-97.0688873,43.6471567,,
,207,80638957,,,0,,,,-97.0694926,43.65657,,
,208,80639137,,,0,,,,-96.7286893,43.597077,,
,209,80639699,,,0,,,,-96.6207929,43.5301444,,
,210,80639726,,,0,,,,-96.6194386,43.5302007,,
,211,80640128,,,0,,,,-96.7714652,43.5947641,,
,212,80640176,motorway_junction,,0,,,,-97.0853314,43.6414311,,
,213,80640223,,,0,,,,-97.089592,43.645321,,
,214,80640294,,,0,,,,-96.7157797,43.5144062,,
,215,80640295,,,0,,,,-96.7118392,43.5158,,
,216,80640296,,,0,,,,-96.7114625,43.5157653,,
,217,80640659,,,0,,,,-96.5721842,43.6093143,,
,218,80640676,motorway_junction,,0,,,,-96.567284,43.6086384,,
,219,80640974,motorway_junction,,0,,,,-96.7709762,43.5972274,,
,220,80640980,,,0,,,,-96.7692457,43.6017779,,
,221,80640987,,,0,,,,-96.7705432,43.6072379,,
,222,80641130,,,0,,,,-96.7727042,43.6453552,,
,223,80641201,,,0,,,,-96.6908998,43.5919144,,
,224,80641212,traffic_signals,,1,,,,-96.6901626,43.5872114,,
,225,80641222,motorway_junction,,0,,,,-96.6931456,43.5815276,,
,226,80641312,motorway_junction,,0,,,,-96.6910729,43.5930424,,
,227,80641324,,,0,,,,-96.6941618,43.5872274,,
,228,80641333,,,0,,,,-96.6933394,43.5827452,,
,229,80641409,motorway_junction,,0,,,,-96.7712362,43.6023053,,
,230,80641442,,,0,,,,-96.6991852,43.5290896,,
,231,80641466,,,0,,,,-96.7015859,43.5278838,,
,232,80641531,,,0,,,,-96.7751123,43.5728323,,
,233,80641535,motorway_junction,,0,,,,-96.6906036,43.6072488,,
,234,80641567,,,0,,,,-96.6898674,43.6068899,,
,235,80641583,motorway_junction,,0,,,,-96.6936179,43.5676932,,
,236,80641602,traffic_signals,,1,,,,-96.694921,43.563144,,
,237,80641622,,,0,,,,-96.7789474,43.526845,,
,238,80641631,motorway_junction,,0,,,,-96.7802597,43.5231438,,
,239,80641844,motorway_junction,,0,,,,-96.6558293,43.6078867,,
,240,80641849,,,0,,,,-96.651633,43.607843,,
,241,80641853,,,0,,,,-96.647624,43.609154,,
,242,80641856,,,0,,,,-96.6932639,43.5684068,,
