name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,26452191,,,0,,,,-96.9651168,32.9953878,,
,1,26452225,motorway_junction,,0,,,,-96.9547659,32.9977195,,
,2,26452267,,,0,,,,-96.9547888,33.0024881,,
,3,26452273,motorway_junction,,0,,,,-96.956561,33.0024936,,
,4,26452280,,,0,,,,-96.9506854,33.0060728,,
,5,26453665,motorway_junction,,0,,,,-96.822828,33.092429,,
,6,26454012,traffic_signals,,1,,,,-96.8051257,33.0965995,,
,7,26454015,traffic_signals,,1,,,,-96.8059134,33.0976013,,
,8,26454045,traffic_signals,,1,,,,-96.7881625,33.1046963,,
,9,26454058,traffic_signals,,1,,,,-96.7682118,33.1129921,,
,10,26454059,traffic_signals,,1,,,,-96.7680194,33.1130489,,
,11,26454060,traffic_signals,,1,,,,-96.7682384,33.1114588,,
,12,26454061,traffic_signals,,1,,,,-96.768021,33.1115408,,
,13,26454074,traffic_signals,,1,,,,-96.7508788,33.119611,,
,14,26454084,traffic_signals,,1,,,,-96.7324201,33.1246935,,
,15,26454085,traffic_signals,,1,,,,-96.7329591,33.1257867,,
,16,26454086,traffic_signals,,1,,,,-96.7331484,33.1257187,,
,17,26454115,traffic_signals,,1,,,,-96.7069793,33.1335698,,
,18,26454116,traffic_signals,,1,,,,-96.7067802,33.1336189,,
,19,26454118,traffic_signals,,1,,,,-96.7069815,33.1348558,,
,20,26454132,traffic_signals,,1,,,,-96.6912792,33.1394575,,
,21,26454133,traffic_signals,,1,,,,-96.6910588,33.1395359,,
,22,26454134,traffic_signals,,1,,,,-96.6916215,33.1406209,,
,23,26454141,traffic_signals,,1,,,,-96.6790122,33.1441513,,
,24,26454142,traffic_signals,,1,,,,-96.6787401,33.1442602,,
,25,26454167,,,0,,,,-96.6633039,33.1502114,,
,26,26454227,traffic_signals,,1,,,,-96.6631468,33.1589456,,
,27,26454228,traffic_signals,,1,,,,-96.6633721,33.1589459,,
,28,26454229,traffic_signals,,1,,,,-96.6633719,33.1591625,,
,29,26454230,traffic_signals,,1,,,,-96.6631318,33.1591617,,
,30,26457211,traffic_signals,,1,,,,-96.8328972,33.0653845,,711
,31,26497006,traffic_signals,,1,,,,-96.6980939,33.1739979,,
,32,26497007,traffic_signals,,1,,,,-96.6983943,33.1739979,,
,33,26497140,traffic_signals,,1,,,,-96.7092613,33.1741416,,
,34,26497149,traffic_signals,,1,,,,-96.7157098,33.1743521,,391
,35,26497150,traffic_signals,,1,,,,-96.7155413,33.1741713,,391
,36,26497151,traffic_signals,,1,,,,-96.7155394,33.1743497,,391
,37,26497152,traffic_signals,,1,,,,-96.7157085,33.1741721,,391
,38,26498828,,,0,,,,-96.6976268,33.1968824,,
,39,26499297,,,0,,,,-96.6936263,33.1876763,,
,40,29577601,motorway_junction,,0,,,,-96.7532688,32.9219275,,
,41,29604777,,,0,,,,-96.7523138,32.9224537,,
,42,29774479,,,0,,,,-96.5808615,33.4047991,,
,43,29774524,motorway_junction,,0,,,,-96.5838411,33.4125257,,
,44,29774532,,,0,,,,-96.595132,33.4331262,,
,45,29774535,motorway_junction,,0,,,,-96.6092188,33.458816,,
,46,29774537,,,0,,,,-96.6167992,33.47265,,
,47,29774543,motorway_junction,,0,,,,-96.6199077,33.4896249,,
,48,29774552,,,0,,,,-96.6160253,33.5153197,,
,49,29774554,motorway_junction,,0,,,,-96.6138465,33.5237717,,
,50,30759131,,,0,,,,-96.7613509,32.9277684,,
,51,30759132,motorway_junction,,0,,,,-96.7622771,32.9268269,,
,52,34226587,,,0,,,,-96.9340384,32.978961,,
,53,34229698,,,0,,,,-96.9315269,32.9837772,,
,54,34229943,,,0,,,,-96.9281651,32.978881,,
,55,34233671,,,0,,,,-97.3110898,32.9466273,,
,56,34273651,traffic_signals,,1,,,,-97.1863983,32.8397973,,796
,57,34273655,traffic_signals,,1,,,,-97.1862873,32.8363874,,
,58,34630509,,,0,,,,-97.4017138,32.7601327,,
,59,34630608,,,0,,,,-97.4068403,32.7602321,,
,60,34630945,,,0,,,,-97.4130373,32.7600444,,
,61,35273212,traffic_signals,,1,,,,-97.38764,32.740267,,1319
,62,35273213,traffic_signals,,1,,,,-97.3876387,32.740437,,1319
,63,35273467,,,0,,,,-97.3867927,32.7222991,,
,64,35275072,,,0,,,,-97.3912196,32.6109427,,
,65,35275076,traffic_signals,,1,,,,-97.3934598,32.6087145,,333
,66,35275131,,,0,,,,-97.3959116,32.6025692,,
,67,35361390,,,0,,,,-97.2643273,33.0356132,,
,68,35361398,,,0,,,,-97.2591751,33.0412109,,
,69,36507537,,,0,,,,-97.3101801,32.9419017,,
,70,36507543,,,0,,,,-97.3024959,32.9426567,,
,71,36507598,,,0,,,,-97.3101747,32.9421259,,
,72,36507646,,,0,,,,-97.3026762,32.9428007,,
,73,36507679,,,0,,,,-97.3086071,32.9420876,,
,74,36507681,,,0,,,,-97.3117914,32.9420156,,
,75,36507683,,,0,,,,-97.3121797,32.9420157,,
,76,36507684,,,0,,,,-97.3132128,32.9420243,,
,77,36507710,,,0,,,,-97.3118144,32.9432535,,
,78,47882335,traffic_signals,,1,,,,-97.3179262,32.8983301,,
,79,47897336,,,0,,,,-97.2119146,32.8930254,,
,80,49098353,traffic_signals,,1,,,,-97.0465154,32.998587,,1331
,81,60071203,,,0,,,,-96.822725,33.1023851,,
,82,60071211,motorway_junction,,0,,,,-96.8232868,33.1079172,,
,83,60071227,,,0,,,,-96.82223,33.1219103,,
,84,60071362,motorway_junction,,0,,,,-96.8199372,33.2094688,,
,85,73776387,motorway_junction,,0,,,,-96.239745,32.998894,,
,86,73839722,,,0,,,,-96.292983,32.971989,,
,87,73839734,,,0,,,,-96.293807,32.971255,,
,88,73839852,,,0,,,,-96.292533,32.97074,,
,89,73994539,,,0,,,,-96.2937013,33.0074606,,
,90,73994674,,,0,,,,-96.239614,33.054515,,
,91,74012023,,,0,,,,-96.2456613,32.9952334,,
,92,74012055,,,0,,,,-96.2375428,32.9997581,,
,93,74012057,,,0,,,,-96.235992,33.00067,,
,94,74019289,,,0,,,,-96.236512,33.001359,,
,95,74045757,,,0,,,,-96.251045,32.927242,,
,96,74045926,,,0,,,,-96.293097,32.971103,,
,97,74045947,,,0,,,,-96.29724,32.971293,,
,98,74052807,,,0,,,,-96.0670727,32.8606075,,
,99,74052816,,,0,,,,-96.072052,32.869957,,
,100,74061862,,,0,,,,-96.064067,32.8556,,
,101,74097848,,,0,,,,-96.108804,32.903661,,
,102,81538768,,,0,,,,-96.779683,32.759355,,
,103,81538845,,,0,,,,-96.6569409,32.8147465,,
,104,81539091,,,0,,,,-96.6652229,32.8119495,,
,105,81539115,,,0,,,,-96.9191358,32.7333252,,
,106,81539119,motorway_junction,,0,,,,-96.9195888,32.7311118,,
,107,81539220,,,0,,,,-96.7525103,32.9227008,,
,108,81539406,,,0,,,,-96.8071566,32.7854608,,
,109,81539449,,,0,,,,-96.920633,32.805818,,
,110,81539451,,,0,,,,-96.9208121,32.8059243,,
,111,81539452,,,0,,,,-96.9209859,32.8060237,,
,112,81539462,,,0,,,,-96.9213407,32.8062993,,
,113,81539490,,,0,,,,-96.85634,32.9173268,,
,114,81539492,traffic_signals,,1,,,,-96.8560553,32.9174471,,585
,115,81539494,traffic_signals,,1,,,,-96.8558844,32.9175194,,585
,116,81539496,,,0,,,,-96.8555269,32.9176715,,
,117,81539506,,,0,,,,-96.8549653,32.9179197,,
,118,81539524,,,0,,,,-96.8502262,32.92019,,
,119,81539589,,,0,,,,-96.674424,32.577632,,
,120,81539635,,,0,,,,-96.9195642,32.7203998,,
,121,81539649,,,0,,,,-96.9221607,32.7164221,,
