name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,50160729,,,0,,,,-76.8681022,38.6994254,,
,1,50163400,,,0,,,,-76.8264448,38.8981197,,
,2,50163404,,,0,,,,-76.8261632,38.8984266,,
,3,50173734,,,0,,,,-76.8824021,38.7278205,,
,4,50173745,,,0,,,,-76.881574,38.727551,,
,5,50175424,,,0,,,,-76.795349,38.784272,,
,6,50190493,motorway_junction,,0,,,,-76.7420981,38.8136682,,
,7,50190544,,,0,,,,-76.7394854,38.8113502,,
,8,50192209,,,0,,,,-76.8415313,38.8939516,,
,9,50193760,,,0,,,,-77.006856,38.675351,,
,10,50193790,,,0,,,,-77.0042219,38.6772311,,
,11,50197543,,,0,,,,-76.7250834,38.8599478,,
,12,50199539,,,0,,,,-76.831514,38.8979,,
,13,50205260,,,0,,,,-76.738389,38.813145,,
,14,50205324,motorway_junction,,0,,,,-76.7379458,38.8138198,,
,15,50207788,,,0,,,,-76.725197,38.899137,,
,16,50207807,,,0,,,,-76.7272601,38.8999821,,
,17,50217929,,,0,,,,-76.9992872,38.7990049,,
,18,50218576,,,0,,,,-76.8257362,38.8989841,,
,19,50218730,,,0,,,,-76.8268051,38.8990101,,
,20,50224822,,,0,,,,-76.832981,38.902424,,
,21,50226148,motorway_junction,,0,,,,-76.8475636,38.8928034,,
,22,50234542,motorway_junction,,0,,,,-76.735529,38.824609,,
,23,50234933,motorway_junction,,0,,,,-76.7181394,38.9434268,,
,24,50234950,,,0,,,,-76.7188013,38.942717,,
,25,50235528,,,0,,,,-76.723208,38.865833,,
,26,50235530,,,0,,,,-76.722861,38.8657687,,
,27,50244022,,,0,,,,-77.010896,38.670135,,
,28,50244035,,,0,,,,-77.0111152,38.6706161,,
,29,50245023,,,0,,,,-76.8755338,38.7005,,
,30,50245061,,,0,,,,-76.8759918,38.7012319,,
,31,50249327,,,0,,,,-76.7253944,38.858856,,
,32,50253234,,,0,,,,-76.999075,38.787278,,
,33,50253236,traffic_signals,,1,,,,-76.998454,38.78731,,
,34,50256850,traffic_signals,,1,,,,-76.7252112,38.8594947,,
,35,50261284,,,0,,,,-76.8349652,38.8943389,,
,36,50264766,traffic_signals,,1,,,,-76.8495068,38.8913682,,
,37,50264774,,,0,,,,-76.8484017,38.8906302,,
,38,50270380,,,0,,,,-76.874241,38.680529,,
,39,50272936,,,0,,,,-76.8449913,38.891125,,
,40,50278158,traffic_signals,,1,,,,-76.9987195,38.8154284,,
,41,50279534,motorway_junction,,0,,,,-76.714895,38.897971,,
,42,50279568,,,0,,,,-76.717735,38.901283,,
,43,50288559,motorway_junction,,0,,,,-76.718507,38.898665,,
,44,50289738,,,0,,,,-76.791115,38.900697,,
,45,50289759,,,0,,,,-76.793072,38.901171,,
,46,50295805,,,0,,,,-76.9980387,38.7968257,,
,47,50297951,,,0,,,,-76.8277762,38.8990211,,
,48,50298102,,,0,,,,-76.994005,38.756256,,
,49,50298811,,,0,,,,-76.721641,38.870948,,
,50,50298813,,,0,,,,-76.72129,38.870911,,
,51,50306606,,,0,,,,-76.738124,38.814679,,
,52,50306811,,,0,,,,-76.7347996,38.8138067,,
,53,50323290,,,0,,,,-76.7915916,38.9003749,,
,54,50323308,,,0,,,,-76.7920689,38.8997251,,
,55,50330418,,,0,,,,-76.7386861,38.8138074,,
,56,50335720,,,0,,,,-76.795975,38.899437,,
,57,50335732,,,0,,,,-76.7970211,38.8991171,,
,58,50338689,traffic_signals,,1,,,,-76.7181325,38.9425124,,
,59,50338690,traffic_signals,,1,,,,-76.71779,38.9424863,,
,60,50339045,traffic_signals,,1,,,,-76.794814,38.784111,,
,61,50339048,,,0,,,,-76.7817454,38.7920228,,
,62,50340405,,,0,,,,-76.83675,38.895824,,
,63,50340422,,,0,,,,-76.8332628,38.8986709,,
,64,50344485,,,0,,,,-76.831882,38.899092,,
,65,50352095,,,0,,,,-76.721059,38.880235,,
,66,50352109,,,0,,,,-76.72057,38.879704,,
,67,50363915,,,0,,,,-76.7356472,38.8234868,,
,68,50364730,motorway_junction,,0,,,,-76.738891,38.812495,,
,69,50366814,,,0,,,,-76.717179,38.929547,,
,70,50366817,,,0,,,,-76.716726,38.929584,,
,71,50371710,,,0,,,,-76.7218122,38.8990841,,
,72,50371756,motorway_junction,,0,,,,-76.721152,38.89853,,
,73,50372463,,,0,,,,-76.7181246,38.9417948,,
,74,50372477,,,0,,,,-76.719493,38.942733,,
,75,50374155,,,0,,,,-76.735299,38.824536,,
,76,50377814,traffic_signals,,1,,,,-77.0115363,38.6702622,,
,77,50377816,traffic_signals,,1,,,,-77.011802,38.670321,,
,78,50378839,,,0,,,,-76.8364264,38.8993565,,
,79,50378851,,,0,,,,-76.835473,38.89966,,
,80,50386414,motorway_junction,,0,,,,-76.7181,38.898932,,
,81,50386458,,,0,,,,-76.717547,38.898474,,
,82,50387407,,,0,,,,-76.720551,38.887869,,
,83,50387411,,,0,,,,-76.7194,38.887812,,
,84,50389084,,,0,,,,-76.7922763,38.8997445,,
,85,50391753,,,0,,,,-76.8317187,38.897492,,
,86,50391812,,,0,,,,-76.8324072,38.8978771,,
,87,50401555,,,0,,,,-76.7823457,38.9002599,,
,88,50401645,,,0,,,,-76.7803462,38.9003101,,
,89,50404504,,,0,,,,-76.8785577,38.7502226,,
,90,50404525,,,0,,,,-76.8795047,38.7496436,,
,91,50406584,traffic_signals,,1,,,,-76.8444071,38.8930136,,5
,92,50406627,traffic_signals,,1,,,,-76.8443583,38.8929193,,5
,93,50407882,,,0,,,,-76.7378385,38.814172,,
,94,50407918,motorway_junction,,0,,,,-76.737795,38.814987,,
,95,50408557,,,0,,,,-76.808587,38.897648,,
,96,50412280,,,0,,,,-76.7373638,38.8167311,,
,97,50412307,motorway_junction,,0,,,,-76.7327464,38.8144003,,
,98,50418205,,,0,,,,-76.8295287,38.8941909,,
,99,50421906,traffic_signals,,1,,,,-76.7201606,38.8801998,,
,100,50424674,,,0,,,,-76.8204917,38.7394037,,
,101,50425563,motorway_junction,,0,,,,-76.720349,38.901121,,
,102,50425592,,,0,,,,-76.723395,38.899644,,
,103,50426143,,,0,,,,-76.835799,38.897979,,
,104,50427484,,,0,,,,-76.8964851,38.8869641,,
