name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,186154952,,,0,,,,-93.611222,46.6093136,,
,1,186154953,,,0,,,,-93.6125656,46.6082993,,
,2,186163171,,,0,,,,-93.7338086,46.5293448,,
,3,186164627,,,0,,,,-93.7261529,46.5333144,,
,4,186189278,,,0,,,,-93.6047291,46.9865706,,
,5,186191093,,,0,,,,-93.5985442,46.997363,,
,6,186191098,,,0,,,,-93.8106706,46.3138142,,
,7,186191233,,,0,,,,-93.7071012,46.5187406,,
,8,186191244,,,0,,,,-93.6957031,46.5334134,,
,9,186191250,,,0,,,,-93.6860123,46.533632,,
,10,186198403,traffic_signals,,1,,,,-93.7066402,46.5334252,,
,11,186198410,,,0,,,,-93.7022469,46.5334047,,
,12,186203776,,,0,,,,-93.7066046,46.5319218,,
,13,186204307,,,0,,,,-93.7071635,46.5235331,,
,14,186661619,,,0,,,,-94.1626961,46.3678288,,
,15,186672848,traffic_signals,,1,,,,-94.2979862,46.5000283,,
,16,186672850,traffic_signals,,1,,,,-94.298275,46.5000031,,
,17,186686601,,,0,,,,-93.824594,46.294098,,
,18,186687153,,,0,,,,-93.8926454,46.475377,,
,19,186687156,,,0,,,,-93.8982375,46.4824466,,
,20,186687188,,,0,,,,-93.9365323,46.4851756,,
,21,186687192,,,0,,,,-93.941577,46.4826993,,
,22,186687863,,,0,,,,-93.8247176,46.2955279,,
,23,186688173,,,0,,,,-93.9006002,46.4734152,,
,24,186690985,,,0,,,,-93.9734788,46.4773859,,
,25,186691919,,,0,,,,-94.1532724,46.377342,,
,26,186692012,,,0,,,,-94.0271981,46.4531025,,
,27,186692129,traffic_signals,,1,,,,-94.2442145,46.3519438,,0
,28,186692559,,,0,,,,-93.9597057,46.4774754,,
,29,186692572,,,0,,,,-93.9576037,46.4824344,,
,30,186694240,,,0,,,,-93.9424033,46.4824882,,
,31,186694248,,,0,,,,-93.9523387,46.4824354,,
,32,186695079,,,0,,,,-94.2100578,46.3581442,,
,33,186699278,traffic_signals,,1,,,,-94.1771432,46.3623803,,
,34,186701427,,,0,,,,-94.0260203,46.4531959,,
,35,186713354,,,0,,,,-94.1763589,46.3628654,,
,36,186721454,,,0,,,,-94.2864634,46.5137558,,
,37,186722936,,,0,,,,-94.2867136,46.5137143,,
,38,187066107,,,0,,,,-93.433555,47.2830944,,
,39,187071111,,,0,,,,-93.1669008,47.3710081,,
,40,187122704,,,0,,,,-93.4196135,47.2897969,,
,41,187123034,,,0,,,,-93.1682872,47.3703616,,
,42,187123160,,,0,,,,-93.2036119,47.3387933,,
,43,187123171,,,0,,,,-93.1786744,47.3627128,,
,44,187123317,,,0,,,,-93.3839315,47.2996561,,
,45,187123457,,,0,,,,-93.2096619,47.3352225,,
,46,187123463,,,0,,,,-93.2034474,47.3387486,,
,47,187123473,,,0,,,,-93.1774187,47.3633107,,
,48,187123487,,,0,,,,-93.5117877,47.2362977,,
,49,187123523,,,0,,,,-93.4907156,47.242371,,
,50,187123588,,,0,,,,-93.4305805,47.2894179,,
,51,187123708,,,0,,,,-93.6010199,47.0294566,,
,52,187131715,,,0,,,,-93.5129992,47.2360263,,
,53,187143773,,,0,,,,-93.5283287,47.2359316,,
,54,187143781,,,0,,,,-93.5283695,47.2324813,,
,55,187162393,,,0,,,,-93.5191552,47.2359059,,
,56,187169235,,,0,,,,-93.5287708,47.2061728,,
,57,187472717,,,0,,,,-93.654469,45.793318,,
,58,187472719,,,0,,,,-93.653982,45.79333,,
,59,187473894,,,0,,,,-93.644731,46.103691,,
,60,187474712,,,0,,,,-93.65854,45.826929,,
,61,187474713,,,0,,,,-93.658107,45.82707,,
,62,187515739,,,0,,,,-93.648267,45.778813,,
,63,187515743,,,0,,,,-93.648621,45.778809,,
,64,187529349,,,0,,,,-93.644689,46.1055277,,
,65,187530815,,,0,,,,-93.644423,46.100042,,
,66,188027337,,,0,,,,-93.0597255,47.3943595,,
,67,188027350,,,0,,,,-93.0585215,47.3938453,,
,68,188042359,,,0,,,,-92.9588716,47.3999552,,
,69,188042808,,,0,,,,-92.8717152,47.4799035,,
,70,188045839,,,0,,,,-92.8710858,47.4789159,,
,71,188047962,,,0,,,,-92.9375639,47.4003713,,
,72,188049810,,,0,,,,-92.9199679,47.4351861,,
,73,188101084,,,0,,,,-92.9027277,47.4783158,,
,74,188143129,,,0,,,,-92.9220459,47.428684,,
,75,188177156,,,0,,,,-92.8965745,47.4825542,,
,76,188198008,,,0,,,,-92.9232449,47.4286148,,
,77,188204925,,,0,,,,-92.9034043,47.4772638,,
,78,290273531,,,0,,,,-92.8963311,47.4823309,,
,79,348175882,traffic_signals,,1,,,,-94.244458,46.3519178,,0
,80,565863404,,,0,,,,-94.2574803,46.3324498,,
,81,565869098,,,0,,,,-94.2577271,46.3324498,,
,82,707059578,,,0,,,,-92.6706746,47.5007703,,
,83,707059593,,,0,,,,-92.6697347,47.5003082,,
,84,707511814,,,0,,,,-92.9359316,47.4007994,,
,85,707512063,,,0,,,,-92.9180307,47.4356343,,
,86,1229324509,,,0,,,,-93.9813306,46.4774953,,
,87,1274449243,traffic_signals,,1,,,,-94.2444582,46.3517109,,1
,88,1274449247,traffic_signals,,1,,,,-94.2442215,46.3517355,,1
,89,1274449844,,,0,,,,-94.249341,46.3512621,,
,90,1330937459,,,0,,,,-93.1780386,47.3627964,,
,91,1330937565,,,0,,,,-93.1780606,47.3631946,,
,92,1330940094,,,0,,,,-93.4344157,47.2817069,,
,93,1330947687,,,0,,,,-93.3822288,47.3006753,,
,94,1335171865,,,0,,,,-94.2899509,46.5199634,,
,95,1413467303,,,0,,,,-94.3073657,46.3400295,,
,96,1413467308,,,0,,,,-94.3037885,46.340473,,
,97,1562717252,,,0,,,,-93.1574433,47.3742449,,
