name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,198208372,,,0,,,,-82.5346188,40.0628473,,
,1,198208405,traffic_signals,,1,,,,-82.5280767,40.0621319,,
,2,198241245,,,0,,,,-82.5304346,40.0598863,,
,3,198279120,,,0,,,,-82.529478,40.060342,,
,4,198279121,traffic_signals,,1,,,,-82.5297951,40.0605013,,
,5,198310061,motorway_junction,,0,,,,-82.528782,40.061151,,
,6,198317979,,,0,,,,-82.745996,39.991351,,
,7,198346879,,,0,,,,-82.532218,40.058267,,
,8,198373974,,,0,,,,-82.5258671,40.0601067,,
,9,198427414,,,0,,,,-83.282341,40.089709,,
,10,198436505,,,0,,,,-83.2591004,40.1073476,,
,11,198436638,,,0,,,,-83.206812,40.10576,,
,12,198472904,,,0,,,,-83.278271,40.109207,,
,13,198472926,,,0,,,,-83.27902,40.101482,,
,14,198505671,,,0,,,,-82.691136,40.160314,,
,15,198507667,,,0,,,,-82.6725911,40.0035269,,
,16,198507673,,,0,,,,-82.668019,40.004304,,
,17,198507685,,,0,,,,-82.624023,40.01813,,
,18,198509541,,,0,,,,-82.679721,40.002325,,
,19,198534824,,,0,,,,-82.757223,40.189361,,
,20,198535066,,,0,,,,-82.690966,40.160139,,
,21,198543428,traffic_signals,,1,,,,-82.677794,40.0026661,,
,22,198551636,,,0,,,,-82.689854,40.000691,,
,23,198571985,,,0,,,,-82.6746923,40.0031793,,
,24,198596393,traffic_signals,,1,,,,-82.752577,39.990231,,
,25,198612276,motorway_junction,,0,,,,-82.534471,40.062576,,
,26,198612897,traffic_signals,,1,,,,-82.767494,39.987885,,
,27,200169900,,,0,,,,-83.2781196,40.1106983,,
,28,200195962,,,0,,,,-83.2501522,40.1409171,,
,29,229575666,traffic_signals,,1,,,,-83.0707873,40.2721203,,
,30,229576247,,,0,,,,-83.068289,40.280449,,
,31,229577403,traffic_signals,,1,,,,-83.069994,40.266418,,40
,32,229577921,traffic_signals,,1,,,,-83.070043,40.266541,,40
,33,229578071,traffic_signals,,1,,,,-82.991126,40.144549,,33
,34,229578076,traffic_signals,,1,,,,-82.990896,40.144592,,
,35,229579310,,,0,,,,-82.9715237,40.1387743,,
,36,229579933,,,0,,,,-83.037007,40.089067,,
,37,229579956,,,0,,,,-83.0378967,40.0894542,,
,38,229580603,motorway_junction,,0,,,,-82.9709214,40.1379393,,
,39,229581939,,,0,,,,-83.067733,40.280342,,
,40,229582201,traffic_signals,,1,,,,-83.0710121,40.2721407,,
,41,229582718,motorway_junction,,0,,,,-82.927078,40.271597,,
,42,229585478,motorway_junction,,0,,,,-82.853434,39.979549,,
,43,229585512,,,0,,,,-82.853493,39.982474,,
,44,229588405,,,0,,,,-82.988545,40.086855,,
,45,229588434,,,0,,,,-82.987749,40.082882,,
,46,229588622,,,0,,,,-83.1235403,40.1531657,,
,47,229589380,traffic_signals,,1,,,,-83.069816,40.266509,,
,48,229590509,motorway_junction,,0,,,,-82.958738,40.107172,,
,49,229590685,traffic_signals,,1,,,,-82.9494598,40.1069378,,8
,50,229591125,traffic_signals,,1,,,,-82.991031,40.144438,,33
,51,229592300,,,0,,,,-82.858935,40.082146,,
,52,229593100,,,0,,,,-83.019569,40.289603,,
,53,229596068,,,0,,,,-82.943955,40.104155,,
,54,229597736,,,0,,,,-82.862273,40.002682,,
,55,229597785,motorway_junction,,0,,,,-82.862123,40.003016,,
,56,229598090,,,0,,,,-83.049028,39.968855,,
,57,229599406,traffic_signals,,1,,,,-83.061182,39.977931,,
,58,229600021,traffic_signals,,1,,,,-82.928786,40.147495,,
,59,229600028,traffic_signals,,1,,,,-82.9220538,40.1497667,,
,60,229600093,traffic_signals,,1,,,,-83.0309164,40.0630757,,
,61,229600358,motorway_junction,,0,,,,-83.0456083,40.1120194,,
,62,229600965,motorway_junction,,0,,,,-82.856906,39.984752,,
,63,229600994,motorway_junction,,0,,,,-82.855258,39.980825,,
,64,229603012,,,0,,,,-82.855506,39.982253,,
,65,229603932,motorway_junction,,0,,,,-83.00782,40.111782,,
,66,229604431,,,0,,,,-83.031252,40.293078,,
,67,229604442,,,0,,,,-82.876623,40.253765,,
,68,229604762,traffic_signals,,1,,,,-82.864666,40.2455442,,
,69,229605319,,,0,,,,-82.852303,39.976267,,
,70,229605345,,,0,,,,-83.019585,40.289402,,
,71,229605355,,,0,,,,-82.851557,39.979735,,
,72,229605379,,,0,,,,-82.847409,39.978783,,
,73,229605382,,,0,,,,-83.031264,40.292873,,
,74,229605813,,,0,,,,-82.902582,40.052725,,
,75,229606631,,,0,,,,-82.8477481,39.9726987,,
,76,229606867,,,0,,,,-82.904696,40.061561,,
,77,229606904,motorway_junction,,0,,,,-82.9023227,40.0535173,,
,78,229608966,,,0,,,,-82.8569351,40.242871,,
,79,229610150,traffic_signals,,1,,,,-83.1227313,40.1539513,,3
,80,229610152,traffic_signals,,1,,,,-83.1226384,40.1538848,,3
,81,229610442,,,0,,,,-82.924993,40.078569,,
,82,229610670,motorway_junction,,0,,,,-83.136801,40.094848,,
,83,229613307,motorway_junction,,0,,,,-82.940317,40.103768,,
,84,229613369,traffic_signals,,1,,,,-82.9494544,40.1070635,,8
,85,229613384,,,0,,,,-82.949274,40.109054,,
,86,229614300,motorway_junction,,0,,,,-82.998069,40.057492,,
,87,229614324,,,0,,,,-82.9970631,40.0615196,,
,88,229614345,,,0,,,,-82.996205,40.064568,,
,89,229615121,motorway_junction,,0,,,,-83.157425,39.977407,,
,90,229615322,traffic_signals,,1,,,,-82.9988222,40.0615953,,
,91,229615341,,,0,,,,-82.998378,40.058152,,
,92,229615744,traffic_signals,,1,,,,-83.118798,40.140249,,
,93,229615771,motorway_junction,,0,,,,-82.987356,40.084303,,
,94,229615846,,,0,,,,-82.986785,40.091699,,
,95,229618678,,,0,,,,-82.8484659,40.0856913,,
,96,229618686,,,0,,,,-82.8491809,40.0856876,,
,97,229619025,,,0,,,,-83.1473875,39.9770268,,
,98,229619149,motorway_junction,,0,,,,-82.849138,39.974999,,
,99,229619170,motorway_junction,,0,,,,-82.847564,39.973148,,
,100,229620578,,,0,,,,-83.157399,39.9776692,,
,101,229620765,motorway_junction,,0,,,,-83.032883,40.113472,,
,102,229622189,,,0,,,,-83.062138,40.25461,,
,103,229622354,traffic_signals,,1,,,,-83.075185,40.15802,,
,104,229622548,motorway_junction,,0,,,,-83.1224991,40.0283903,,
,105,229624427,,,0,,,,-82.8675086,40.0061751,,
,106,229627323,,,0,,,,-82.959282,40.107525,,
,107,229627334,,,0,,,,-82.9559101,40.1069497,,
,108,229627605,,,0,,,,-82.8594407,40.0817453,,
,109,229628383,motorway_junction,,0,,,,-82.905044,40.061503,,
,110,229628413,,,0,,,,-82.9046157,40.0562411,,
,111,229628813,motorway_junction,,0,,,,-82.873434,40.006189,,
,112,229629676,,,0,,,,-83.0165503,40.1147274,,
,113,229632328,,,0,,,,-83.1226368,40.0275091,,
,114,229633382,,,0,,,,-82.925663,40.080695,,
,115,229633389,,,0,,,,-82.92591,40.080828,,
,116,229633469,motorway_junction,,0,,,,-83.1369175,40.079872,,
,117,229633531,,,0,,,,-83.1341717,40.0699556,,
,118,229633906,,,0,,,,-82.9251236,40.0790198,,
,119,229634760,,,0,,,,-83.119146,40.033745,,
,120,229634779,,,0,,,,-83.122642,40.03506,,
,121,229634808,,,0,,,,-83.1255495,40.0399338,,
,122,229634985,traffic_signals,,1,,,,-83.1213573,40.0335267,,
,123,229634988,,,0,,,,-83.1215311,40.0333633,,
,124,229636473,,,0,,,,-82.857839,39.977938,,
,125,229637675,traffic_signals,,1,,,,-83.037013,40.089428,,
,126,229638911,,,0,,,,-82.856844,39.986348,,
,127,229639551,motorway_junction,,0,,,,-82.987153,40.091228,,
,128,229641439,,,0,,,,-82.8677797,40.0030827,,
,129,229646843,,,0,,,,-82.873427,40.006503,,
,130,229648186,traffic_signals,,1,,,,-82.9239088,40.1468549,,34
,131,229648511,traffic_signals,,1,,,,-83.1263011,40.0328761,,5
,132,229648556,motorway_junction,,0,,,,-83.1255167,40.0386942,,
,133,229649238,traffic_signals,,1,,,,-82.91996,40.154101,,
,134,229653927,,,0,,,,-83.0181202,40.088047,,
,135,229668818,,,0,,,,-83.069358,40.278029,,
,136,229677245,traffic_signals,,1,,,,-82.912556,40.179993,,
,137,229678860,traffic_signals,,1,,,,-83.02689,40.089159,,
,138,229684295,traffic_signals,,1,,,,-83.159822,40.055198,,
,139,229684599,traffic_signals,,1,,,,-83.112597,40.067543,,
,140,229686750,traffic_signals,,1,,,,-83.0113457,40.0144722,,
,141,229686867,traffic_signals,,1,,,,-83.015859,40.031592,,
,142,229687004,traffic_signals,,1,,,,-83.0201199,40.0514139,,
,143,229687032,traffic_signals,,1,,,,-83.0198302,40.0564909,,
,144,229687119,traffic_signals,,1,,,,-83.0189501,40.0729167,,
,145,229687188,traffic_signals,,1,,,,-83.0183383,40.0844156,,
,146,229687211,traffic_signals,,1,,,,-83.0180874,40.0888632,,
,147,229687232,traffic_signals,,1,,,,-83.0178273,40.0929316,,
,148,229687247,traffic_signals,,1,,,,-83.0175998,40.0960069,,
,149,229687268,traffic_signals,,1,,,,-83.0170288,40.1056933,,
,150,229687354,,,0,,,,-83.0163203,40.1273677,,
,151,229687382,,,0,,,,-83.0168412,40.1342022,,
,152,229687387,traffic_signals,,1,,,,-83.01694,40.135606,,
,153,229687391,,,0,,,,-83.017012,40.136747,,
,154,229688247,,,0,,,,-82.8676016,40.0050054,,
,155,229688263,,,0,,,,-82.8672728,40.0095682,,
,156,229688311,traffic_signals,,1,,,,-82.8665621,40.0183283,,
,157,229688318,traffic_signals,,1,,,,-82.87396,39.976157,,
,158,229688476,traffic_signals,,1,,,,-82.939046,40.146226,,
,159,229688479,traffic_signals,,1,,,,-82.939063,40.146025,,
,160,229693050,,,0,,,,-83.0177003,40.145984,,
