name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses
,0,8408762,67,1,,675.0676946504495,,,,motorway,1,"LINESTRING (-79.8491044 32.8189024, -79.8492278 32.8181991, -79.8494531 32.8171216, -79.8495336 32.8167384, -79.8495818 32.8165446, -79.8496194 32.8164409, -79.8496891 32.8162831, -79.8497803 32.8161388, -79.8499037 32.815972, -79.850011 32.8158368, -79.8501451 32.815706, -79.8502953 32.8155708, -79.8504401 32.815431, -79.8505421 32.8153138, -79.8506494 32.8151785, -79.850703 32.8150974, -79.8507727 32.8149712, -79.85088 32.8147457, -79.8509873 32.8144617, -79.8510624 32.814322, -79.8511214 32.8142363, -79.8511965 32.8141506, -79.8513521 32.8140199, -79.8514862 32.8139297, -79.8516954 32.8138305, -79.852104 32.8137022)",auto
Byrnes Drive,1,12128396,4,2263,,1830.0487533079463,,35,,trunk,2,"LINESTRING (-79.9267473 33.3946243, -79.9261898 33.3961457, -79.9255078 33.3979951, -79.9252032 33.3988803, -79.9249071 33.399727, -79.9244542 33.4009586, -79.924273 33.4016266, -79.9242717 33.4019491, -79.924278 33.4026302, -79.9246333 33.4038786, -79.9247383 33.4042581, -79.92487 33.4047206, -79.9249589 33.4050275, -79.9250246 33.405259, -79.9252101 33.4056853, -79.9254186 33.4060371, -79.9255758 33.4062459, -79.9257802 33.4064591, -79.9260248 33.4066533, -79.9263743 33.4068932, -79.9272405 33.4074243, -79.9281185 33.4079466, -79.9282019 33.4080039, -79.9284126 33.4081339, -79.9290533 33.4085194, -79.9292183 33.4085848, -79.9297063 33.4088871)",auto
,2,12130468,7,8,,131.14090181043628,,,,trunk,2,"LINESTRING (-79.9659928 33.2222224, -79.9656881 33.2230873, -79.9656882 33.223365)",auto
,3,12130480,5,11,,445.55713099412594,,45,,trunk,2,"LINESTRING (-79.9358255 33.4125776, -79.9359208 33.4126129, -79.9380277 33.4138799, -79.9392348 33.4146109, -79.9397264 33.4149097)",auto
Hollywood Drive,4,12134723,1051,1049,,45.31809343048078,,,,primary,3,"LINESTRING (-80.0369387 33.0118871, -80.0369278 33.01173, -80.036902 33.0116364, -80.0368505 33.0115717, -80.0367916 33.0115135)",auto
Main Street,5,12137513,9,10,,2001.1474059117352,,,,trunk,2,"LINESTRING (-79.9567123 33.2962275, -79.9553734 33.3012695, -79.9545505 33.3044015, -79.9542444 33.3056241, -79.9538768 33.3069796, -79.9533462 33.3090661, -79.9532636 33.3093759, -79.9531764 33.3097666, -79.9520963 33.3138055)",auto
,6,12143815,19,20,,21.03964568723518,,,,trunk,2,"LINESTRING (-79.6210752 33.0338717, -79.6212245 33.0340136)",auto
,7,12144066,2593,2422,,21.702392569201482,,,,trunk,2,"LINESTRING (-79.7200935 32.9142678, -79.719906 32.9141524)",auto
,8,12144259,1715,23,,21.686934179127032,,,,trunk,2,"LINESTRING (-79.5551628 33.0515938, -79.5550496 33.0514234)",auto
,9,12144374,24,25,,20.921649155766655,,,,trunk,2,"LINESTRING (-79.6435677 33.0012707, -79.643786 33.0013141)",auto
Runey Lane,10,12144896,1773,1774,,21.326901573839244,,,,trunk,2,"LINESTRING (-79.4510839 33.1230848, -79.4512461 33.1232202)",auto
