name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,79254031,,,0,,,,-103.1995255,43.8267041,,
,1,79254084,,,0,,,,-103.20159,43.825319,,
,2,79362471,,,0,,,,-103.200222,43.8223835,,
,3,79548457,,,0,,,,-103.501157,43.428538,,
,4,79548494,,,0,,,,-103.492481,43.427605,,
,5,79600409,,,0,,,,-103.3275974,43.2944914,,
,6,79600411,,,0,,,,-103.3273282,43.2946837,,
,7,79600684,,,0,,,,-103.432318,43.402304,,
,8,79600939,,,0,,,,-103.425642,43.402854,,
,9,79615227,,,0,,,,-103.3969945,43.3996152,,
,10,79615241,,,0,,,,-103.3950408,43.4024586,,
,11,79620517,,,0,,,,-103.4735026,43.419589,,
,12,79621261,,,0,,,,-103.2285197,43.0046717,,
,13,79621510,,,0,,,,-103.2372932,43.1844587,,
,14,79627859,,,0,,,,-103.4639584,43.4224922,,
,15,79633786,,,0,,,,-103.2422603,43.1952658,,
,16,79635371,,,0,,,,-103.3949426,43.3581163,,
,17,79635486,,,0,,,,-103.4019617,43.3922714,,
,18,79636316,,,0,,,,-103.471029,43.420067,,
,19,80783018,traffic_signals,,1,,,,-103.1635377,44.0658375,,
,20,80786038,motorway_junction,,0,,,,-103.4391837,43.924359,,
,21,80791112,,,0,,,,-103.2694283,43.9907634,,
,22,80791938,,,0,,,,-103.1513702,44.1021252,,
,23,80798414,motorway_junction,,0,,,,-103.362764,43.9530509,,
,24,80798417,,,0,,,,-103.3622517,43.9565283,,
,25,80799249,,,0,,,,-103.3570554,43.9587087,,
,26,80799255,motorway_junction,,0,,,,-103.3564097,43.9606045,,
,27,80816604,,,0,,,,-103.1599193,44.0996636,,
,28,80817516,,,0,,,,-103.2707296,43.9895238,,
,29,80823178,,,0,,,,-103.4480375,43.9297044,,
,30,80828835,traffic_signals,,1,,,,-103.1917609,44.0457098,,
,31,80831316,motorway_junction,,0,,,,-103.1435552,44.1021052,,
,32,80835835,,,0,,,,-103.1861983,43.9575999,,
,33,80835873,,,0,,,,-103.1876799,44.0153796,,
,34,80843473,,,0,,,,-103.2361174,44.0499246,,
,35,80852928,,,0,,,,-103.4437064,43.9265614,,
,36,80854801,,,0,,,,-103.3582856,43.9581673,,
,37,80854802,,,0,,,,-103.354699,43.960147,,
,38,80854804,motorway_junction,,0,,,,-103.353629,43.9629846,,
,39,80861261,,,0,,,,-103.2323137,44.0559865,,
,40,80870960,,,0,,,,-103.252773,44.0028612,,
,41,80871300,,,0,,,,-103.3536268,43.9611571,,
,42,80871379,,,0,,,,-103.2537854,44.0014933,,
,43,80871390,,,0,,,,-103.2499639,44.0176502,,
,44,80871411,,,0,,,,-103.4366607,43.9247577,,
,45,80871529,motorway_junction,,0,,,,-103.4449541,43.9259405,,
,46,80871688,,,0,,,,-103.3605379,43.9589266,,
,47,80880106,traffic_signals,,1,,,,-103.1596779,44.0636464,,
,48,462178660,,,0,,,,-103.1995208,43.8366202,,
,49,462178755,,,0,,,,-103.1995297,43.8425791,,
,50,462204477,,,0,,,,-103.459461,43.419719,,
,51,462204494,,,0,,,,-103.461323,43.4209187,,
,52,462204533,,,0,,,,-103.477097,43.42036,,
,53,627576759,,,0,,,,-103.4374667,43.9243441,,
,54,627706058,,,0,,,,-103.4645536,43.4223095,,
,55,627706064,,,0,,,,-103.4645177,43.4228337,,
,56,629552214,motorway_junction,,0,,,,-103.1580639,44.0994544,,
,57,629552229,,,0,,,,-103.1422167,44.1021735,,
,58,629563096,,,0,,,,-103.1513729,44.1001517,,
,59,735999034,,,0,,,,-103.2406118,44.0229738,,
