name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,63368738,motorway_junction,,0,,,,-77.2030825,38.9283722,,
,1,63369899,traffic_signals,,1,,,,-77.1474035,38.944002,,
,2,63371725,traffic_signals,,1,,,,-77.2479759,38.935646,,7
,3,63371739,,,0,,,,-77.246768,38.9362981,,
,4,63372158,,,0,,,,-77.133785,38.939067,,
,5,63372214,motorway_junction,,0,,,,-77.1336148,38.9389006,,
,6,63374975,traffic_signals,,1,,,,-77.2320904,38.9195938,,
,7,63375072,,,0,,,,-77.23112,38.917864,,
,8,63375078,traffic_signals,,1,,,,-77.230678,38.918239,,
,9,63378707,,,0,,,,-77.381501,38.876825,,
,10,63378767,,,0,,,,-77.382051,38.87799,,
,11,63381681,,,0,,,,-77.206164,38.9307189,,
,12,63381716,,,0,,,,-77.200821,38.9307823,,
,13,63385264,,,0,,,,-77.2171743,38.9102822,,
,14,63385548,,,0,,,,-77.2468054,38.933879,,
,15,63385572,motorway_junction,,0,,,,-77.252573,38.932279,,
,16,63388921,,,0,,,,-77.401071,39.033804,,
,17,63388972,,,0,,,,-77.4057227,39.0326335,,
,18,63389055,,,0,,,,-77.190402,38.8986731,,
,19,63389159,motorway_junction,,0,,,,-77.1991045,38.8993553,,
,20,63389280,,,0,,,,-77.1940977,38.8995452,,
,21,63389792,,,0,,,,-77.2123973,38.9233084,,
,22,63390563,,,0,,,,-77.4017905,39.0297877,,
,23,63390641,,,0,,,,-77.4018085,39.0302587,,
,24,63390725,motorway_junction,,0,,,,-77.255422,38.932124,,
,25,63390770,,,0,,,,-77.2471837,38.9321972,,
,26,63390812,,,0,,,,-77.2453595,38.9318882,,
,27,63395172,traffic_signals,,1,,,,-77.3748262,38.9522728,,
,28,63395223,motorway_junction,,0,,,,-77.3885691,38.9529097,,
,29,63396750,,,0,,,,-77.2319222,38.9186591,,
,30,63396802,,,0,,,,-77.2118469,38.9233338,,
,31,63397068,,,0,,,,-77.2048523,38.9277848,,
,32,63397135,motorway_junction,,0,,,,-77.2079871,38.9301567,,
,33,63397381,,,0,,,,-77.4387245,38.8973881,,
,34,63399099,motorway_junction,,0,,,,-77.36763,38.9536266,,
,35,63399135,,,0,,,,-77.3776282,38.9532894,,
,36,63400583,traffic_signals,,1,,,,-77.135799,38.940039,,
,37,63400584,traffic_signals,,1,,,,-77.135706,38.940145,,
,38,63400654,motorway_junction,,0,,,,-77.1341932,38.9412155,,
,39,63400701,,,0,,,,-77.135539,38.940057,,
,40,63400774,,,0,,,,-77.2274184,38.9195671,,
,41,63403785,,,0,,,,-77.2442832,38.931392,,
,42,63403814,,,0,,,,-77.2478798,38.9323043,,
,43,63403828,,,0,,,,-77.4802642,38.9968441,,
,44,63406218,,,0,,,,-77.372598,38.9553449,,
,45,63406256,,,0,,,,-77.4012405,39.0303021,,
,46,63406274,,,0,,,,-77.3695694,38.9530012,,
,47,63406358,,,0,,,,-77.401458,39.030729,,
,48,63406451,,,0,,,,-77.132483,38.939003,,
,49,63406455,,,0,,,,-77.132718,38.938706,,
,50,63408018,motorway_junction,,0,,,,-77.4048459,39.0318203,,
,51,63408060,,,0,,,,-77.402238,39.027453,,
,52,63408559,motorway_junction,,0,,,,-77.2326629,38.9196537,,
