name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,0,157354184,,,0,,,,-104.8469158,41.1255447,,
,1,157354192,,,0,,,,-104.8436225,41.1218605,,
,2,157366761,,,0,,,,-104.8460755,41.120711,,
,3,157366768,motorway_junction,,0,,,,-104.8504555,41.1214591,,
,4,157368942,,,0,,,,-104.8562731,41.1162777,,
,5,157368957,motorway_junction,,0,,,,-104.8618125,41.1153669,,
,6,157389113,motorway_junction,,0,,,,-104.87111,41.1165396,,
,7,157400769,,,0,,,,-104.8521128,41.1178992,,
,8,157410040,,,0,,,,-104.8695045,41.1169919,,
,9,157410147,,,0,,,,-104.8589656,41.1152534,,
,10,157411686,,,0,,,,-104.8595486,41.1150283,,
,11,157430717,,,0,,,,-104.8532179,41.1174398,,
,12,458232573,,,0,,,,-104.8510846,41.1202336,,
,13,458232581,,,0,,,,-104.8472046,41.1223756,,
,14,458233971,motorway_junction,,0,,,,-104.8487504,41.1242707,,
,15,482214456,,,0,,,,-104.8459586,41.1207673,,
,16,1598420708,,,0,,,,-104.8588629,41.1152939,,
,17,1598420735,,,0,,,,-104.8599787,41.1163941,,
,18,1897643337,,,0,,,,-104.8632091,41.1138808,,
,19,1897643340,,,0,,,,-104.8614698,41.1142708,,
,20,2508761040,,,0,,,,-104.8594962,41.1149416,,
,21,2508761041,,,0,,,,-104.8589073,41.1151665,,
,22,2508761042,,,0,,,,-104.8588012,41.115207,,
,23,2508761047,,,0,,,,-104.8521546,41.1177767,,
,24,2508761048,,,0,,,,-104.8520521,41.1178196,,
,25,2508761049,,,0,,,,-104.8522178,41.1178537,,
,26,2508761061,,,0,,,,-104.85236,41.1182218,,
,27,2508761062,,,0,,,,-104.8513792,41.1182288,,
,28,2508761064,,,0,,,,-104.852627,41.1184676,,
,29,2508761077,,,0,,,,-104.8466138,41.1204559,,
,30,2508761080,,,0,,,,-104.8460057,41.1206311,,
,31,2508761082,,,0,,,,-104.8458918,41.1206846,,
,32,2508761092,,,0,,,,-104.8463319,41.1210644,,
